sweep,param_name,param,beta,theta,g,ed_p00,ed_p11,ed_coh,analytic_disc_p00,analytic_disc_p11,analytic_disc_coh,analytic_cont_p00,analytic_cont_p11,analytic_cont_coh
coupling,g,0.1,2.0,0.7853981633974483,0.1,0.1218206745951549,0.8781793254048454,0.0036275047755467364,0.12182252742305055,0.8781774725769494,0.0036312771422118855,0.12391162548364698,0.876088374516353,0.006559713065305878
coupling,g,0.11193852806014119,2.0,0.7853981633974483,0.11193852806014119,0.12247630598266697,0.8775236940173349,0.00453565439518228,0.12247915206656895,0.8775208479334311,0.004541485243848901,0.12508251879301324,0.8749174812069868,0.008190889078465585
coupling,g,0.12530234064271015,2.0,0.7853981633974483,0.12530234064271015,0.12329401575153975,0.876705984248459,0.005668091657035492,0.12329836149843315,0.8767016385015669,0.005677067146204749,0.12653786827628238,0.8734621317237177,0.010218342091377588
coupling,g,0.14026159574035382,2.0,0.7853981633974483,0.14026159574035382,0.12431266003944268,0.8756873399605578,0.007078463830741978,0.12431924605344613,0.8756807539465539,0.0070922095749596185,0.12834284283719488,0.8716571571628051,0.012732859156743315
coupling,g,0.15700676570541777,2.0,0.7853981633974483,0.15700676570541777,0.1255797179693967,0.8744202820306036,0.008832252860877202,0.12558960500426203,0.874410394995738,0.008853171519403222,0.13057519230964543,0.8694248076903546,0.015842753869885044
coupling,g,0.1757510624854792,2.0,0.7853981633974483,0.1757510624854792,0.12715280341830354,0.8728471965816976,0.011008807283274857,0.12716746846653032,0.8728325315334697,0.011040393885804545,0.13332622913435205,0.866673770865648,0.01967523394632293
coupling,g,0.19673315239630437,2.0,0.7853981633974483,0.19673315239630437,0.12910119615473495,0.8708988038452651,0.013703368320402972,0.1291226163021843,0.8708773836978156,0.013750604989632086,0.13670089277987557,0.8632991072201244,0.024376490966947374
coupling,g,0.22022019499873752,2.0,0.7853981633974483,0.22022019499873752,0.13150720915380398,0.8684927908461959,0.01702882099513806,0.1315378826639378,0.8684621173360623,0.01709862890524368,0.14081615210828258,0.8591838478917174,0.030109474707423867
coupling,g,0.24651124477275946,2.0,0.7853981633974483,0.24651124477275946,0.13446707445971448,0.8655329255402853,0.021116709187837323,0.13450988296551303,0.865490117034487,0.021218393186502663,0.14579671588184595,0.854203284118154,0.03704791742843164
coupling,g,0.2759410589013586,2.0,0.7853981633974483,0.2759410589013586,0.13809083063704794,0.8619091693629509,0.026116771272323033,0.13814858522758883,0.8618514147724112,0.026262334669782752,0.15176680237029583,0.8482331976297042,0.04536486808358507
coupling,g,0.3088843596477481,2.0,0.7853981633974483,0.3088843596477481,0.14250041575480002,0.8574995842452016,0.03219386168072221,0.1425748760720968,0.8574251239279032,0.03239802547371801,0.15883677514353994,0.84116322485646,0.0552140745904104
