n_modes,n_cut,dim,omega_min,omega_max,omega_q,q_strength,tau_c,g,beta,theta,ed_p00,ed_p11,ed_re01,ed_im01,ed_coh,ed_mz,chi,diag_s
2,20,800,1.5,2.5,2.0,10.0,1.0,0.05,0.3,0.7853981633974483,0.35444961122569774,0.6455503887743019,0.0001097254761524242,0.0,0.0002194509523048484,-0.2911007775486042,0.0003265166735975209,0.10424732800038328
2,20,800,1.5,2.5,2.0,10.0,1.0,0.05,0.6344827586206896,0.7853981633974483,0.21980594655884336,0.7801940534411554,0.0004310158184678354,0.0,0.0008620316369356708,-0.5603881068823121,0.001506089971574713,0.10424732800038328
2,20,800,1.5,2.5,2.0,10.0,1.0,0.05,0.9689655172413794,0.7853981633974483,0.12647926835934,0.8735207316406588,0.0008270506642149728,0.0,0.0016541013284299456,-0.7470414632813188,0.0037151945095107814,0.10424732800038328
2,20,800,1.5,2.5,2.0,10.0,1.0,0.05,1.303448275862069,0.7853981633974483,0.06941322117681963,0.9305867788231785,0.0011881491621700195,0.0,0.002376298324340039,-0.861173557646359,0.007328791380253475,0.10424732800038328
2,20,800,1.5,2.5,2.0,10.0,1.0,0.05,1.6379310344827587,0.7853981633974483,0.03714127644291999,0.9628587235570772,0.0014694759548450073,0.0,0.0029389519096900147,-0.9257174471141573,0.013084655773605677,0.10424732800038328
2,20,800,1.5,2.5,2.0,10.0,1.0,0.05,1.9724137931034484,0.7853981633974483,0.019684831253110782,0.9803151687468862,0.0016700240415601665,0.0,0.003340048083120333,-0.9606303374937754,0.022406928891104707,0.10424732800038328
2,20,800,1.5,2.5,2.0,10.0,1.0,0.05,2.3068965517241375,0.7853981633974483,0.010464352273178976,0.9895356477268189,0.0018057356457577983,0.0,0.0036114712915155966,-0.9790712954536399,0.03805415864687396,0.10424732800038328
2,20,800,1.5,2.5,2.0,10.0,1.0,0.05,2.6413793103448273,0.7853981633974483,0.005652403319680284,0.9943475966803172,0.001894706144781336,0.0,0.003789412289562672,-0.9886951933606369,0.06540270692890802,0.10424732800038328
2,20,800,1.5,2.5,2.0,10.0,1.0,0.05,2.975862068965517,0.7853981633974483,0.0031552134351115115,0.9968447865648863,0.0019518667510417939,0.0,0.0039037335020835878,-0.9936895731297748,0.11495586329591564,0.10424732800038328
2,20,800,1.5,2.5,2.0,10.0,1.0,0.05,3.310344827586207,0.7853981633974483,0.0018620185030805707,0.9981379814969171,0.0019880968082439045,0.0,0.003976193616487809,-0.9962759629938366,0.20721849348145074,0.10424732800038328
2,20,800,1.5,2.5,2.0,10.0,1.0,0.05,3.6448275862068966,0.7853981633974483,0.001192437532860586,0.9988075624671371,0.0020108433459240013,0.0,0.0040216866918480025,-0.9976151249342765,0.3821750694049763,0.10424732800038328
2,20,800,1.5,2.5,2.0,10.0,1.0,0.05,3.979310344827586,0.7853981633974483,0.0008454071569403036,0.9991545928430574,0.002025025659885796,0.0,0.004050051319771592,-0.9983091856861172,0.7177683667734902,0.10424732800038328
2,20,800,1.5,2.5,2.0,10.0,1.0,0.05,4.313793103448275,0.7853981633974483,0.0006652367341349618,0.9993347632658621,0.002033822075370572,0.0,0.004067644150741144,-0.9986695265317271,1.365974825181671,0.10424732800038328
2,20,800,1.5,2.5,2.0,10.0,1.0,0.05,4.6482758620689655,0.7853981633974483,0.0005714813588090762,0.9994285186411886,0.0020392559495777556,0.0,0.004078511899155511,-0.9988570372823796,2.623245248668176,0.10424732800038328
2,20,800,1.5,2.5,2.0,10.0,1.0,0.05,4.982758620689655,0.7853981633974483,0.0005225579915165921,0.9994774420084811,0.0020426020251859784,0.0,0.004085204050371957,-0.9989548840169645,5.068030760658319,0.10424732800038328
2,20,800,1.5,2.5,2.0,10.0,1.0,0.05,5.317241379310345,0.7853981633974483,0.0004969459410718559,0.9995030540589261,0.0020446572870569746,0.0,0.004089314574113949,-0.9990061081178543,9.829263586766135,0.10424732800038328
2,20,800,1.5,2.5,2.0,10.0,1.0,0.05,5.651724137931034,0.7853981633974483,0.00048348791615607424,0.9995165120838416,0.0020459171431186146,0.0,0.004091834286237229,-0.9990330241676856,19.11047984972852,0.10424732800038328
2,20,800,1.5,2.5,2.0,10.0,1.0,0.05,5.986206896551724,0.7853981633974483,0.00047638669073031813,0.9995236133092674,0.0020466881643944213,0.0,0.004093376328788843,-0.9990472266185371,37.21300113190383,0.10424732800038328
2,20,800,1.5,2.5,2.0,10.0,1.0,0.05,6.320689655172414,0.7853981633974483,0.00047262215912029394,0.9995273778408773,0.002047159398877666,0.0,0.004094318797755332,-0.9990547556817571,72.53337389088924,0.10424732800038328
2,20,800,1.5,2.5,2.0,10.0,1.0,0.05,6.655172413793103,0.7853981633974483,0.0004706161797141055,0.9995293838202837,0.002047447098548533,0.0,0.004094894197097066,-0.9990587676405696,141.46274869392528,0.10424732800038328
2,20,800,1.5,2.5,2.0,10.0,1.0,0.05,6.989655172413793,0.7853981633974483,0.00046954122964628395,0.9995304587703515,0.00204762259101149,0.0,0.00409524518202298,-0.9990609175407053,275.9992144413906,0.10424732800038328
2,20,800,1.5,2.5,2.0,10.0,1.0,0.05,7.324137931034483,0.7853981633974483,0.00046896167518777055,0.9995310383248098,0.002047729561263853,0.0,0.004095459122527706,-0.9990620766496221,538.6085386437214,0.10424732800038328
2,20,800,1.5,2.5,2.0,10.0,1.0,0.05,7.658620689655172,0.7853981633974483,0.0004686471728885154,0.9995313528271091,0.0020477947253916776,0.0,0.004095589450783355,-0.9990627056542206,1051.2351936991201,0.10424732800038328
2,20,800,1.5,2.5,2.0,10.0,1.0,0.05,7.993103448275862,0.7853981633974483,0.0004684753305996458,0.9995315246693981,0.002047834402529885,0.0,0.00409566880505977,-0.9990630493387984,2051.9374600644983,0.10424732800038328
2,20,800,1.5,2.5,2.0,10.0,1.0,0.05,8.327586206896552,0.7853981633974483,0.00046838076527942236,0.9995316192347183,0.002047858551306871,0.0,0.004095717102613742,-0.9990632384694389,4005.450014967522,0.10424732800038328
2,20,800,1.5,2.5,2.0,10.0,1.0,0.05,8.662068965517243,0.7853981633974483,0.0004683283439662033,0.9995316716560314,0.0020478732440596835,0.0,0.004095746488119367,-0.9990633433120653,7819.02325426851,0.10424732800038328
2,20,800,1.5,2.5,2.0,10.0,1.0,0.05,8.996551724137932,0.7853981633974483,0.00046829906931845786,0.9995317009306791,0.002047882181007665,0.0,0.00409576436201533,-0.9990634018613607,15263.782786545067,0.10424732800038328
2,20,800,1.5,2.5,2.0,10.0,1.0,0.05,9.331034482758621,0.7853981633974483,0.000468282600213009,0.9995317173997846,0.0020478876156847423,0.0,0.004095775231369485,-0.9990634347995716,29797.303162485587,0.10424732800038328
2,20,800,1.5,2.5,2.0,10.0,1.0,0.05,9.66551724137931,0.7853981633974483,0.0004682732680238509,0.9995317267319738,0.002047890919940007,0.0,0.004095781839880014,-0.9990634534639499,58169.42732911602,0.10424732800038328
2,20,800,1.5,2.5,2.0,10.0,1.0,0.05,10.0,0.7853981633974483,0.0004682679428950348,0.9995317320571024,0.0020478929285829635,0.0,0.004095785857165927,-0.9990634641142074,113557.12856747283,0.10424732800038328
2,20,800,1.5,2.5,2.0,10.0,1.0,0.12291666666666667,0.3,0.7853981633974483,0.3549809675808913,0.6450190324191087,0.0006601777479478861,0.0,0.0013203554958957722,-0.2900380648382174,0.0019732717722100177,0.10408695700016324
2,20,800,1.5,2.5,2.0,10.0,1.0,0.12291666666666667,0.6344827586206896,0.7853981633974483,0.2216618438357032,0.7783381561642972,0.0025836167506257564,0.0,0.005167233501251513,-0.556676312328594,0.009101908317797875,0.10408695700016324
2,20,800,1.5,2.5,2.0,10.0,1.0,0.12291666666666667,0.9689655172413794,0.7853981633974483,0.12948962858728483,0.8705103714127153,0.004947563641293613,0.0,0.009895127282587226,-0.7410207428254304,0.022452416818762207,0.10408695700016324
2,20,800,1.5,2.5,2.0,10.0,1.0,0.12291666666666667,1.303448275862069,0.7853981633974483,0.07298864116503231,0.9270113588349677,0.00710359860288627,0.0,0.01420719720577254,-0.8540227176699353,0.044290838185177685,0.10408695700016324
2,20,800,1.5,2.5,2.0,10.0,1.0,0.12291666666666667,1.6379310344827587,0.7853981633974483,0.04079801948242931,0.9592019805175711,0.008788239509113161,0.0,0.017576479018226322,-0.9184039610351418,0.07907584504847458,0.10408695700016324
2,20,800,1.5,2.5,2.0,10.0,1.0,0.12291666666666667,1.9724137931034484,0.7853981633974483,0.023174678095985106,0.9768253219040152,0.009994861116474888,0.0,0.019989722232949775,-0.9536506438080301,0.13541409630197132,0.10408695700016324
2,20,800,1.5,2.5,2.0,10.0,1.0,0.12291666666666667,2.3068965517241375,0.7853981633974483,0.01371053893682595,0.9862894610631743,0.010816277841326155,0.0,0.02163255568265231,-0.9725789221263483,0.22997660807251433,0.10408695700016324
2,20,800,1.5,2.5,2.0,10.0,1.0,0.12291666666666667,2.6413793103448273,0.7853981633974483,0.00866514648332029,0.9913348535166799,0.011358505004672453,0.0,0.022717010009344906,-0.9826697070333597,0.3952549007283487,0.10408695700016324
2,20,800,1.5,2.5,2.0,10.0,1.0,0.12291666666666667,2.975862068965517,0.7853981633974483,0.005976818957756492,0.9940231810422436,0.011709534097834137,0.0,0.023419068195668274,-0.9880463620844872,0.694724583564379,0.10408695700016324
2,20,800,1.5,2.5,2.0,10.0,1.0,0.12291666666666667,3.310344827586207,0.7853981633974483,0.004539513021504601,0.9954604869784953,0.011933876646313924,0.0,0.023867753292627848,-0.9909209739569907,1.2523048191127257,0.10408695700016324
2,20,800,1.5,2.5,2.0,10.0,1.0,0.12291666666666667,3.6448275862068966,0.7853981633974483,0.003766617173817842,0.9962333828261821,0.01207598406128325,0.0,0.0241519681225665,-0.9924667656523642,2.3096378760394485,0.10408695700016324
2,20,800,1.5,2.5,2.0,10.0,1.0,0.12291666666666667,3.979310344827586,0.7853981633974483,0.003347975525769924,0.9966520244742301,0.012165428030781016,0.0,0.02433085606156203,-0.9933040489484601,4.3377633415599295,0.10408695700016324
2,20,800,1.5,2.5,2.0,10.0,1.0,0.12291666666666667,4.313793103448275,0.7853981633974483,0.0031193457750529753,0.9968806542249471,0.012221460198321689,0.0,0.024442920396643378,-0.9937613084498941,8.255136052877425,0.10408695700016324
2,20,800,1.5,2.5,2.0,10.0,1.0,0.12291666666666667,4.6482758620689655,0.7853981633974483,0.0029933776092876205,0.9970066223907127,0.012256436587500884,0.0,0.024512873175001768,-0.994013244781425,15.853327622593612,0.10408695700016324
2,20,800,1.5,2.5,2.0,10.0,1.0,0.12291666666666667,4.982758620689655,0.7853981633974483,0.0029233319671510584,0.9970766680328491,0.012278209737571273,0.0,0.024556419475142546,-0.994153336065698,30.62815117682571,0.10408695700016324
2,20,800,1.5,2.5,2.0,10.0,1.0,0.12291666666666667,5.317241379310345,0.7853981633974483,0.0028840176061017656,0.9971159823938981,0.01229173482005159,0.0,0.02458346964010318,-0.9942319647877963,59.40219886377242,0.10408695700016324
2,20,800,1.5,2.5,2.0,10.0,1.0,0.12291666666666667,5.651724137931034,0.7853981633974483,0.002861746480155596,0.9971382535198444,0.012300122262894165,0.0,0.02460024452578833,-0.9942765070396888,115.49232700851559,0.10408695700016324
2,20,800,1.5,2.5,2.0,10.0,1.0,0.12291666666666667,5.986206896551724,0.7853981633974483,0.002849015904282135,0.9971509840957179,0.012305316745490933,0.0,0.024610633490981866,-0.9943019681914358,224.89315440999516,0.10408695700016324
2,20,800,1.5,2.5,2.0,10.0,1.0,0.12291666666666667,6.320689655172414,0.7853981633974483,0.0028416758898969457,0.9971583241101034,0.012308530375671587,0.0,0.024617060751343175,-0.9943166482202065,438.34839325379414,0.10408695700016324
2,20,800,1.5,2.5,2.0,10.0,1.0,0.12291666666666667,6.655172413793103,0.7853981633974483,0.0028374094679268448,0.9971625905320731,0.012310516847706288,0.0,0.024621033695412575,-0.9943251810641462,854.9163684089476,0.10408695700016324
2,20,800,1.5,2.5,2.0,10.0,1.0,0.12291666666666667,6.989655172413793,0.7853981633974483,0.0028349109346906473,0.9971650890653093,0.012311743932104453,0.0,0.024623487864208905,-0.9943301781306186,1667.9744192195844,0.10408695700016324
2,20,800,1.5,2.5,2.0,10.0,1.0,0.12291666666666667,7.324137931034483,0.7853981633974483,0.0028334376957463592,0.9971665623042538,0.012312501513300598,0.0,0.024625003026601196,-0.9943331246085074,3255.0283385742955,0.10408695700016324
2,20,800,1.5,2.5,2.0,10.0,1.0,0.12291666666666667,7.658620689655172,0.7853981633974483,0.0028325636587479444,0.9971674363412523,0.01231296902482715,0.0,0.0246259380496543,-0.9943348726825043,6353.037689699022,0.10408695700016324
