sweep,model,rmse_p00,rmse_p11,rmse_coh,max_abs_p00,max_abs_p11,max_abs_coh
angle,legacy,0.021467410948995895,0.021467410948995874,0.010438774310112931,0.048478222138974625,0.04847822213897479,0.018433221930927085
angle,running,0.021800783410541813,0.021800783410541816,0.042067168595547426,0.04190501219930459,0.041905012199304426,0.07904897053406301
coupling,legacy,0.1651349220438079,0.1651349220438079,0.24067547513844897,0.201181868341893,0.201181868341893,0.2921785997113667
coupling,running,0.02558921497139757,0.02558921497139756,0.04682749601352719,0.030917609589040107,0.030917609589040218,0.057213595510962056
temperature,legacy,0.4837898715536857,0.4837898715536857,1.5609280547801355e-16,0.6246379709575287,0.6246379709575288,2.6978388629367455e-16
temperature,running,0.025141652869047522,0.025141652869047546,5.4607737725810795e-17,0.042560417529504346,0.042560417529504346,9.680880041936274e-17
