n_cut,rmse_cut_vs_12_p00,rmse_cut_vs_12_coh
4,0.034471834832648936,9.644179879698007e-17
5,0.021908860820710314,6.132793058069828e-17
6,0.014175155182593184,4.673157553248564e-17
7,0.009188694216762834,3.120859333145138e-17
8,0.005885982363478197,2.3161171587246202e-17
9,0.003632140077256484,9.599262455314971e-17
10,0.002040133190672084,8.335468054302197e-17
11,0.0008764435210180738,8.22156932885259e-17
12,0.0,0.0
