sweep,param_name,param,beta,theta,g,ed_p00,ed_p11,ed_coh,analytic_disc_p00,analytic_disc_p11,analytic_disc_coh,analytic_cont_p00,analytic_cont_p11,analytic_cont_coh,d_disc_p00,d_disc_coh,d_cont_p00,d_cont_coh
coupling,g,0.0,2.0,0.7853981633974483,0.0,0.11920292202211756,0.8807970779778824,0.0,0.11920292202211757,0.8807970779778824,0.0,0.11920292202211757,0.8807970779778824,0.0,-1.3877787807814457e-17,0.0,-1.3877787807814457e-17,0.0
coupling,g,0.1,2.0,0.7853981633974483,0.1,0.1257269722601066,0.8742730277398927,0.009075993187895934,0.12751050452195611,0.8724894954780439,0.011572537760862615,0.12328940141899802,0.876710598581002,0.005691289702457114,-0.0017835322618495186,-0.002496544572966681,0.0024375708411085717,0.0033847034854388204
coupling,g,0.2,2.0,0.7853981633974483,0.2,0.14336385782883923,0.8566361421711609,0.033530946081816095,0.14993481456420743,0.8500651854357926,0.042809805008017586,0.1349609698092657,0.8650390301907342,0.021946425368077747,-0.0065709567353682,-0.009278858926201491,0.008402888019573534,0.011584520713738347
coupling,g,0.30000000000000004,2.0,0.7853981633974483,0.30000000000000004,0.16726767836522827,0.8327323216347715,0.0664527668689226,0.1796588848960035,0.8203411151039965,0.08421570453750547,0.1524551024394209,0.847544897560579,0.04631071727358146,-0.012391206530775245,-0.017762937668582876,0.01481257592580737,0.02014204959534114
coupling,g,0.4,2.0,0.7853981633974483,0.4,0.1919767050026875,0.8080232949973126,0.10012790066727834,0.20918028021971113,0.7908197197802889,0.12533927594273675,0.17314579274813385,0.8268542072518661,0.07512689404926817,-0.017203575217023648,-0.025211375275458414,0.018830912254553633,0.025001006618010163
coupling,g,0.5,2.0,0.7853981633974483,0.5,0.21357414727658136,0.7864258527234184,0.12913203152736125,0.23420462999249153,0.7657953700075084,0.16019842211337826,0.1943543672300902,0.8056456327699097,0.10466433443012457,-0.02063048271591017,-0.031066390586017012,0.019219780046491164,0.024467697097236674
coupling,g,0.6000000000000001,2.0,0.7853981633974483,0.6000000000000001,0.23046799713659932,0.7695320028634005,0.15138425407948283,0.2537999006695666,0.7462000993304334,0.18749481186926475,0.21412570107216006,0.78587429892784,0.13220011224050934,-0.02333190353296727,-0.03611055778978192,0.016342296064439266,0.01918414183897349
coupling,g,0.7000000000000001,2.0,0.7853981633974483,0.7000000000000001,0.24283028427675873,0.7571697157232415,0.1672811630848253,0.268666263075294,0.7313337369247059,0.20820378951833335,0.23146531158733707,0.7685346884126629,0.1563491993116394,-0.025835978798535275,-0.04092262643350805,0.01136497268942166,0.010931963773185893
coupling,g,0.8,2.0,0.7853981633974483,0.8,0.25161445046960146,0.7483855495303985,0.17826759819917898,0.27987870589719144,0.7201212941028086,0.22382282405099574,0.24612741638967411,0.7538725836103259,0.17676929151658002,-0.02826425542758998,-0.04555522585181676,0.005487034079927344,0.0014983066825989544
coupling,g,0.9,2.0,0.7853981633974483,0.9,0.25785254677395486,0.7421474532260448,0.18584294168570298,0.2883922416350429,0.7116077583649572,0.235682256540129,0.2582863007785042,0.7417136992214959,0.19370311811762478,-0.03053969486108804,-0.049839314854426026,-0.0004337540045493138,-0.0078601764319218
