case,n_modes,n_cut,omega_nodes,rmse_ed_vs_disc_p00,rmse_ed_vs_disc_coh,p00_at_beta2_ed,p00_at_beta2_an,p00_at_beta8_ed,p00_at_beta8_an
"uniform_[0.2,1.0,1.8]",3,3,0.200000;1.000000;1.800000,0.11439492162555936,9.413654851176781e-17,0.24290606463421793,0.2622705956179696,0.18687009250449532,0.35450870853713273
"resonant_[0.05,1.0,2.0]",3,3,0.050000;1.000000;2.000000,0.13252918522428198,3.74492478973176e-17,0.2449565329556614,0.2808021932101311,0.1735740122561227,0.3593348305120913
"resonant_[0.05,1.0,1.8]",3,3,0.050000;1.000000;1.800000,0.1413084544302487,3.770893019394879e-17,0.23589448744249247,0.2751118929334291,0.160106092585641,0.3578637200174282
