beta,n_cut,ed_p00,ed_coh,ordered_p00,ed_minus_ordered_p00,d_ed,d_ordered,dp00_dbeta,dprime_minus_w2,analytic_v12_p00,analytic_v12_coh,analytic_raw_p00,analytic_raw_coh,d_v12,d_raw
0.8,5,0.2505840292103489,1.6839593097352806e-17,0.3053042363607263,-0.0547202071503773,0.2522500563285756,0.3889173880691877,-0.1218598616975928,-0.304248047260573,0.27962433551495797,8.564639844296883e-18,0.3908300932866521,1.7095758204643048e-17,0.3268371056460655,0.5780878498800415
1.2,5,0.2317730929007604,5.774166545886476e-17,0.2797476004425521,-0.0479745075417916,0.6008368518807037,0.727143032063879,-0.0205404039137946,-0.055946869501158,0.24505631935022743,1.5446069138957104e-17,0.6297839340298014,5.215471965687637e-17,0.6374224538628126,1.4656450007114352
1.6,5,0.2341517060793132,1.0758869234795372e-16,0.2663144983431521,-0.0321627922638388,1.0074925607276493,1.0932987350238277,0.0123633098877458,0.034216658988726,0.23771326188995145,2.3837760332637815e-17,0.9564233572390857,1.1012661125382162e-16,1.0173711918630512,3.14433968350557
2.0,5,0.2416637408109571,1.6224487348277086e-16,0.2578301571563253,-0.0161664163453681,1.4282101790716846,1.4713614734312443,0.0189266977024732,0.0516429401014508,0.25024611634985783,3.453757905116448e-17,0.9998384996039794,1.4600368009043384e-16,1.451349950725443,6.365420724863051
2.4,5,0.2492930642412918,2.1918989711220144e-16,0.2516748739947956,-0.0023818097535037,1.84880691280881,1.855150263988624,0.017597210851992,0.0470990248139837,0.27542970169626324,4.780191147362936e-17,0.9999999989343278,1.7739452218716188e-16,1.9163768213136332,12.729830023017643
2.8,5,0.2557415094925508,2.76836225718326e-16,0.2468652590813337,0.008876250411217,2.265889398922872,2.24229926369797,0.0144440509010591,0.0380137719543069,0.3045546498072258,6.260667940079669e-17,1.0,2.0731856414093365e-16,2.3871490564860105,20.06978799617044
3.2,5,0.2608483049621392,3.342067029353176e-16,0.243022176653128,0.0178261283090111,2.679217930372256,2.6319093717808992,0.0112908328238328,0.0293255012289426,0.32962959795376556,7.694315535282404e-17,1.0,2.34214517560293e-16,2.845069597559852,20.46978799617044
3.6,5,0.2647741757516171,3.907525182706867e-16,0.2399922225645525,0.0247819531870645,3.0893497999060258,3.023638925070083,0.0086211515301334,0.0221696962444497,0.34631469981292695,8.898689344782441e-17,1.0,2.573164587158369e-16,3.2823609277193233,20.86978799617044
4.0,5,0.2677452261862459,4.462191881451736e-16,0.2377035326123121,0.0300416935739337,3.4969536873678155,3.4173443455319776,0.0064992604459189,0.0165898738272487,0.35420429537774334,9.790286720055483e-17,1.0,2.7657141655332024e-16,3.6996953226039704,21.26978799617044
4.4,5,0.2699735841083522,5.005418148783527e-16,0.2361099576260218,0.0338636264823303,3.902621698967825,3.812936881723747,0.0048635921749356,0.0123469636574988,0.35505949010350935,1.0377666450164622e-16,1.0,2.9235969974538936e-16,4.1015636366843715,21.66978799617044
4.8,5,0.2716360999261944,5.537671808254932e-16,0.2351700548056449,0.0364660451205494,4.306831258293815,4.210327687331816,0.0036238745031575,0.0091627129161107,0.3511031488285661,1.0715494285964509e-16,1.0,3.0523325667274685e-16,4.492903141274464,22.06978799617044
5.2,5,0.2728726837108783,6.059999194152728e-16,0.2348401384988419,0.0380325452120363,4.709951869300713,4.609410119838033,0.0026935822272396,0.0067903127280797,0.34418393043080486,1.0866970008490561e-16,1.0,3.157497844778343e-16,4.877647914045792,22.46978799617044
5.6,5,0.2737909657079861,6.573679822986828e-16,0.2350729458477693,0.0387180198602168,5.112263508476278,5.010057699304888,0.0019996432420336,0.0050299050005939,0.33558699195732267,1.0886015715824229e-16,1.0,3.2439607913143044e-16,5.258488628553374,22.869787996170437
6.0,5,0.2744723983045052,7.080021142655116e-16,0.2358184352128152,0.03865396309169,5.513975793301189,5.412128377717086,0.0017035814912975,0.0042807120622754,0.32612076115051825,1.0812956124330687e-16,1.0,3.31567158439122e-16,5.6371084108687874,23.26978799617044
0.4,6,0.3326869733802737,8.967937698088681e-18,0.3627796739340557,-0.0300927005537819,0.0519713934511649,0.1183401072839758,-0.1719354867053371,-0.4120909262187217,0.3543502443384818,2.887306613431966e-18,0.3711041082203226,3.978651037518269e-18,0.10001431597068489,0.1362584546268822
0.8,6,0.2639127786981389,6.875175464933826e-17,0.3053042363607263,-0.0413914576625873,0.2871350229636763,0.3889173880691877,-0.0997787911212531,-0.2420865858031519,0.27962433551495797,8.564639844296883e-18,0.3908300932866521,1.7095758204643048e-17,0.3268371056460655,0.5780878498800415
1.2,6,0.2528639404832712,1.5926725111530875e-16,0.2797476004425521,-0.0268836599592808,0.6583021248086435,0.727143032063879,-0.005624946416143,-0.0145579396357882,0.24505631935022743,1.5446069138957104e-17,0.6297839340298014,5.215471965687637e-17,0.6374224538628126,1.4656450007114352
1.6,6,0.2594128215652245,2.6285108727240123e-16,0.2663144983431521,-0.0069016767779275,1.0754886712550458,1.0932987350238277,0.0200341754343284,0.051962945302711,0.23771326188995145,2.3837760332637815e-17,0.9564233572390857,1.1012661125382162e-16,1.0173711918630512,3.14433968350557
2.0,6,0.268891280830734,3.711230134841898e-16,0.2578301571563253,0.0110611236744086,1.4998724810508124,1.4713614734312443,0.0223707747316696,0.0569847017180782,0.25024611634985783,3.453757905116448e-17,0.9998384996039794,1.4600368009043384e-16,1.451349950725443,6.365420724863051
2.4,6,0.2773094413505602,4.807025708461004e-16,0.2516748739947956,0.0256345673557645,1.9210764326295084,1.855150263988624,0.0187985044508503,0.047003283962532,0.27542970169626324,4.780191147362936e-17,0.9999999989343278,1.7739452218716188e-16,1.9163768213136332,12.729830023017643
2.8,6,0.2839300843914142,5.90035665877197e-16,0.2468652590813337,0.0370648253100804,2.337475108220838,2.24229926369797,0.0144892876317993,0.0356993233040572,0.3045546498072258,6.260667940079669e-17,1.0,2.0731856414093365e-16,2.3871490564860105,20.06978799617044
3.2,6,0.2889008714559997,6.983378721847609e-16,0.243022176653128,0.0458786948028716,2.7496358912727543,2.6319093717808992,0.0107829768459455,0.0262810383652887,0.32962959795376556,7.694315535282404e-17,1.0,2.34214517560293e-16,2.845069597559852,20.46978799617044
3.6,6,0.2925564658681707,8.052441935755889e-16,0.2399922225645525,0.0525642433036181,3.158499938913069,3.023638925070083,0.0078981522843821,0.0191002782461904,0.34631469981292695,8.898689344782441e-17,1.0,2.573164587158369e-16,3.2823609277193233,20.86978799617044
4.0,6,0.2952193932835054,9.106444150840134e-16,0.2377035326123121,0.0575158606711932,3.5649161138697067,3.4173443455319776,0.0057441329696938,0.0138138574025679,0.35420429537774334,9.790286720055483e-17,1.0,2.7657141655332024e-16,3.6996953226039704,21.26978799617044
4.4,6,0.2971517722439258,1.0145789795156873e-15,0.2361099576260218,0.0610418146179039,3.9695510248351233,3.812936881723747,0.0041670342220899,0.0099812488313097,0.35505949010350935,1.0377666450164622e-16,1.0,2.9235969974538936e-16,4.1015636366843715,21.66978799617044
4.8,6,0.2985530206611773,1.1171689706941573e-15,0.2351700548056449,0.0633829658555323,4.372901112934755,4.210327687331816,0.0030230265497591,0.0072203458708273,0.3511031488285661,1.0715494285964509e-16,1.0,3.0523325667274685e-16,4.492903141274464,22.06978799617044
5.2,6,0.2995701934837331,1.2185709945004061e-15,0.2348401384988419,0.0647300549848912,4.775327301531785,4.609410119838033,0.0021962898812188,0.0052349493472967,0.34418393043080486,1.0866970008490561e-16,1.0,3.157497844778343e-16,4.877647914045792,22.46978799617044
5.6,6,0.3003100525661524,1.3189499578394077e-15,0.2350729458477693,0.0652371067183831,5.177089072412592,5.010057699304888,0.0015991801379228,0.0038060554585592,0.33558699195732267,1.0886015715824229e-16,1.0,3.2439607913143044e-16,5.258488628553374,22.869787996170437
6.0,6,0.3008495375940714,1.4184638712089454e-15,0.2358184352128152,0.0650311023812562,5.578372145898633,5.412128377717086,0.0013487125697973,0.0032076837151016,0.32612076115051825,1.0812956124330687e-16,1.0,3.31567158439122e-16,5.6371084108687874,23.26978799617044
0.4,8,0.3390603377083739,1.929515832989073e-18,0.3627796739340557,-0.0237193362256817,0.0662577628306155,0.1183401072839758,-0.1316702336916242,-0.3068582760675022,0.3543502443384818,2.887306613431966e-18,0.3711041082203226,3.978651037518269e-18,0.10001431597068489,0.1362584546268822
0.8,8,0.2863922442317242,1.0236809169633869e-17,0.3053042363607263,-0.018911992129002,0.3435144524036146,0.3889173880691877,-0.0663644720380536,-0.154724791299309,0.27962433551495797,8.564639844296883e-18,0.3908300932866521,1.7095758204643048e-17,0.3268371056460655,0.5780878498800415
1.2,8,0.285968760077931,3.3683502518576655e-17,0.2797476004425521,0.0062211596353789,0.7424779297911683,0.727143032063879,0.0133359956258762,0.0322741738196172,0.24505631935022743,1.5446069138957104e-17,0.6297839340298014,5.215471965687637e-17,0.6374224538628126,1.4656450007114352
1.6,8,0.2970610407324253,5.979229600198864e-17,0.2663144983431521,0.0307465423892732,1.1693337914593085,1.0932987350238277,0.0273723426978764,0.0655826010937146,0.23771326188995145,2.3837760332637815e-17,0.9564233572390857,1.1012661125382162e-16,1.0173711918630512,3.14433968350557
2.0,8,0.3078666342362322,8.325977029475057e-17,0.2578301571563253,0.0500364770799068,1.59494401066614,1.4713614734312443,0.0238784364446736,0.0561714929810353,0.25024611634985783,3.453757905116448e-17,0.9998384996039794,1.4600368009043384e-16,1.451349950725443,6.365420724863051
2.4,8,0.3161637898881642,1.0246122285764144e-16,0.2516748739947956,0.0644889158933685,2.0142709858441368,1.855150263988624,0.0177966304392376,0.0412451802089997,0.27542970169626324,4.780191147362936e-17,0.9999999989343278,1.7739452218716188e-16,1.9163768213136332,12.729830023017643
2.8,8,0.3221039385876222,1.1771692286331307e-16,0.2468652590813337,0.0752386795062884,2.42794015483334,2.24229926369797,0.0126215625999424,0.0289456807014862,0.3045546498072258,6.260667940079669e-17,1.0,2.0731856414093365e-16,2.3871490564860105,20.06978799617044
