sweep,param_name,param,beta,theta,g,variant,k_value,ordered_p00,ordered_coh,ordered_ratio,model_p00,model_coh,model_ratio,dp00,dcoh,ratio_rel_err
coupling,g,0.0,2.0,0.7853981633974483,0.0,baseline,1.0,0.017986209962091555,0.0,0.01831563888873418,0.01798620996209155,0.0,0.01831563888873417,-6.938893903907228e-18,0.0,-3.3306690738754696e-16
coupling,g,0.0,2.0,0.7853981633974483,0.0,chi_only,0.9450000000000002,0.017986209962091555,0.0,0.01831563888873418,0.01798620996209155,0.0,0.01831563888873417,-6.938893903907228e-18,0.0,-3.3306690738754696e-16
coupling,g,0.0,2.0,0.7853981633974483,0.0,delta_only,1.0950000000000002,0.017986209962091555,0.0,0.01831563888873418,0.01798620996209155,0.0,0.01831563888873417,-6.938893903907228e-18,0.0,-3.3306690738754696e-16
coupling,g,0.1,2.0,0.7853981633974483,0.1,baseline,1.0,0.02336712020528197,0.012347306444990458,0.023926206754572493,0.022838927445373247,0.011784788628103952,0.023372735659295794,-0.000528192759908723,-0.0005625178168865066,-0.023132421321692687
coupling,g,0.1,2.0,0.7853981633974483,0.1,chi_only,0.9450000000000002,0.02336712020528197,0.012347306444990458,0.023926206754572493,0.022843033779547384,0.01179476083036909,0.023377036207296354,-0.0005240864257345865,-0.0005525456146213675,-0.022952679165124557
coupling,g,0.1,2.0,0.7853981633974483,0.1,delta_only,1.0950000000000002,0.02336712020528197,0.012347306444990458,0.023926206754572493,0.023361596192883083,0.011921539568668062,0.02392041527531097,-5.524012398887279e-06,-0.0004257668763223959,-0.0002420558896331082
coupling,g,0.2,2.0,0.7853981633974483,0.2,baseline,1.0,0.0387330200231973,0.04718362692899279,0.04029371738549888,0.038266576987499135,0.049250721790045866,0.03978917241706566,-0.0004664430356981636,0.0020670948610530746,-0.012521678345190468
coupling,g,0.2,2.0,0.7853981633974483,0.2,chi_only,0.9450000000000002,0.0387330200231973,0.04718362692899279,0.04029371738549888,0.038496050623073874,0.04980799682208481,0.04003732969377826,-0.00023696940012342405,0.0026243698930920184,-0.006362969424431708
coupling,g,0.2,2.0,0.7853981633974483,0.2,delta_only,1.0950000000000002,0.0387330200231973,0.04718362692899279,0.04029371738549888,0.041068881741959384,0.05119278376648902,0.04282777037892317,0.002335861718762086,0.004009156837496225,0.06288953111921747
coupling,g,0.30000000000000004,2.0,0.7853981633974483,0.30000000000000004,baseline,1.0,0.06135364535012318,0.0972444771975775,0.0653639627386702,0.06128459661479824,0.10514981273853141,0.06528559816297178,-6.904873532494193e-05,0.007905335540953906,-0.0011988957280900658
