g,theta,beta,p00,p11,re01,im01,n_modes,n_cut,dim
0.10000000149011612,0.0,0.4000000059604645,0.2931777834892273,0.7068222761154175,0.0,0.0,3,5,250
0.10000000149011612,0.0,0.5551020503044128,0.22772103548049927,0.7722790241241455,0.0,0.0,3,5,250
0.10000000149011612,0.0,0.7102041244506836,0.17329548299312592,0.8267043828964233,0.0,0.0,3,5,250
0.10000000149011612,0.0,0.8653061389923096,0.12969323992729187,0.8703066110610962,0.0,0.0,3,5,250
0.10000000149011612,0.0,1.0204081535339355,0.09579046070575714,0.9042094945907593,0.0,0.0,3,5,250
0.10000000149011612,0.0,1.1755101680755615,0.07003691047430038,0.9299631118774414,0.0,0.0,3,5,250
0.10000000149011612,0.0,1.330612301826477,0.05081813037395477,0.9491817951202393,0.0,0.0,3,5,250
0.10000000149011612,0.0,1.4857141971588135,0.036665257066488266,0.9633347988128662,0.0,0.0,3,5,250
0.10000000149011612,0.0,1.640816330909729,0.026344556361436844,0.9736555814743042,0.0,0.0,3,5,250
0.10000000149011612,0.0,1.795918345451355,0.018872059881687164,0.981127917766571,0.0,0.0,3,5,250
0.10000000149011612,0.0,1.951020359992981,0.013489731587469578,0.9865102171897888,0.0,0.0,3,5,250
0.10000000149011612,0.0,2.1061224937438965,0.009627385064959526,0.9903725981712341,0.0,0.0,3,5,250
0.10000000149011612,0.0,2.2612245082855225,0.006863203831017017,0.9931368231773376,0.0,0.0,3,5,250
0.10000000149011612,0.0,2.4163265228271484,0.0048887478187680244,0.995111346244812,0.0,0.0,3,5,250
0.10000000149011612,0.0,2.5714285373687744,0.0034803259186446667,0.9965196847915649,0.0,0.0,3,5,250
0.10000000149011612,0.0,2.7265305519104004,0.0024766535498201847,0.9975234270095825,0.0,0.0,3,5,250
0.10000000149011612,0.0,2.8816325664520264,0.001761912484653294,0.9982380270957947,0.0,0.0,3,5,250
0.10000000149011612,0.0,3.0367345809936523,0.0012531810207292438,0.9987468123435974,0.0,0.0,3,5,250
0.10000000149011612,0.0,3.1918368339538574,0.0008912079501897097,0.9991088509559631,0.0,0.0,3,5,250
0.10000000149011612,0.0,3.3469386100769043,0.000633722695056349,0.999366283416748,0.0,0.0,3,5,250
0.10000000149011612,0.0,3.5020406246185303,0.00045059557305648923,0.999549388885498,0.0,0.0,3,5,250
0.10000000149011612,0.0,3.6571428775787354,0.0003203696687705815,0.999679684638977,0.0,0.0,3,5,250
0.10000000149011612,0.0,3.8122448921203613,0.00022777168487664312,0.9997721910476685,0.0,0.0,3,5,250
0.10000000149011612,0.0,3.9673469066619873,0.00016193336341530085,0.99983811378479,0.0,0.0,3,5,250
0.10000000149011612,0.0,4.122448921203613,0.00011512375203892589,0.999884843826294,0.0,0.0,3,5,250
0.10000000149011612,0.0,4.277551174163818,8.184406033251435e-05,0.9999181032180786,0.0,0.0,3,5,250
0.10000000149011612,0.0,4.432652950286865,5.8184297813568264e-05,0.9999417662620544,0.0,0.0,3,5,250
0.10000000149011612,0.0,4.587754726409912,4.136389907216653e-05,0.9999586343765259,0.0,0.0,3,5,250
0.10000000149011612,0.0,4.742856979370117,2.9405910026980564e-05,0.9999706745147705,0.0,0.0,3,5,250
0.10000000149011612,0.0,4.897959232330322,2.0904803022858687e-05,0.9999791383743286,0.0,0.0,3,5,250
0.10000000149011612,0.0,5.053061485290527,1.4861290765111335e-05,0.9999850392341614,0.0,0.0,3,5,250
0.10000000149011612,0.0,5.208163261413574,1.0564933290879708e-05,0.99998939037323,0.0,0.0,3,5,250
0.10000000149011612,0.0,5.363265037536621,7.510634532081895e-06,0.9999926090240479,0.0,0.0,3,5,250
0.10000000149011612,0.0,5.518367290496826,5.3393118832900655e-06,0.9999947547912598,0.0,0.0,3,5,250
0.10000000149011612,0.0,5.673469066619873,3.7957211134198587e-06,0.9999962449073792,0.0,0.0,3,5,250
0.10000000149011612,0.0,5.828571319580078,2.6983775569533464e-06,0.9999973177909851,0.0,0.0,3,5,250
0.10000000149011612,0.0,5.983673572540283,1.9182750747859245e-06,0.999998152256012,0.0,0.0,3,5,250
0.10000000149011612,0.0,6.13877534866333,1.3637016991197015e-06,0.9999986886978149,0.0,0.0,3,5,250
