beta,case,n_modes,n_cut,ed_p00,ordered_p00,exact_raw_p00,d_ed_minus_exact,d_ed_minus_ordered
0.4,ed_m2_c10,2,10,0.344864052129785,0.36277967393405575,0.3711041301686108,-0.02624007803882583,-0.017915621804270754
1.1,ed_m2_c10,2,10,0.3076683516653744,0.28453933368575435,0.5438425442899638,-0.23617419262458944,0.023129017979620026
1.7999999999999998,ed_m2_c10,2,10,0.3290958182622082,0.26167586790195446,0.9954109539097795,-0.6663151356475714,0.06741995036025372
2.4999999999999996,ed_m2_c10,2,10,0.34286393231530404,0.2503672544649488,0.99999999998971,-0.657136067674406,0.09249667785035526
3.1999999999999997,ed_m2_c10,2,10,0.3498403945581747,0.243022176653128,1.0,-0.6501596054418253,0.10681821790504673
3.9,ed_m2_c10,2,10,0.35340928433973673,0.23820890737214231,1.0,-0.6465907156602633,0.11520037696759441
4.6,ed_m2_c10,2,10,0.3553295658973528,0.2355609436433184,1.0,-0.6446704341026472,0.11976862225403442
5.3,ed_m2_c10,2,10,0.3564154286041034,0.23484750419339695,1.0,-0.6435845713958965,0.12156792441070646
6.0,ed_m2_c10,2,10,0.3570534767088291,0.2358184352128152,1.0,-0.6429465232911709,0.12123504149601388
0.4,ed_m3_c10,3,10,0.34145517897774047,0.36277967393405575,0.3711041301686108,-0.029648951190870354,-0.021324494956315276
1.1,ed_m3_c10,3,10,0.26693267177490254,0.28453933368575435,0.5438425442899638,-0.2769098725150613,-0.017606661910851806
1.7999999999999998,ed_m3_c10,3,10,0.274174121028001,0.26167586790195446,0.9954109539097795,-0.7212368328817785,0.012498253126046521
2.4999999999999996,ed_m3_c10,3,10,0.28848390663820583,0.2503672544649488,0.99999999998971,-0.7115160933515041,0.03811665217325705
3.1999999999999997,ed_m3_c10,3,10,0.2997842281910702,0.243022176653128,1.0,-0.7002157718089298,0.0567620515379422
3.9,ed_m3_c10,3,10,0.30771082695736535,0.23820890737214231,1.0,-0.6922891730426346,0.06950191958522303
4.6,ed_m3_c10,3,10,0.31312130284901973,0.2355609436433184,1.0,-0.6868786971509803,0.07756035920570134
5.3,ed_m3_c10,3,10,0.316809748430872,0.23484750419339695,1.0,-0.6831902515691279,0.08196224423747506
6.0,ed_m3_c10,3,10,0.31934696310528593,0.2358184352128152,1.0,-0.6806530368947141,0.08352852789247073
0.4,ed_m3_c8,3,8,0.3383576704788728,0.36277967393405575,0.3711041301686108,-0.03274645968973805,-0.024422003455182972
1.1,ed_m3_c8,3,8,0.24977381514682082,0.28453933368575435,0.5438425442899638,-0.29406872914314297,-0.03476551853893353
1.7999999999999998,ed_m3_c8,3,8,0.2505742811296485,0.26167586790195446,0.9954109539097795,-0.744836672780131,-0.011101586772305938
2.4999999999999996,ed_m3_c8,3,8,0.2630702464281522,0.2503672544649488,0.99999999998971,-0.7369297535615578,0.012702991963203403
3.1999999999999997,ed_m3_c8,3,8,0.2742239729676807,0.243022176653128,1.0,-0.7257760270323192,0.031201796314552693
3.9,ed_m3_c8,3,8,0.28257283311818004,0.23820890737214231,1.0,-0.71742716688182,0.04436392574603773
4.6,ed_m3_c8,3,8,0.28853146556195075,0.2355609436433184,1.0,-0.7114685344380492,0.05297052191863236
5.3,ed_m3_c8,3,8,0.2927185535445257,0.23484750419339695,1.0,-0.7072814464554743,0.057871049351128745
6.0,ed_m3_c8,3,8,0.295651191974065,0.2358184352128152,1.0,-0.704348808025935,0.05983275676124977
0.4,ed_m4_c5,4,5,0.33770909002175387,0.36277967393405575,0.3711041301686108,-0.03339504014685696,-0.02507058391230188
1.1,ed_m4_c5,4,5,0.2233635183389913,0.28453933368575435,0.5438425442899638,-0.32047902595097255,-0.06117581534676306
1.7999999999999998,ed_m4_c5,4,5,0.19975014628731608,0.26167586790195446,0.9954109539097795,-0.7956608076224634,-0.061925721614638385
2.4999999999999996,ed_m4_c5,4,5,0.19880576792146343,0.2503672544649488,0.99999999998971,-0.8011942320682466,-0.05156148654348536
3.1999999999999997,ed_m4_c5,4,5,0.20306084234122632,0.243022176653128,1.0,-0.7969391576587737,-0.039961334311901686
3.9,ed_m4_c5,4,5,0.20814414364100292,0.23820890737214231,1.0,-0.791855856358997,-0.030064763731139393
4.6,ed_m4_c5,4,5,0.21289257870838332,0.2355609436433184,1.0,-0.7871074212916167,-0.02266836493493507
5.3,ed_m4_c5,4,5,0.21702178800548177,0.23484750419339695,1.0,-0.7829782119945182,-0.017825716187915175
6.0,ed_m4_c5,4,5,0.2205086344054618,0.2358184352128152,1.0,-0.7794913655945381,-0.015309800807353391
