variant,rmse_p00_vs_ordered,rmse_coh_vs_ordered,ratio_over_ordered_median,ratio_over_ordered_max
plus_const_k,0.020439512469575424,0.0019386794969926116,0.8413035379010818,0.9999999999999997
plus_baseline,0.02116524201673844,0.0017233167467417354,0.8351027054389775,0.9999999999999997
minus_signflip,0.1349777995104651,0.20821194898546316,0.012377842607211554,0.9999999999999997
plus_extra_g2,0.257358386075338,0.12132893500483326,0.9999999999999997,13.924932482800656
