delta,bandwidth,omega_min,omega_max,detune_over_omega_q,tail_fraction,rmse_cut4_vs_cut6_p00,rmse_cut5_vs_cut6_p00
0.2,0.40000000000000013,1.8,2.2,0.0,0.6990292757659671,0.0002536937893834846,7.239577154633236e-05
0.4,0.7999999999999998,1.6,2.4,0.0,0.6626272662068448,0.0005539084267625368,0.0001682551521696671
0.8,1.5999999999999999,1.2,2.8,0.0,0.5918327134598556,0.0015077811017629725,0.0005157905070719138
1.2,2.4000000000000004,0.8,3.2,0.0,0.524930946786104,0.004698148442529133,0.0014839263336504673
1.6,3.2,0.3999999999999999,3.6,0.0,0.46283688702044223,0.026333890092172702,0.009601222355713427
2.0,3.9,0.1,4.0,0.02499999999999991,0.4060058497098381,0.04002136338332253,0.017807208119200172
2.4,4.300000000000001,0.1,4.4,0.12500000000000022,0.35457010675946843,0.042203220151097516,0.01873545760429597
3.0,4.9,0.1,5.0,0.27500000000000013,0.2872974951836458,0.045128428149370445,0.019956209515244006
