sweep,model,median_ratio_over_ord,min_ratio_over_ord,max_ratio_over_ord,log_slope_vs_param,spearman_vs_param
angle,legacy,0.997350916633761,0.9558702009340304,1.2158088256140311,0.14623061180236432,0.7241379310344827
angle,running,1.006325675149369,0.8086110080086115,1.1300223100082771,-0.21445012772005673,-0.8246941045606229
coupling,legacy,2.335741353360502,0.6923680129479453,2.3940448378434214,0.4679911876316247,0.5661846496106785
coupling,running,1.1476912248757891,0.9679524912199492,1.157346584660702,0.07123728376487948,0.9919911012235817
temperature,legacy,44851.27020944308,0.7285691059112364,1662432288615.6538,5.001746617798857,0.9777530589543939
temperature,running,0.904973186316642,0.8057639233455407,1.0003583026367986,0.018982096762027664,0.5830923248053392
