sweep,x,model,dp00,dp11,dcoh,ratio_over_ed,td
coupling,0.0,ordered_base,3.469446951953614e-18,0.0,0.0,1.0000000000000002,1.734723475976807e-18
coupling,0.0,ordered_high,6.938893903907228e-18,0.0,0.0,1.0000000000000004,3.469446951953614e-18
coupling,0.0,compact_closed,3.469446951953614e-18,0.0,0.0,1.0000000000000002,1.734723475976807e-18
coupling,0.0,running_new,3.469446951953614e-18,0.0,0.0,1.0000000000000002,1.734723475976807e-18
coupling,0.2,ordered_base,0.027814724618821743,-0.027814724618821618,0.06428522081855671,1.9334440651614198,0.07004461807527748
coupling,0.2,ordered_high,0.026734234717099015,-0.026734234717098904,0.06249938658166511,1.89615398621612,0.06797714784391415
coupling,0.2,compact_closed,0.08014694871887976,-0.08014694871887962,0.20063052541912313,3.8481591523075616,0.21604661792978883
coupling,0.2,running_new,0.030946038534051645,-0.030946038534051645,0.07811979301422957,2.041998158290378,0.08402594457390575
coupling,0.4,ordered_base,0.057640123853721095,-0.05764012385372108,0.11815309248998221,2.034211831939155,0.13146306379671285
coupling,0.4,ordered_high,0.06022958899718002,-0.06022958899718012,0.12286123167351395,2.083866650559075,0.13683013425083707
coupling,0.4,compact_closed,0.1047825101146078,-0.10478251011460793,0.267338876676095,2.986619293451232,0.28714012155801955
coupling,0.4,running_new,0.04748112056263096,-0.047481120562631096,0.12465792132573916,1.8421990050506458,0.13339435579940137
coupling,0.6000000000000001,ordered_base,0.049438571162759334,-0.049438571162759515,0.08869300123852156,1.6019100430958169,0.10154122703272599
coupling,0.6000000000000001,ordered_high,0.05389632259683226,-0.05389632259683241,0.09515192510213974,1.6596241539572252,0.10935585233587193
coupling,0.6000000000000001,compact_closed,0.072076619190355,-0.07207661919035524,0.19699779954423655,1.901408886188777,0.20976933059716496
coupling,0.6000000000000001,running_new,0.029915738856007276,-0.0299157388560074,0.09201688904288316,1.356085204076407,0.09675773509353708
coupling,0.8,ordered_base,0.03508106693845554,-0.03508106693845525,0.05514214241178167,1.3436503220773155,0.06535546746295673
coupling,0.8,ordered_high,0.03886516131561581,-0.03886516131561557,0.06012553814523458,1.3824336288427064,0.07159316378916977
coupling,0.8,compact_closed,0.04724845476013424,-0.04724845476013406,0.14910367121335188,1.4696111146348134,0.1564107453038946
coupling,0.8,running_new,0.010678692589833463,-0.01067869258983345,0.05804471025912644,1.1016676839660169,0.05901883482833338
coupling,1.0,ordered_base,0.024561083012418522,-0.02456108301241844,0.03442007873280739,1.2128429087563173,0.042284614444447394
coupling,1.0,ordered_high,0.027561920259654205,-0.027561920259654205,0.03818857149912486,1.2397064457780267,0.04709592807816089
coupling,1.0,compact_closed,0.03045086547902595,-0.030450865479025868,0.12055576714425303,1.2657514471045008,0.12434206126713952
coupling,1.0,running_new,-0.0035202328486292622,0.0035202328486293455,0.035967509517295326,0.9704836198921221,0.036139366073373494
coupling,1.2000000000000002,ordered_base,0.01771321898324532,-0.017713218983245294,0.02273091623735507,1.1427082567451097,0.028817575882402968
coupling,1.2000000000000002,ordered_high,0.02009634671317878,-0.020096346713178614,0.025639489015066408,1.162372495502877,0.032576779278651866
coupling,1.2000000000000002,compact_closed,0.01926145127539758,-0.01926145127539758,0.1036998427523329,1.1554705819579263,0.10547350801074683
coupling,1.2000000000000002,running_new,-0.013300798621006305,0.013300798621006305,0.022619634178166426,0.8966858184711637,0.0262404095682715
coupling,1.4000000000000001,ordered_base,0.013303392279203297,-0.013303392279203186,0.016024076954765654,1.1023637238360005,0.020826696530813846
coupling,1.4000000000000001,ordered_high,0.01521102323936252,-0.015211023239362631,0.018309178988962782,1.117311677913763,0.023803387642062645
coupling,1.4000000000000001,compact_closed,0.011652406669688642,-0.011652406669688697,0.09329600484228562,1.089482157417838,0.09402086524132612
coupling,1.4000000000000001,running_new,-0.02006236566420269,0.02006236566420272,0.01432602529949395,0.851593821717816,0.02465225176177463
coupling,1.6,ordered_base,0.010433790846513052,-0.01043379084651297,0.012015169515468549,1.077874395427869,0.015913148334450452
coupling,1.6,ordered_high,0.011970106144860465,-0.011970106144860382,0.013832915976686733,1.0895070874326402,0.01829297694573799
coupling,1.6,compact_closed,0.006331478809194602,-0.006331478809194491,0.08651385609114748,1.0470230212324858,0.08674522995341614
coupling,1.6,running_new,-0.024834320223203893,0.024834320223203976,0.00891082648249436,0.8222200155200162,0.026384584316410078
coupling,1.8,ordered_base,0.008537375114636286,-0.00853737511463637,0.009519778459386063,1.0623934584350938,0.012787218452963222
coupling,1.8,ordered_high,0.009778822563535877,-0.009778822563536016,0.010977471561155416,1.0715738982259047,0.014701369072473984
coupling,1.8,compact_closed,0.0025025458769968034,-0.0025025458769970532,0.08186737888884865,1.018156593254324,0.08190561923333944
coupling,1.8,running_new,-0.02828744383979298,0.02828744383979276,0.005200118866480696,0.802093340256142,0.028761444943099904
coupling,2.0,ordered_base,0.007258874692689182,-0.0072588746926891545,0.007907155835417068,1.0522556949099873,0.010733795936654161
coupling,2.0,ordered_high,0.008262820898018886,-0.008262820898018886,0.009081530944305694,1.0595555166806334,0.012277964549758193
coupling,2.0,compact_closed,-0.00033358470643879423,0.00033358470643884974,0.07854306273223788,0.9976204869132824,0.0785437711223278
coupling,2.0,running_new,-0.030855068596672974,0.030855068596673085,0.0025443853548323125,0.7876960482098735,0.030959799013224824
temperature,0.5,ordered_base,0.09293388982855372,-0.09293388982855366,3.3896993384071476e-18,1.5092793645497686,0.09293388982855369
