sweep,model,rmse_p00,rmse_coh,ratio_over_ordered_median,ratio_over_ordered_min,ratio_over_ordered_max
angle,compact_raw,0.3284356376333023,0.18929443532764456,1.7336932994543293,0.9999999999999998,17820.744924337152
angle,compact_running,0.007438080434798638,0.007613561874861327,0.9513538533099359,0.9085211314441612,1.0271846684618675
coupling,compact_raw,0.03051874864894069,0.10821688289484828,1.1178158589433664,0.9999999999999997,2.052363888428798
coupling,compact_running,0.02121313604007872,0.0017061758542069134,0.8351027054389775,0.7885737547284019,0.9999999999999997
temperature,compact_raw,0.6652108253832,2.205704842395257e-16,11590638463979.68,1.0019899557314778,3257099869226466.0
temperature,compact_running,0.07860340235309003,6.915081718125103e-17,1.4861627519815725,0.8357521486641833,1.7791790569292167
