sweep,param_name,param,beta,theta,g,ord_p00,ord_p11,ord_coh,legacy_p00,legacy_p11,legacy_coh,running_p00,running_p11,running_coh,legacy_dp00,legacy_dp11,legacy_dcoh,running_dp00,running_dp11,running_dcoh
coupling,g,0.0,2.0,0.7853981633974483,0.0,0.11920292202211756,0.8807970779778823,0.0,0.11920292202211757,0.8807970779778824,0.0,0.11920292202211757,0.8807970779778824,0.0,1.3877787807814457e-17,1.1102230246251565e-16,0.0,1.3877787807814457e-17,1.1102230246251565e-16,0.0
coupling,g,0.08620689655172414,2.0,0.7853981633974483,0.08620689655172414,0.13203215700119694,0.8679678429988031,0.0176741667644193,0.12224982176191508,0.877750178238085,0.0042407725466767025,0.13299628642403813,0.8670037135759618,0.01919804590808749,-0.009782335239281861,0.009782335239281847,-0.013433394217742598,0.0009641294228411867,-0.0009641294228412978,0.0015238791436681907
coupling,g,0.1724137931034483,2.0,0.7853981633974483,0.1724137931034483,0.16451778573081383,0.8354822142691862,0.06213681406351198,0.13178385555855934,0.8682161444414406,0.017510545836487694,0.16672592082702906,0.833274079172971,0.0661440302860152,-0.03273393017225448,0.032733930172254344,-0.044626268227024285,0.00220813509621523,-0.0022081350962152024,0.004007216222503225
coupling,g,0.25862068965517243,2.0,0.7853981633974483,0.25862068965517243,0.20178540015158247,0.7982145998484176,0.11247701767534937,0.14895631571245546,0.8510436842875445,0.0414117253299691,0.20388277708313385,0.7961172229168663,0.11786013169674753,-0.05282908443912701,0.05282908443912693,-0.07106529234538028,0.0020973769315513757,-0.00209737693155132,0.005383114021398155
coupling,g,0.3448275862068966,2.0,0.7853981633974483,0.3448275862068966,0.2304002773302474,0.7695997226697525,0.15036974352418125,0.17548754098032737,0.8245124590196726,0.07833873355281397,0.2338833832687419,0.766116616731258,0.1596159352874627,-0.05491273634992003,0.05491273634992011,-0.07203100997136729,0.0034831059384944907,-0.003483105938494546,0.009246191763281453
coupling,g,0.4310344827586207,2.0,0.7853981633974483,0.4310344827586207,0.2475922504753847,0.7524077495246153,0.1725315666731393,0.2129944397939766,0.7870055602060234,0.13054203539512396,0.25526401200763454,0.7447359879923655,0.18937417846241178,-0.0345978106814081,0.0345978106814081,-0.04198953127801533,0.0076717615322498545,-0.007671761532249799,0.016842611789272488
coupling,g,0.5172413793103449,2.0,0.7853981633974483,0.5172413793103449,0.2571709917028668,0.7428290082971333,0.18447526807938322,0.26142795509338507,0.738572044906615,0.19795335167113243,0.27002365330034495,0.729976346699655,0.20991711946416647,0.004256963390518287,-0.004256963390518287,0.013478083591749207,0.012852661597478166,-0.012852661597478221,0.02544185138478325
coupling,g,0.603448275862069,2.0,0.7853981633974483,0.603448275862069,0.2627932479566757,0.7372067520433243,0.19124067395824246,0.3169312116570961,0.683068788342904,0.2752045600427548,0.280289569881177,0.719710430118823,0.2242055506303849,0.0541379637004204,-0.054137963700420344,0.08396388608451233,0.01749632192450129,-0.017496321924501346,0.03296487667214243
coupling,g,0.6896551724137931,2.0,0.7853981633974483,0.6896551724137931,0.2664484158980311,0.7335515841019689,0.1955009125452372,0.37133596797166696,0.628664032028333,0.3509268406199296,0.2875847963057673,0.7124152036942326,0.23435928018672691,0.10488755207363587,-0.10488755207363587,0.15542592807469244,0.02113638040773619,-0.021136380407736244,0.03885836764148973
coupling,g,0.7758620689655173,2.0,0.7853981633974483,0.7758620689655173,0.26906291941435834,0.7309370805856417,0.19847349939664202,0.41577163758399666,0.5842283624160033,0.41277382735329937,0.29289933310472804,0.707100666895272,0.24175622254782808,0.14670871816963832,-0.14670871816963837,0.21430032795665735,0.023836413690369707,-0.023836413690369707,0.04328272315118606
coupling,g,0.8620689655172414,2.0,0.7853981633974483,0.8620689655172414,0.27106674196778335,0.7289332580322165,0.20071109754036562,0.4459214277278545,0.5540785722721455,0.45473726995040753,0.296865687188333,0.7031343128116669,0.2472767210691444,0.17485468576007113,-0.17485468576007102,0.2540261724100419,0.02579894522054965,-0.025798945220549596,0.04656562352877877
coupling,g,0.9482758620689655,2.0,0.7853981633974483,0.9482758620689655,0.2726734050277959,0.727326594972204,0.2024819642372236,0.46322941667527506,0.5367705833247249,0.47882708275510544,0.29989216287337545,0.7001078371266246,0.25148906676292343,0.19055601164747915,-0.19055601164747904,0.27634511851788185,0.027218757845579533,-0.027218757845579367,0.04900710252569984
coupling,g,1.0344827586206897,2.0,0.7853981633974483,1.0344827586206897,0.273999801154317,0.726000198845683,0.20392969591784024,0.4718672293421223,0.5281327706578778,0.49084946680090813,0.3022476940785235,0.6977523059214765,0.2547675704619967,0.19786742818780528,-0.19786742818780523,0.28691977088306786,0.028247892924206486,-0.028247892924206486,0.050837874544156475
coupling,g,1.120689655172414,2.0,0.7853981633974483,1.120689655172414,0.2751166469937442,0.7248833530062558,0.20513938929768932,0.47570679898559237,0.5242932010144076,0.4961935026818404,0.30411352896891614,0.6958864710310838,0.2573644991618347,0.20059015199184815,-0.20059015199184826,0.2910541133841511,0.028996881975171918,-0.02899688197517203,0.05222510986414536
coupling,g,1.206896551724138,2.0,0.7853981633974483,1.206896551724138,0.27607052528447096,0.7239294747155292,0.20616611104445873,0.47725239362636396,0.5227476063736362,0.4983447107558254,0.30561464943272915,0.6943853505672709,0.2594538066533296,0.201181868341893,-0.201181868341893,0.2921785997113667,0.02954412414825819,-0.029544124148258244,0.053287695608870894
coupling,g,1.293103448275862,2.0,0.7853981633974483,1.293103448275862,0.2768941686222997,0.7231058313777003,0.20704798765742377,0.4778212648556881,0.522178735144312,0.499136483934444,0.3068391285320986,0.6931608714679015,0.2611580758423547,0.2009270962333884,-0.20092709623338834,0.2920884962770202,0.029944959909798896,-0.02994495990979884,0.054110088184930905
coupling,g,1.3793103448275863,2.0,0.7853981633974483,1.3793103448275863,0.27761166627030376,0.7223883337296961,0.20781273827243407,0.4780136626259957,0.5219863373740042,0.49940426930713117,0.30785028923101215,0.6921497107689878,0.2625654416562741,0.20040199635569195,-0.2004019963556919,0.2915915310346971,0.030238622960708395,-0.03023862296070834,0.05475270338384003
coupling,g,1.4655172413793105,2.0,0.7853981633974483,1.4655172413793105,0.2782413385673328,0.7217586614326672,0.20848123056111037,0.4780736024277918,0.5219263975722083,0.4994876954411094,0.30869450479509414,0.6913054952049059,0.26374044788994644,0.199832263860459,-0.19983226386045894,0.29100646487999904,0.03045316622776134,-0.030453166227761286,0.05525921732883607
coupling,g,1.5517241379310347,2.0,0.7853981633974483,1.5517241379310347,0.278797456634147,0.721202543365853,0.20906957977320906,0.47809082460154034,0.5219091753984596,0.49951166581357453,0.30940631011424635,0.6905936898857536,0.2647311613081172,0.19929336796739333,-0.1992933679673934,0.2904420860403655,0.03060885348009934,-0.03060885348009934,0.05566158153490813
coupling,g,1.6379310344827587,2.0,0.7853981633974483,1.6379310344827587,0.2792913429329339,0.7207086570670661,0.20959047554401503,0.4780953913528755,0.5219046086471246,0.499518021964201,0.3100118197428561,0.689988180257144,0.2655739289831467,0.1988040484199416,-0.19880404841994148,0.2899275464201859,0.03072047680992218,-0.03072047680992207,0.055983453439131664
coupling,g,1.7241379310344829,2.0,0.7853981633974483,1.7241379310344829,0.27973211352573135,0.7202678864742686,0.2100540668497279,0.47809650939540405,0.5219034906045961,0.4995195780915651,0.31053105780212026,0.6894689421978797,0.26629662112760943,0.1983643958696727,-0.19836439586967258,0.28946551124183717,0.030798944276388907,-0.030798944276388962,0.056242554277881524
coupling,g,1.810344827586207,2.0,0.7853981633974483,1.810344827586207,0.28012719880817905,0.7198728011918208,0.21046857674683636,0.47809676219542013,0.5219032378045798,0.4995199299467162,0.3109795747782989,0.689020425221701,0.26692088140583664,0.1979695633872411,-0.19796956338724103,0.28905135319987985,0.03085237597011986,-0.030852375970119805,0.05645230465900028
