key,status,error,timestamp,elapsed_s,window_name,window_family,bandwidth,omega_min,omega_max,beta,omega_q,theta,g,n_modes,n_cut,case,dw,detune_over_omega_q,tail_fraction,ordered_p00,ordered_coh,best_cont_p00,best_cont_coh,best_disc_p00,best_disc_coh,ed_p00,ed_coh,d_ed_ordered_p00,d_ed_cont_p00,d_ed_disc_p00,d_ed_ordered_coh,d_ed_cont_coh,d_ed_disc_coh
center_d0.15|1.54000000|2|5,ok,,2026-02-20 11:19:10,0.0010569000005489215,center_d0.15,centered,0.29999999999999993,0.85,1.15,1.54,1.0,1.5707963267948966,0.5,2,5,m2c5,0.29999999999999993,0.1499999999999999,0.8862601683709552,0.20691647254231985,8.922781194568214e-18,0.20358131090747728,2.0449079393278724e-18,0.22583839843590653,3.727740963672935e-18,0.22802297988350134,3.5263005038493245e-17,0.021106507341181496,0.024441668976024067,0.0021845814475948133,2.634022384392503e-17,3.3218097099165375e-17,3.153526407482031e-17
center_d0.15|1.54000000|2|6,ok,,2026-02-20 11:19:10,0.001698799998848699,center_d0.15,centered,0.29999999999999993,0.85,1.15,1.54,1.0,1.5707963267948966,0.5,2,6,m2c6,0.29999999999999993,0.1499999999999999,0.8862601683709552,0.20691647254231985,8.922781194568214e-18,0.20358131090747728,2.0449079393278724e-18,0.22583839843590653,3.727740963672935e-18,0.2285743539287386,1.586650431717969e-17,0.021657881386418748,0.02499304302126132,0.002735955492832065,6.943723122611477e-18,1.3821596377851819e-17,1.2138763353506756e-17
center_d0.15|1.54000000|3|4,ok,,2026-02-20 11:19:10,0.0066505000067991205,center_d0.15,centered,0.29999999999999993,0.85,1.15,1.54,1.0,1.5707963267948966,0.5,3,4,m3c4,0.15000000000000002,0.0,0.8862601683709552,0.20691647254231985,8.922781194568214e-18,0.20358131090747728,2.0449079393278724e-18,0.21480681010058256,2.8936538826616835e-18,0.21500340068896745,7.265116646203774e-19,0.008086928146647604,0.011422089781490175,0.00019659058838489285,-8.196269529947837e-18,-1.318396274707495e-18,-2.167142218041306e-18
center_d0.15|1.54000000|3|5,ok,,2026-02-20 11:19:10,0.022499400001834147,center_d0.15,centered,0.29999999999999993,0.85,1.15,1.54,1.0,1.5707963267948966,0.5,3,5,m3c5,0.15000000000000002,0.0,0.8862601683709552,0.20691647254231985,8.922781194568214e-18,0.20358131090747728,2.0449079393278724e-18,0.21480681010058256,2.8936538826616835e-18,0.21608073147973508,1.2059933067311069e-17,0.009164258937415237,0.012499420572257808,0.0012739213791525261,3.1371518727428547e-18,1.0015025127983197e-17,9.166279184649385e-18
center_d0.15|1.54000000|3|6,ok,,2026-02-20 11:19:10,0.0706718000001274,center_d0.15,centered,0.29999999999999993,0.85,1.15,1.54,1.0,1.5707963267948966,0.5,3,6,m3c6,0.15000000000000002,0.0,0.8862601683709552,0.20691647254231985,8.922781194568214e-18,0.20358131090747728,2.0449079393278724e-18,0.21480681010058256,2.8936538826616835e-18,0.2164238993956053,4.053539946598878e-18,0.009507426853285456,0.012842588488128026,0.0016170892950227445,-4.869241247969336e-18,2.0086320072710057e-18,1.1598860639371946e-18
center_d0.15|1.54000000|4|4,ok,,2026-02-20 11:19:10,0.11485499999980675,center_d0.15,centered,0.29999999999999993,0.85,1.15,1.54,1.0,1.5707963267948966,0.5,4,4,m4c4,0.09999999999999998,0.04999999999999982,0.8862601683709552,0.20691647254231985,8.922781194568214e-18,0.20358131090747728,2.0449079393278724e-18,0.21094984000203015,2.6020329292596226e-18,0.21104386295134883,8.560090882263575e-18,0.004127390409028986,0.0074625520438715565,9.402294931867838e-05,-3.626903123046389e-19,6.515182942935703e-18,5.958057953003953e-18
center_d0.15|1.54000000|4|5,ok,,2026-02-20 11:19:10,1.0160117999985232,center_d0.15,centered,0.29999999999999993,0.85,1.15,1.54,1.0,1.5707963267948966,0.5,4,5,m4c5,0.09999999999999998,0.04999999999999982,0.8862601683709552,0.20691647254231985,8.922781194568214e-18,0.20358131090747728,2.0449079393278724e-18,0.21094984000203015,2.6020329292596226e-18,0.21196357646965605,5.072633236377919e-18,0.005047103927336205,0.008382265562178776,0.0010137364676258975,-3.8501479581902955e-18,3.0277252970500465e-18,2.4706003071182963e-18
center_d0.15|1.54000000|4|6,ok,,2026-02-20 11:19:11,6.97610999999597,center_d0.15,centered,0.29999999999999993,0.85,1.15,1.54,1.0,1.5707963267948966,0.5,4,6,m4c6,0.09999999999999998,0.04999999999999982,0.8862601683709552,0.20691647254231985,8.922781194568214e-18,0.20358131090747728,2.0449079393278724e-18,0.21094984000203015,2.6020329292596226e-18,0.21224718409807855,3.304657446509898e-17,0.005330711555758705,0.008665873190601275,0.0012973440960483973,2.4123793270530766e-17,3.100166652577111e-17,3.044454153583936e-17
center_d0.15|2.48000000|2|4,ok,,2026-02-20 11:19:18,0.007778499995765742,center_d0.15,centered,0.29999999999999993,0.85,1.15,2.48,1.0,1.5707963267948966,0.5,2,4,m2c4,0.29999999999999993,0.1499999999999999,0.8862601683709552,0.12342293666232058,6.696191204399955e-18,0.118732109510365,4.049440447179997e-18,0.1541981663871324,7.513805060601968e-18,0.15515653563226717,2.841389731618926e-17,0.03173359896994658,0.036424426121902165,0.0009583692451347603,2.1717706111789306e-17,2.4364456869009263e-17,2.0900092255587294e-17
center_d0.15|2.48000000|2|5,ok,,2026-02-20 11:19:18,0.0015233000012813136,center_d0.15,centered,0.29999999999999993,0.85,1.15,2.48,1.0,1.5707963267948966,0.5,2,5,m2c5,0.29999999999999993,0.1499999999999999,0.8862601683709552,0.12342293666232058,6.696191204399955e-18,0.118732109510365,4.049440447179997e-18,0.1541981663871324,7.513805060601968e-18,0.15572890634533787,4.473823524944079e-17,0.032305969683017285,0.03699679683497287,0.0015307399582054626,3.804204404504084e-17,4.0688794802260794e-17,3.7224430188838825e-17
center_d0.15|2.48000000|2|6,ok,,2026-02-20 11:19:18,0.001695099999778904,center_d0.15,centered,0.29999999999999993,0.85,1.15,2.48,1.0,1.5707963267948966,0.5,2,6,m2c6,0.29999999999999993,0.1499999999999999,0.8862601683709552,0.12342293666232058,6.696191204399955e-18,0.118732109510365,4.049440447179997e-18,0.1541981663871324,7.513805060601968e-18,0.15583930061643209,2.587276546336649e-17,0.0324163639541115,0.03710719110606708,0.001641134229299679,1.9176574258966534e-17,2.182332501618649e-17,1.8358960402764522e-17
center_d0.15|2.48000000|3|4,ok,,2026-02-20 11:19:18,0.0065279999980703,center_d0.15,centered,0.29999999999999993,0.85,1.15,2.48,1.0,1.5707963267948966,0.5,3,4,m3c4,0.15000000000000002,0.0,0.8862601683709552,0.12342293666232058,6.696191204399955e-18,0.118732109510365,4.049440447179997e-18,0.13658036497897885,5.792833237384482e-18,0.1367870219759659,9.038051751695781e-18,0.013364085313645316,0.018054912465600897,0.00020665699698704798,2.3418605472958257e-18,4.988611304515784e-18,3.2452185143112993e-18
center_d0.15|2.48000000|3|5,ok,,2026-02-20 11:19:18,0.020281400000385474,center_d0.15,centered,0.29999999999999993,0.85,1.15,2.48,1.0,1.5707963267948966,0.5,3,5,m3c5,0.15000000000000002,0.0,0.8862601683709552,0.12342293666232058,6.696191204399955e-18,0.118732109510365,4.049440447179997e-18,0.13658036497897885,5.792833237384482e-18,0.13706041624201376,2.1770653810023847e-17,0.013637479579693176,0.018328306731648758,0.0004800512630349085,1.507446260562389e-17,1.7721213362843848e-17,1.5977820572639364e-17
center_d0.15|2.48000000|3|6,ok,,2026-02-20 11:19:18,0.07061899999825982,center_d0.15,centered,0.29999999999999993,0.85,1.15,2.48,1.0,1.5707963267948966,0.5,3,6,m3c6,0.15000000000000002,0.0,0.8862601683709552,0.12342293666232058,6.696191204399955e-18,0.118732109510365,4.049440447179997e-18,0.13658036497897885,5.792833237384482e-18,0.13710457513874091,1.7181928959525527e-19,0.01368163847642033,0.01837246562837591,0.0005242101597620619,-6.5243719148047004e-18,-3.8776211575847424e-18,-5.621013947789227e-18
center_d0.15|2.48000000|4|4,ok,,2026-02-20 11:19:18,0.11806959999375977,center_d0.15,centered,0.29999999999999993,0.85,1.15,2.48,1.0,1.5707963267948966,0.5,4,4,m4c4,0.09999999999999998,0.04999999999999982,0.8862601683709552,0.12342293666232058,6.696191204399955e-18,0.118732109510365,4.049440447179997e-18,0.130430385302776,5.192102071867803e-18,0.13048226422895257,1.1731218663712472e-17,0.007059327566631982,0.011750154718587563,5.1878926176557316e-05,5.035027459312517e-18,7.681778216532475e-18,6.539116591844669e-18
center_d0.15|2.48000000|4|5,ok,,2026-02-20 11:19:18,1.001594200002728,center_d0.15,centered,0.29999999999999993,0.85,1.15,2.48,1.0,1.5707963267948966,0.5,4,5,m4c5,0.09999999999999998,0.04999999999999982,0.8862601683709552,0.12342293666232058,6.696191204399955e-18,0.118732109510365,4.049440447179997e-18,0.130430385302776,5.192102071867803e-18,0.13068273876743128,5.18490466926838e-18,0.007259802105110694,0.011950629257066275,0.0002523534646552694,-1.5112865351315755e-18,1.1354642220883824e-18,-7.1974025994233e-21
center_d0.15|2.48000000|4|6,ok,,2026-02-20 11:19:19,6.932015999998839,center_d0.15,centered,0.29999999999999993,0.85,1.15,2.48,1.0,1.5707963267948966,0.5,4,6,m4c6,0.09999999999999998,0.04999999999999982,0.8862601683709552,0.12342293666232058,6.696191204399955e-18,0.118732109510365,4.049440447179997e-18,0.130430385302776,5.192102071867803e-18,0.13071271995019207,1.3819800191072867e-17,0.007289783287871485,0.011980610439827066,0.0002823346474160604,7.123608986672911e-18,9.77035974389287e-18,8.627698119205064e-18
center_d0.15|3.42000000|2|4,ok,,2026-02-20 11:19:26,0.008453900001768488,center_d0.15,centered,0.29999999999999993,0.85,1.15,3.4200000000000004,1.0,1.5707963267948966,0.5,2,4,m2c4,0.29999999999999993,0.1499999999999999,0.8862601683709552,0.08226147524893923,8.75677549213896e-18,0.08061802118852213,6.229346310703256e-18,0.12690200774400667,1.2123983198750268e-17,0.11653579432292703,2.9559981763463964e-17,0.0342743190739878,0.035917773134404904,-0.010366213421079642,2.0803206271325005e-17,2.333063545276071e-17,1.7435998564713696e-17
