beta,ed_p00,model_p00,delta_model_minus_ed
0.4,0.344864052129785,0.4844008791844616,0.13953682705467663
0.96,0.3047190789180116,0.4847325856368645,0.1800135067188529
1.52,0.3209185871116095,0.4117040931386805,0.09078550602707103
2.0799999999999996,0.335691790102002,0.34226394356581646,0.006572153463814456
2.6399999999999997,0.34466873559643585,0.34945114718001485,0.004782411583579005
3.1999999999999997,0.3498403945581747,0.3493120624469665,-0.0005283321112082295
3.7599999999999993,0.352865496189978,0.34916284687604127,-0.0037026493139367123
4.319999999999999,0.35469375588861296,0.3490023519244533,-0.00569140396415968
4.88,0.3558362591574648,0.3488292487768153,-0.007007010380649492
5.4399999999999995,0.3565707585534141,0.34864199170005594,-0.007928766853358138
6.0,0.3570534767088291,0.34843877225717695,-0.008614704451652133
