n_modes,n_cut,n_points,rmse_ed_vs_ordered_p00,rmse_ed_vs_v12_p00,rmse_ed_vs_raw_p00,p00_at_beta2,p00_at_beta10
2,6,14,0.08587505445485297,0.07219975868513692,0.67634014799762,0.2679036357396567,0.30227112865007955
2,8,14,0.09749413112405257,0.09248110038770993,0.6424899036730445,0.3059549233523599,0.33635057899131543
2,10,14,0.10982208971981584,0.10910529381859937,0.6208373995310965,0.3317059094174749,0.35799930569355787
2,12,14,0.12006709589841143,0.12178101661716259,0.6056645643454133,0.3501751529114091,0.37314778525301084
3,4,14,0.1147131224175457,0.09057171448338736,0.7711067233750092,0.178768299162052,0.2058066478560889
3,5,14,0.09535386644488378,0.07392231678436054,0.7390941910354623,0.202661591777107,0.2410035261935336
3,6,14,0.08609836646933806,0.06836007940565701,0.7149069354206131,0.22278585320905214,0.26673815530727857
4,3,14,0.14569394239181416,0.1190093686294637,0.8107601041148347,0.16192813667427727,0.1583698946584836
4,4,14,0.11687712909116482,0.09311855557058156,0.7749300030795224,0.18354391502134923,0.20027901913556478
