sweep,model,rmse_p00,rmse_p11,rmse_coh,rmse_trace_distance,ratio_over_exact_median,ratio_over_exact_min,ratio_over_exact_max
angle,compact_ab_vs_exact,0.3614357679700654,0.3614357679700654,0.23179289261778527,0.4293760117149432,2.3106147223101967,0.9999999999999928,1030116086899.7783
angle,ordered_vs_exact,0.10276938180353817,0.10276938180353819,0.08135814898962936,0.1310751473136694,1.805234858669675,0.9999999999999932,2.7344633804554426
coupling,compact_ab_vs_exact,0.05026900157987548,0.05026900157987551,0.14684995323350034,0.15521559613814187,1.1810876495908553,0.9976201384645602,4.253242506909084
coupling,ordered_vs_exact,0.029160696670947228,0.029160696670947214,0.054092410941706276,0.06145189298810426,1.1588028284707992,1.0000000000000002,2.147870217210443
temperature,compact_ab_vs_exact,0.7544793379834623,0.7544793379834622,3.030097239001986e-16,0.7544793379834622,4143920266984271.5,1.1351758392292597,4686021538092944.0
temperature,ordered_vs_exact,0.153691287626187,0.153691287626187,5.790503282258797e-18,0.153691287626187,2.2527713692215294,1.1087518958166427,2.7442697876992006
