sweep,model,rmse_p00,rmse_coh,rmse_td,ratio_med,ratio_min,ratio_max
coupling,ordered_base,0.028761280092822156,0.05330492747828364,0.06056918792622899,1.1427082567451097,1.0000000000000002,2.034211831939155
coupling,running_new,0.025551836822278594,0.05689069121954163,0.0623654320311307,0.9704836198921221,0.7876960482098735,2.041998158290378
coupling,ordered_high,0.030836398060606823,0.0560156876040083,0.06394247964461532,1.162372495502877,1.0000000000000004,2.083866650559075
coupling,compact_closed,0.04890701962944371,0.14368847082564684,0.15178363949137452,1.1554705819579263,0.9976204869132824,3.8481591523075616
temperature,ordered_base,0.1563407276917945,7.195657917247502e-18,0.1563407276917945,2.2829956297540583,1.5092793645497686,2.719071121557282
temperature,running_new,0.1579316373927305,1.0387529469169492e-16,0.15793163739273047,2.293369843525965,1.3793298678835104,2.6604796086581306
temperature,ordered_high,0.1723684036679953,1.4291852211281158e-17,0.1723684036679953,2.3927274723603875,1.5069890511965929,2.8867770593239857
temperature,compact_closed,0.7702105090858646,3.123554913567176e-16,0.7702105090858646,4052419894934336.0,2.1913042277663477,4693752879119322.0
