sweep,rmse_u,rmse_d,scale_median,scale_min,scale_max
beta_theta_pi2_g05,0.09938393151888777,11.826056173605314,0.23095964678188832,0.11657143798023678,0.9704765733372629
g_beta2_theta_pi2,0.0873435008346318,13.481452556937375,0.10277096221512022,0.09638675086565786,0.9542905452135442
g_beta2_theta_pi4,0.06259815216317173,0.14049172029945825,0.9502005692618342,0.6738580346080942,1.051862597007577
fit_g_beta2_theta_pi2,,,1.0405034155304582,13.450000000000001,0.9442161679302855
fit_g_beta2_theta_pi4,,,0.9098961788016308,0.0,0.0
