sweep,model,rmse_p00,rmse_coh,max_abs_p00,max_abs_coh
angle,legacy,0.021467410948995895,0.010438774310112931,0.048478222138974625,0.018433221930927085
angle,running,0.025432207351044976,0.03604235328284581,0.05128642696226299,0.068871446204476
coupling,legacy,0.1651349220438079,0.24067547513844897,0.201181868341893,0.2921785997113667
coupling,running,0.02445206659070824,0.04513266923584061,0.030517373746262955,0.05671415218309356
temperature,legacy,0.4837898715536857,1.5609280547801355e-16,0.6246379709575287,2.6978388629367455e-16
temperature,running,0.0312599360021797,5.409229816441067e-17,0.05204145185379766,9.655870968335933e-17
