g,k_needed,fit_run_factor,fit_inv_run_factor,fit_g2,fit_g2_Rminus,fit_g2_Kminus,fit_g2_Kplus,fit_gamma_diag_like,fit_pade_g2
0.0,,,,,,,,,
0.1,1.0418614502281676,0.9665503567272141,0.981282476457333,0.9812824764573329,0.9812824764573328,0.9812824764573328,0.9812824764573324,0.9701138174129145,0.9656998891820922
0.2,0.9350859913041673,0.9755097981875936,0.9815494833537439,0.9815494833537438,0.9815494833537437,0.9815494833537437,0.9815494833537433,0.9765819144453808,0.9681585224590729
0.3,0.9209847374636126,0.9831508300270062,0.9819944948477619,0.9819944948477618,0.9819944948477617,0.9819944948477618,0.9819944948477614,0.986060657900962,0.971768800811754
0.4,0.945771471432156,0.9883585684054053,0.9826175109393872,0.9826175109393871,0.982617510939387,0.9826175109393871,0.9826175109393867,0.9913309894655863,0.9760063461460045
0.5,0.974796358950426,0.9917460614548399,0.9834185316286198,0.9834185316286197,0.9834185316286196,0.9834185316286196,0.9834185316286191,0.9938826500033435,0.9804075337973693
0.6000000000000001,0.9943817531933408,0.9939776532226212,0.9843975569154595,0.9843975569154594,0.9843975569154593,0.9843975569154594,0.9843975569154589,0.9952709271449741,0.9846453115148764
0.7000000000000001,1.003742674629602,0.9954923928721074,0.9855545867999065,0.9855545867999064,0.9855545867999063,0.9855545867999064,0.9855545867999059,0.9961080305748666,0.9885328850318256
0.8,1.0066914945978644,0.9965546097886004,0.9868896212819608,0.9868896212819606,0.9868896212819606,0.9868896212819607,0.9868896212819602,0.9966513429417783,0.9919911763495005
0.9,1.006705082814567,0.9973225936834774,0.9884026603616222,0.988402660361622,0.9884026603616219,0.9884026603616222,0.9884026603616217,0.9970238361118965,0.9950099016332303
1.0,1.0057729956696049,0.9978931747662013,0.9900937040388909,0.9900937040388906,0.9900937040388906,0.9900937040388909,0.9900937040388904,0.9972902782853458,0.9976162675180437
1.1,1.0047856239856805,0.998327330226371,0.9919627523137667,0.9919627523137665,0.9919627523137665,0.9919627523137668,0.9919627523137663,0.997487415361047,0.9998541578751546
1.2000000000000002,1.0040566149877457,0.9986646276242922,0.9940098051862499,0.9940098051862497,0.9940098051862497,0.99400980518625,0.9940098051862495,0.9976373542744441,1.0017719608314144
1.3,1.0036462898986414,0.9989314833657279,0.9962348626563403,0.99623486265634,0.9962348626563401,0.9962348626563404,0.99623486265634,0.9977540420061206,1.003416229081781
1.4,1.0035204759133898,0.9991460011178016,0.9986379247240379,0.9986379247240376,0.9986379247240377,0.998637924724038,0.9986379247240376,0.9978466301491324,1.0048288481396308
1.5,1.0036193893073753,0.999320885176634,1.0012189913893426,1.0012189913893423,1.0012189913893423,1.001218991389343,1.0012189913893423,0.997921325538252,1.006046138506606
1.6,1.0038842903954068,0.999465243271632,1.0039780626522548,1.0039780626522543,1.0039780626522545,1.003978062652255,1.0039780626522545,0.9979824582408772,1.0070989348018409
1.7000000000000002,1.00426595101707,0.9995857315260572,1.006915138512774,1.0069151385127737,1.0069151385127737,1.0069151385127744,1.006915138512774,0.9980331235290782,1.0080131005476534
1.8,1.004725900343252,0.9996872994439672,1.0100302189709005,1.0100302189709,1.0100302189709003,1.010030218970901,1.0100302189709005,0.9980755815334068,1.0088101906887137
1.9,1.0052351598204967,0.9997736855947836,1.0133233040266343,1.0133233040266338,1.013323304026634,1.0133233040266347,1.0133233040266343,0.9981115137407899,1.0095081190095714
2.0,1.005772374784395,0.9998477542546256,1.0167943936799753,1.0167943936799748,1.016794393679975,1.016794393679976,1.0167943936799753,0.9981421920767691,1.0101217668108218
