n_modes,n_cut,n_points,rmse_ed_vs_ordered_p00,rmse_ed_vs_best_p00,rmse_ed_vs_us_p00,rmse_ed_vs_ordered_coh,rmse_ed_vs_best_coh,rmse_ed_vs_us_coh,p00_at_beta2,p00_at_beta10
2,6,14,0.08587505445485297,0.07215698898727592,0.20470995792876295,1.993842573643459e-15,1.930995022566751e-15,1.999747621907619e-15,0.2679036357396567,0.30227112865007955
2,8,14,0.09749413112405259,0.09261023784977779,0.1712940741187859,2.715661561712183e-16,2.1104265652584707e-16,2.7762446484150157e-16,0.3059549233523599,0.33635057899131543
2,10,14,0.10982208971981586,0.1093077763053735,0.1497531025628598,5.354701781266941e-16,4.726838280350167e-16,5.414990875125949e-16,0.3317059094174749,0.35799930569355787
2,12,14,0.12006709589841146,0.12202259239641892,0.13452246642055768,3.052676265322184e-16,2.459491549542398e-16,3.11049408811413e-16,0.3501751529114091,0.37314778525301084
3,4,14,0.11471312241754568,0.09014019381444853,0.2972975058036433,8.810359322202195e-18,6.940749947634999e-17,1.2765295671816853e-17,0.178768299162052,0.20580664785608888
3,5,14,0.09535386644488379,0.07352888546980474,0.2659031195174933,6.418915194795683e-18,7.485375252344713e-17,7.911245813259041e-18,0.20266159177710696,0.24100352619353357
3,6,14,0.08609836646933805,0.06805659199066902,0.24222344387826159,1.1686863224899167e-16,6.870948061342788e-17,1.2242988542565645e-16,0.22278585320905214,0.2667381553072785
4,3,14,0.14569394239181419,0.11861506781451463,0.335987424298485,3.539822091011319e-16,2.9599883918617474e-16,3.5952077281777223e-16,0.1619281366742772,0.15836989465848358
4,4,14,0.11687712909116482,0.09271500006905734,0.3006077619274677,1.4013922040469197e-16,8.952222622779173e-17,1.457478528873513e-16,0.1835439150213492,0.20027901913556476
