beta,omega_q,theta,g,omega_min,omega_max,n_modes,n_cut,ordered_p00,ordered_coh,analytic_cont_p00,analytic_cont_coh,analytic_disc_p00,analytic_disc_coh,ed_p00,ed_coh,d_ed_ordered_p00,d_ed_cont_p00,d_ed_disc_p00,d_ed_ordered_coh,d_ed_cont_coh,d_ed_disc_coh
6.475,1.0,1.5707963267948966,0.5,0.2,1.8,2,4,0.24207787204250775,1.1606821266487056e-17,0.3337484465229323,7.656447625106973e-17,0.3685205969512779,9.195201266510225e-17,0.3176203643528797,5.433978338095468e-17,0.07554249231037197,-0.01612808217005257,-0.05090023259839821,4.2732962114467624e-17,-2.2224692870115054e-17,-3.7612229284147575e-17
7.0625,1.0,1.5707963267948966,0.5,0.2,1.8,2,4,0.2391126574187376,1.6734514059132634e-17,0.34595501107740967,8.433995790324362e-17,0.3705186530777369,1.0087435641705716e-16,0.3189558181913291,5.73422247820966e-17,0.07984316077259151,-0.026999192886080547,-0.05156283488640778,4.060771072296397e-17,-2.6997733121147015e-17,-4.353213163496056e-17
7.65,1.0,1.5707963267948966,0.5,0.2,1.8,2,4,0.23670240231167153,2.862468064540775e-17,0.35327144032212215,9.027726488953595e-17,0.3699378232433306,1.0858880478515729e-16,0.3200489928696352,6.07229011752617e-17,0.08334659055796365,-0.03322244745248698,-0.0498888303736954,3.209822052985395e-17,-2.955436371427425e-17,-4.786590360989559e-17
8.2375,1.0,1.5707963267948966,0.5,0.2,1.8,2,4,0.2348406130613933,7.140620013767063e-19,0.35628833412426697,9.442367848337935e-17,0.3672398382380374,1.150558224984906e-16,0.3209381809788021,6.441380676118607e-17,0.0860975679174088,-0.03535015314546486,-0.046301657259235296,6.369974475980936e-17,-3.0009871722193284e-17,-5.064201573730452e-17
8.825,1.0,1.5707963267948966,0.5,0.2,1.8,2,4,0.23351442403642175,2.7648264857725704e-17,0.35590169826478957,9.701282804784932e-17,0.36291920268314937,1.2032404861903862e-16,0.32165801445394904,6.835694299691702e-17,0.08814359041752728,-0.03424368381084053,-0.04126118822920033,4.0708678139191316e-17,-2.8655885050932306e-17,-5.196710562212161e-17
9.4125,1.0,1.5707963267948966,0.5,0.2,1.8,2,4,0.23270385441565258,2.598158044865964e-17,0.3530126982799844,9.834644306898121e-17,0.3574217653611946,1.2449160107386512e-16,0.32223854932614315,7.250393695219011e-17,0.08953469491049057,-0.03077414895384123,-0.03518321603505142,4.6522356503530475e-17,-2.5842506116791095e-17,-5.1987664121675005e-17
10.0,1.0,1.5707963267948966,0.5,0.2,1.8,2,4,0.23238239127735477,2.752983747453254e-18,0.3483839536000921,9.87183398311614e-17,0.35111173110380745,1.2767705689972216e-16,0.32270523634065557,7.681494411390086e-17,0.0903228450633008,-0.025678717259436545,-0.02840649476315188,7.406196036644762e-17,-2.1903395717260538e-17,-5.0862112785821295e-17
0.6,1.0,1.5707963267948966,0.5,0.2,1.8,2,5,0.3875258706128541,3.603038842269087e-18,0.38268212838759436,1.7976143567132074e-18,0.4021687371179293,3.03372329212719e-18,0.38261686801909867,1.4944788217217122e-18,-0.004909002593755429,-6.526036849568984e-05,-0.01955186909883061,-2.1085600205473752e-18,-3.0313553499149523e-19,-1.5392444704054778e-18
1.1875,1.0,1.5707963267948966,0.5,0.2,1.8,2,5,0.3306654583524356,2.2105796893250305e-17,0.3133858716823269,5.563158376707611e-18,0.3570606449310244,8.61254802078983e-18,0.3346325346040171,1.9977827753834602e-17,0.003967076251581492,0.021246662921690196,-0.02242811032700731,-2.127969139415703e-18,1.441466937712699e-17,1.1365279733044772e-17
1.775,1.0,1.5707963267948966,0.5,0.2,1.8,2,5,0.3012130823410807,4.694839690666928e-18,0.27198411074647777,1.019799248475258e-17,0.33362236669740797,1.514657776388439e-17,0.320806431131173,3.5370783148919067e-17,0.019593348790092335,0.04882232038469525,-0.012815935566234948,3.0675943458252136e-17,2.517279066416649e-17,2.0224205385034675e-17
