sweep,variant,k_value,rmse_p00,rmse_coh,rmse_ratio_rel,ratio_rel_median
coupling,chi_only,0.9450000000000002,0.0014609143759134005,0.05201212020273732,0.015177769041679728,0.007621198829349751
coupling,delta_only,1.0950000000000002,0.005279609623693393,0.021421490904165154,0.054179281117620194,-0.0021077108616462947
coupling,baseline,1.0,0.020852575167924714,0.0030398044185082846,0.15061502827676732,-0.16150525428875484
temperature,baseline,1.0,0.07987922708786858,6.691935121613978e-17,0.5106432788281428,0.5058050931934057
temperature,chi_only,0.9450000000000002,0.1989264110704885,1.507505798462369e-16,0.9552907814441306,-1.0
temperature,delta_only,1.0950000000000002,0.22604241878915762,1.0043758627163009e-16,2.116072707046736,1.5338269997945235
