target,model,a,b,r2,rmse
delta_p00,a*g^2/(1+b*g^2),-0.05310681654586661,1.475,0.990868452416689,0.001033188555392058
delta_p00,a*g,-0.01793282841164142,,0.9275779301736439,0.0029096641290532865
delta_p00,a*g^2,-0.01067171810232186,,0.5204719624800542,0.00748711314303415
ratio_rel_err,a*g^2/(1+b*g^2),-0.6121188658012896,2.7,0.9824362203081457,0.008997824014009172
ratio_rel_err,a*g,-0.12922166548414438,,0.8228697992052689,0.028574248127516202
ratio_rel_err,a*g^2,-0.07533342143935903,,0.10884748537474298,0.06409210310036322
