beta,ord_hx,ord_hz,legacy_hx,legacy_hz,running_hx,running_hz,legacy_abs_err_hx,legacy_abs_err_hz,running_abs_err_hx,running_abs_err_hz,legacy_chi,running_chi_raw,running_chi_eff,running_factor
0.1,-0.19267601876115972,0.9507865848584918,0.12545276729364324,0.9679371137613741,-0.33163634119153684,0.9154844321031854,0.318128786054803,0.017150528902882378,0.13896032243037712,0.03530215275530635,0.012968790992713081,0.05395017052968642,0.034277189486395056,0.6353490480170738
0.35789473684210527,-0.2227983468089218,0.9430736074780495,0.44197436468559836,0.892292399566402,-0.6030451051490026,0.8574875172362212,0.6647727114945201,0.05078120791164742,0.38024675834008076,0.08558609024182828,0.16610134238578453,0.6909815843248637,0.2262606144716972,0.3274481109258061
0.6157894736842106,-0.22720490727753956,0.9419189638784038,0.7441720667553102,0.8674204161138008,-0.6794154508658359,0.8730809737659245,0.9713769740328497,0.07449854776460296,0.4522105435882963,0.06883799011247926,0.4939033877740575,2.054638093140079,0.4516119164701527,0.21980119904228954
0.8736842105263158,-0.22887609270535403,0.9414549983805,1.026760073840431,0.9785511925238779,-0.6942281461820994,0.9258656226485429,1.2556361665457851,0.03709619414337795,0.46535205347674535,0.015589375731957067,1.008133313265136,4.193834583182966,0.6867746176234765,0.16375815593142443
1.1315789473684212,-0.22952133139644573,0.9412407819501174,1.2539929379168047,1.3046050056592597,-0.6741917969009944,1.001069122875091,1.4835142693132504,0.36336422370914234,0.4446704655045487,0.05982834092497358,1.7364537411440255,7.223647563159146,0.9271596775861033,0.12835062473350028
1.3894736842105266,-0.22961746503472447,0.9411432783359251,1.382062222828845,1.8267519347100118,-0.6298334733869027,1.0858414552622186,1.6116796878635695,0.8856086563740867,0.4002160083521782,0.1446981769262935,2.726845362680086,11.343676708749157,1.171248317620234,0.10325120749579128
1.6473684210526318,-0.22933841399880983,0.9410898413646752,1.427720929716012,2.461521607331519,-0.5696501217469752,1.168691418547272,1.6570593437148218,1.520431765966844,0.3403117077481653,0.22760157718259688,4.0534389716711425,16.862306122151953,1.418280507579802,0.08410952198979545
1.905263157894737,-0.22872900354139675,0.9409939752955264,1.436809122029496,3.1787621276633806,-0.5021819625999852,1.2412764447186777,1.6655381255708928,2.2377681523678543,0.2734529590585884,0.3002824694231513,5.826438575231213,24.23798447296185,1.6677193967163222,0.06880602628393916
2.1631578947368424,-0.22773699897321859,0.9406591523465551,1.4400328381193894,4.006395394221391,-0.4348366023317036,1.2991275886196374,1.667769837092608,3.065736241874836,0.20709960335848504,0.35846843627308234,8.209431086462624,34.151233319684515,1.919104702873324,0.05619430153250619
2.421052631578948,-0.22616775278336199,0.9395255196955611,1.4570213167298403,5.003068402800158,-0.3727180520578274,1.3408477869925897,1.6831890695132024,4.063542883104597,0.1465502992744654,0.4013222672970286,11.449762022122652,47.63101001203023,2.1720116762316937,0.04560078981493581
2.678947368421053,-0.22350691707932524,0.93592531239106,1.4062739288836896,5.849923401000082,-0.31847691272121537,1.3667467806959157,1.629780845963015,4.913998088609022,0.09496999564189013,0.4308214683048557,15.93217478348014,66.27784709927738,2.426033961644611,0.03660399466522596
2.936842105263158,-0.21844506984403114,0.9250627942153367,1.0884785553676066,5.379219062495361,-0.27287394017875133,1.3777876975909245,1.3069236252116379,4.454156268280024,0.054428870334720186,0.4527249033755878,22.273514575602036,92.65782063450447,2.6807614224116803,0.02893184195413077
3.1947368421052635,-0.20806666448589214,0.8953229940471465,0.8644211780772295,4.970598409800947,-0.23550100537620738,1.3751075201481018,1.0724878425631217,4.075275415753801,0.02743434089031524,0.47978452610095523,31.488161484028563,130.99075177355883,2.935748586081696,0.022411876764831976
3.452631578947369,-0.1884639185985699,0.8300081206839762,0.7048615465614583,4.614831534061388,-0.2053592847363071,1.3599879411994207,0.8933254651600282,3.7848234133774117,0.016895366137737206,0.5299798205154445,45.271330190301725,188.32873359165515,3.1904918597536702,0.016941078500912518
3.710526315789474,-0.1597002314134987,0.7279078142003039,0.5899361432132809,4.303638342334012,-0.18123768053609288,1.3340296489445893,0.7496363746267796,3.5757305281337084,0.02153744912259417,0.6061218347442854,66.47330608449272,276.52895331148966,3.444449459245126,0.012456017418780758
3.9684210526315793,-0.12720728907391102,0.6107589249068073,0.505977202002687,4.029949504043909,-0.16193579712099707,1.2992770636750774,0.633184491076598,3.419190579137102,0.03472850804708605,0.6885181387682702,99.88025025106646,415.50184104443645,3.6971235458388296,0.008897971514507526
4.226315789473684,-0.09560037997361578,0.49767173019921473,0.4435149542303617,3.7878693650520097,-0.14638506929928466,1.258127971988023,0.5391153342039775,3.290197634852795,0.050784689325668875,0.7604562417888082,153.4940011198336,638.5350446585078,3.948172722461826,0.006183173117104843
4.484210526315789,-0.06677067617021198,0.3959846417507498,0.3959968901505127,3.5725308835760714,-0.13370253339767055,1.2130408266842645,0.4627675663207247,3.1765462418253216,0.06693185722745856,0.8170561849335147,240.64077552942595,1001.065626202412,4.197483672411465,0.0041930154852432705
4.742105263157895,-0.04147811139361644,0.30727911280881026,0.3589245377087172,3.3799282905495796,-0.12319818130625045,1.1662025856027125,0.40040264910233364,3.0726491777407694,0.081720069912634,0.8589234727939022,383.4706326246122,1595.2378317183868,4.445157826485319,0.0027865173067623435
5.0,-0.020393329608273225,0.23169093358450682,0.3292385254590796,3.20676196339722,-0.11435359431993934,1.119317194616077,0.34963185506735284,2.975071029812713,0.09396026471166612,0.8876262610315702,618.7887391122546,2574.161154706979,4.691434203442988,0.0018225099057471489
