g,ordered_p00,ordered_ratio,ordered_u_inferred,compact_plus_p00,compact_plus_ratio,compact_plus_u,compact_minus_p00,compact_minus_ratio,compact_minus_u,abs_err_plus_p00,abs_err_minus_p00,u_gap_plus,u_gap_minus,dz0,dz_eff,run_factor
0.30000000000000004,0.1169496608004585,0.13243827175976156,0.7570127526384413,0.1303245808812319,0.1498542766832346,0.7821769865740826,0.002233592184400557,0.0022385922866360467,-0.7821769865740826,0.013374920080773386,0.11471606861605795,0.025164233935641378,1.539189739212524,25.461682899433566,1.0509540270673048,0.4409819004961144
0.4,0.1870264602666579,0.23005233396403424,0.852512071678488,0.19851009945622178,0.24767635789489145,0.8622842859168184,0.0013526074168375146,0.0013544394416719775,-0.8622842859168184,0.011483639189563882,0.18567385284982038,0.009772214238330412,1.7147963575953065,25.461682899433566,1.3021838032146857,0.3073490408432523
0.5,0.25783015715632535,0.3474004766461965,0.8998368509851199,0.2550951545710363,0.3424533430496566,0.8984633391134387,0.0009786277216358719,0.0009795863720152627,-0.8984633391134387,0.002735002585289026,0.2568515294346895,0.0013735118716812211,1.7983001900985585,25.461682899433566,1.4641900723840922,0.22117549341271686
0.6000000000000001,0.3157531868910264,0.4614609536233812,0.9236493018851408,0.29747061085458487,0.4234279952564547,0.9170757087459722,0.0007916270779394496,0.0007922542478546639,-0.9170757087459722,0.01828257603644151,0.31496155981308693,0.00657359313916861,1.840725010631113,25.461682899433566,1.5703140988236157,0.16472654317892768
0.7000000000000001,0.3568729754167177,0.5549027824603631,0.9360954281768284,0.3283087114463864,0.4887791713859353,0.9277624676189707,0.0006858568617127969,0.0006863275841958004,-0.9277624676189707,0.028564263970331294,0.3561871185550049,0.008332960557857705,1.8638578957957992,25.461682899433566,1.6420777581182207,0.12655438397966984
0.8,0.3844703231438391,0.624617037325535,0.9430247067342081,0.35081587505863143,0.5403950305936942,0.9344360511113876,0.0006203878495992798,0.0006207729696069837,-0.9344360511113876,0.03365444808520768,0.38384993529423983,0.008588655622820518,1.8774607578455957,25.461682899433566,1.6922725656345268,0.099855018279507
0.9,0.4031760288987993,0.6755359174915488,0.9472058865608545,0.3674886198302135,0.5809992220718111,0.9388780753429709,0.0005770559313449386,0.0005773891171596896,-0.9388780753429709,0.03568740906858575,0.40259897296745434,0.008327811217883618,1.8860839619038252,25.461682899433566,1.7284970694609545,0.0805866651803432
1.0,0.4164279200048932,0.7135843784856619,0.9499504346114397,0.38006999389973606,0.6130853324726239,0.9419841282497745,0.0005468719524703292,0.0005471711850446301,-0.9419841282497745,0.036357926105157146,0.4158810480524229,0.007966306361665176,1.891934562861214,25.461682899433566,1.7553744259760864,0.06629019894889018
1.1,0.4263255488976174,0.7431489202253702,0.9518936536979664,0.38974357973847873,0.6386554353192331,0.9442421756214604,0.0005249881163882364,0.0005252638736798863,-0.9442421756214604,0.036581969159138694,0.4258005607812292,0.007651478076506013,1.8961358293194268,25.461682899433566,1.7758049025544311,0.05542292417317493
1.2000000000000002,0.4340765133917513,0.7670233232292648,0.9533560926626172,0.3973139650939848,0.6592387115058062,0.9459360304363216,0.0005086048560696277,0.0005088636666015386,-0.9459360304363216,0.036762548297766484,0.43356790853568167,0.007420062226295654,1.8992921230989388,25.461682899433566,1.7916652114336746,0.04698658966293892
1.3,0.4403768562348796,0.7869168048913114,0.9545084427975751,0.40333491968174656,0.6759821095389276,0.9472398148194702,0.000496013473119894,0.000496259624579851,-0.9472398148194702,0.03704193655313304,0.4398808427617597,0.007268627978104902,1.9017482576170452,25.461682899433566,1.8042056657657584,0.04031613523097956
1.4000000000000001,0.445641554977254,0.8038870138597215,0.9554473855624067,0.4081939528665471,0.689742787934877,0.9482651764462457,0.00048612259208130615,0.0004863590221898552,-0.9482651764462457,0.03744760211070691,0.4451554323851727,0.007182209116160965,1.9037125620086526,25.461682899433566,1.8142817390019363,0.03495652180748067
1.5,0.45013046691491176,0.8186132161013137,0.956231312184948,0.41216706680967646,0.7011636190111664,0.9490864019007414,0.00047820822105520966,0.00047843701356835517,-0.9490864019007414,0.0379634001052353,0.44965225869385655,0.007144910284206496,1.9053177140856894,25.461682899433566,1.8224929944107804,0.030588832760223148
1.6,0.4540153027955285,0.8315531646219371,0.9568977263006355,0.4154542957240755,0.7107302178170958,0.9497544942605043,0.00047177446068358275,0.0004719971368782777,-0.9497544942605043,0.03856100707145299,0.4535435283348449,0.007143232040131231,1.9066522205611398,25.461682899433566,1.8292688191665316,0.02698467065610028
1.7000000000000002,0.4574155002390932,0.8430309019897476,0.9574720788451668,0.4182030346629682,0.7188126779257183,0.9503054258778543,0.0004664722175937719,0.0004666899154735715,-0.9503054258778543,0.03921246557612501,0.45694902802149945,0.007166652967312559,1.907777504723021,25.461682899433566,1.8349227566989668,0.023977257075017536
1.8,0.4604179423513787,0.8532862348273362,0.9579724655463496,0.4205235833125137,0.725695768114932,0.9507651664576053,0.0004620498591489941,0.00046226344790999065,-0.9507651664576053,0.03989435903886496,0.4599558924922297,0.00720729908874429,1.9087376320039549,25.461682899433566,1.8396877979162336,0.02144266068285448
1.9000000000000001,0.4630882048915323,0.8625033182554287,0.9584122509167647,0.4224996717815549,0.7316007474574807,0.9511528505785221,0.0004583222189039615,0.0004585323744792722,-0.9511528505785221,0.0405885331099774,0.46262988267262833,0.007259400338242683,1.9095651014952868,25.461682899433566,1.8437398296045602,0.019287324678425356
2.0,0.4654772558102505,0.8708277821102621,0.9588016096027441,0.4241957054480105,0.736701183825071,0.9514828323350436,0.00045515054036587843,0.0004553577967131122,-0.9514828323350436,0.041281550362240016,0.46502210526988463,0.0073187772677004714,1.9102844419377876,25.461682899433566,1.847213540817493,0.017439605948141982
