sweep,rmse_p00,rmse_coh,max_abs_dp00,max_abs_dcoh
angle,0.01025888474948875,0.025860594632963252,0.016678401523653796,0.044218940801805495
coupling,0.022318418600748888,0.03923910498849118,0.03027466042727789,0.05457756417715631
temperature,0.010855238502809091,7.436869812718655e-16,0.018267060423516446,1.3838360991782392e-15
