case,n_modes,n_cut,rmse_ed_vs_exact,rmse_ed_vs_ordered,p00_beta2_ed,p00_beta2_ordered,p00_beta2_exact
ed_m2_c10,2,10,0.5789107424458113,0.09571919756120542,0.3330295651345213,0.2584448354913814,0.9967221099326168
ed_m3_c8,3,8,0.64372097332122,0.04050554158735554,0.254144556929221,0.2584448354913814,0.9967221099326168
ed_m3_c10,3,10,0.6214143460491732,0.05786641246694912,0.27826263120234523,0.2584448354913814,0.9967221099326168
ed_m4_c5,4,5,0.705624847877049,0.04004330383542557,0.19948032389707246,0.2584448354913814,0.9967221099326168
