sweep,param_name,param,beta,theta,g,ed_p00,ed_p11,ed_coh,analytic_disc_p00,analytic_disc_p11,analytic_disc_coh,analytic_cont_p00,analytic_cont_p11,analytic_cont_coh,d_disc_p00,d_disc_coh,d_cont_p00,d_cont_coh
coupling,g,0.0,2.0,0.7853981633974483,0.0,0.11920292202211756,0.8807970779778823,0.0,0.11920292202211757,0.8807970779778824,0.0,0.11920292202211757,0.8807970779778824,0.0,-1.3877787807814457e-17,0.0,-1.3877787807814457e-17,0.0
coupling,g,0.1,2.0,0.7853981633974483,0.1,0.12182067404390838,0.8781793259560915,0.0036275040176703952,0.12182252742305055,0.8781774725769494,0.0036312771422118855,0.12391162548364698,0.876088374516353,0.006559713065305878,-1.8533791421720958e-06,-3.773124541490286e-06,-0.0020909514397386003,-0.0029322090476354827
coupling,g,0.2,2.0,0.7853981633974483,0.2,0.12942186427420518,0.8705781357257955,0.014146704858829028,0.12944447811406856,0.8705555218859314,0.014196767392576486,0.1372527486686656,0.8627472513313343,0.025145283547205927,-2.261383986337795e-05,-5.006253374745771e-05,-0.007830884394460419,-0.010998578688376899
coupling,g,0.30000000000000004,2.0,0.7853981633974483,0.30000000000000004,0.1412767389531989,0.8587232610468009,0.030508264636551066,0.14134692100957602,0.858653078990424,0.030695843477678866,0.15689665873583108,0.8431033412641689,0.0525112908938282,-7.018205637712716e-05,-0.0001875788411278001,-0.015619919782632191,-0.022003026257277136
coupling,g,0.4,2.0,0.7853981633974483,0.4,0.1562622231764306,0.8437377768235698,0.05110481939694455,0.15636340788096725,0.8436365921190327,0.05151158370824455,0.17950851660515965,0.8204914833948403,0.08401195784134856,-0.0001011847045366554,-0.00040676431130000357,-0.023246293428729053,-0.03290713844440401
coupling,g,0.5,2.0,0.7853981633974483,0.5,0.17301070514131886,0.8269892948586809,0.07399286331880188,0.17307732590038277,0.8269226740996172,0.07468029012452038,0.2019456149200834,0.7980543850799167,0.11526916657543868,-6.66207590639123e-05,-0.0006874268057184968,-0.028934909778764534,-0.041276303256636795
coupling,g,0.6000000000000001,2.0,0.7853981633974483,0.6000000000000001,0.19011219862850812,0.8098878013714922,0.09718881052891476,0.19012578771974514,0.8098742122802549,0.09831273861942502,0.22218616340165354,0.7778138365983465,0.14346635321254067,-1.358909123702623e-05,-0.0011239280905102622,-0.03207396477314542,-0.04627754268362591
coupling,g,0.7000000000000001,2.0,0.7853981633974483,0.7000000000000001,0.20632935559661097,0.7936706444033893,0.11897776715716028,0.20645274396347507,0.7935472560365249,0.12094504155659053,0.23941799324306706,0.7605820067569329,0.16747208223611648,-0.0001233883668640967,-0.001967274399430244,-0.03308863764645609,-0.0484943150789562
coupling,g,0.8,2.0,0.7853981633974483,0.8,0.22076608174783155,0.7792339182521684,0.13814895962090928,0.22140500756240244,0.7785949924375976,0.14167175597387416,0.2536288654708957,0.7463711345291043,0.18726930348478737,-0.0006389258145708954,-0.0035227963529648743,-0.03286278372306414,-0.04912034386387809
coupling,g,0.9,2.0,0.7853981633974483,0.9,0.23294205997448408,0.7670579400255161,0.15409126416373087,0.23468842585328875,0.7653115741467112,0.16008512968006497,0.2651769580212893,0.7348230419787107,0.2033569960313835,-0.0017463658788046676,-0.0059938655163341015,-0.03223489804680524,-0.04926573186765262
