sweep,param_name,param,beta,theta,g,ord_p00,ord_p11,ord_coh,legacy_p00,legacy_p11,legacy_coh,running_p00,running_p11,running_coh,legacy_delta_p00,legacy_delta_coh,running_delta_p00,running_delta_coh,legacy_chi,running_chi_raw,running_chi_eff,running_factor
coupling,g,0.0,2.0,0.7853981633974483,0.0,0.11920292202211756,0.8807970779778823,0.0,0.11920292202211757,0.8807970779778824,0.0,0.11920292202211757,0.8807970779778824,0.0,1.3877787807814457e-17,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,1.0
coupling,g,0.08620689655172414,2.0,0.7853981633974483,0.08620689655172414,0.13203215700119694,0.8679678429988031,0.0176741667644193,0.12224982176191508,0.877750178238085,0.0042407725466767025,0.1312350650243946,0.8687649349756054,0.01674672161189517,-0.009782335239281861,-0.013433394217742598,-0.0007970919768023332,-0.0009274451525241312,0.019329207481946702,0.0804095031248983,0.07407313701600521,0.921198790408505
coupling,g,0.1724137931034483,2.0,0.7853981633974483,0.1724137931034483,0.16451778573081383,0.8354822142691862,0.06213681406351198,0.13178385555855934,0.8682161444414406,0.017510545836487694,0.16149478237696624,0.8385052176230336,0.05886316441533013,-0.03273393017225448,-0.044626268227024285,-0.0030230033538475864,-0.003273649648181852,0.07731682992778681,0.3216380124995932,0.2396406328552304,0.745063156536989
coupling,g,0.25862068965517243,2.0,0.7853981633974483,0.25862068965517243,0.20178540015158247,0.7982145998484176,0.11247701767534937,0.14895631571245546,0.8510436842875445,0.0414117253299691,0.19658997295779623,0.8034100270422038,0.10770977357400943,-0.05282908443912701,-0.07106529234538028,-0.0051954271937862395,-0.00476724410133994,0.17396286733752034,0.7236855281240847,0.40889001252759744,0.5650106249706409
coupling,g,0.3448275862068966,2.0,0.7853981633974483,0.3448275862068966,0.2304002773302474,0.7695997226697525,0.15036974352418125,0.17548754098032737,0.8245124590196726,0.07833873355281397,0.22650607090385644,0.7734939290961437,0.14934795589299013,-0.05491273634992003,-0.07203100997136729,-0.0038942064263909615,-0.0010217876311911234,0.30926731971114724,1.2865520499983727,0.5431532251848117,0.4221774200161577
coupling,g,0.4310344827586207,2.0,0.7853981633974483,0.4310344827586207,0.2475922504753847,0.7524077495246153,0.1725315666731393,0.2129944397939766,0.7870055602060234,0.13054203539512396,0.24875111878899386,0.7512488812110062,0.18030932529370067,-0.0345978106814081,-0.04198953127801533,0.0011588683136091738,0.007777758620561376,0.4832301870486676,2.010237578122457,0.6404986965957072,0.31861840787690726
coupling,g,0.5172413793103449,2.0,0.7853981633974483,0.5172413793103449,0.2571709917028668,0.7428290082971333,0.18447526807938322,0.26142795509338507,0.738572044906615,0.19795335167113243,0.26456322811099314,0.7354367718890068,0.2023171249734637,0.004256963390518287,0.013478083591749207,0.0073922364081263625,0.017841856894080493,0.6958514693500814,2.894742112496339,0.7095803331544518,0.24512730515483847
coupling,g,0.603448275862069,2.0,0.7853981633974483,0.603448275862069,0.2627932479566757,0.7372067520433243,0.19124067395824246,0.3169312116570961,0.683068788342904,0.2752045600427548,0.27577787815535165,0.7242221218446484,0.21792603372996341,0.0541379637004204,0.08396388608451233,0.012984630198675962,0.026685359771720957,0.9471311666153882,3.940065653120015,0.7589368621639178,0.19262035940008748
coupling,g,0.6896551724137931,2.0,0.7853981633974483,0.6896551724137931,0.2664484158980311,0.7335515841019689,0.1955009125452372,0.37133596797166696,0.628664032028333,0.3509268406199296,0.283852832220019,0.7161471677799811,0.22916501316398727,0.10488755207363587,0.15542592807469244,0.017404416321987914,0.03366410061875008,1.237069278844589,5.146208199993491,0.7948192945484603,0.15444755899099957
coupling,g,0.7758620689655173,2.0,0.7853981633974483,0.7758620689655173,0.26906291941435834,0.7309370805856417,0.19847349939664202,0.41577163758399666,0.5842283624160033,0.41277382735329937,0.28978918152646815,0.710210818473532,0.23742741406856882,0.14670871816963832,0.21430032795665735,0.020726262112109817,0.0389539146719268,1.5656658060376833,6.513169753116762,0.8214464141742516,0.1261208359848387
