beta,a,d_raw,p00_raw,p00_ordered,d_ordered,d_eff,p00_eff,d_raw_prime,d_ordered_prime,d_eff_prime,margin_raw,margin_ordered,margin_eff,dp00_raw,dp00_ordered,dp00_eff
0.2,0.2,0.033668172561782006,0.41759265639150644,0.4171092362821627,0.03267417273828588,0.19950149851502463,0.4997507492781588,0.6635541618273539,0.505520047490378,0.9999982542223367,-0.33644583817264606,-0.49447995250962196,-1.7457776633200695e-06,-0.15965331874441224,-0.23110743466770825,-8.728886142630531e-07
0.5625,0.5625,0.2742065562241978,0.359718328346657,0.33333279121511844,0.21592518995354792,0.5620008656706217,0.49975043285603615,1.0523505880819513,0.6306565752583577,1.0000006087024564,0.052350588081951255,-0.3693434247416423,6.087024564394028e-07,0.025612188993433923,-0.16813306128997751,3.0435115278578944e-07
0.925,0.925,0.7966223489211967,0.43616149341174604,0.295212766846929,0.4899001898005952,0.9245019398243055,0.4997509699327446,2.0320599045910623,0.8134098422950492,1.0013773674237876,1.0320599045910623,-0.1865901577049508,0.0013773674237875788,0.49007364958686445,-0.0788908347781697,0.000688683654665016
1.2874999999999999,1.2874999999999999,1.7474499870527178,0.7150217242971337,0.2761369360009454,0.8056473256174586,1.2879994570528677,0.5002497285056683,3.6468009439239757,0.8968151005598554,1.0013764421972475,2.6468009439239757,-0.10318489944014464,0.0013764421972475294,0.7403420094491541,-0.041586013451027234,0.0006882210415097232
1.65,1.65,3.4405530332660788,0.9729094502623827,0.26506290709493424,1.1400911377064904,1.65049986041731,0.5002499301878391,6.56215997527563,0.9346749450690165,1.0000006721451313,5.56215997527563,-0.0653250549309835,6.721451313307369e-07,0.39290071791761083,-0.02555407271768671,3.3607248172102273e-07
2.0125,2.0125,6.505015969127549,0.9998747447874016,0.25761023328062255,1.4832866607924955,2.012999944358088,0.5002499721582175,12.066740625289908,0.9530476171417929,1.0000001573931299,11.066740625289908,-0.04695238285820713,1.5739312986262632e-07,0.037366271375559784,-0.017998248149564487,7.869654521911195e-08
2.375,2.375,12.188939986601262,0.9999999970096636,0.2520141771865,1.8310506601342902,2.375499974527329,0.5002499872428344,22.72013259385965,0.9632341456450141,1.0000000597106238,21.72013259385965,-0.036765854354985916,5.971062377874148e-08,0.00017276581048059262,-0.013880088995992246,2.9855304282428845e-08
2.7375000000000003,2.7375000000000003,22.977112099675793,1.0,0.24754716875852817,2.1816314163851307,2.73799998764829,0.5002499938033131,43.662963956405335,0.969998912270349,1.0000000266716722,42.662963956405335,-0.030001087729651044,2.6671672204159336e-08,4.124601962655953e-09,-0.0111881326297652,1.3335832668045003e-08
3.1,3.1,43.84458885499513,1.0,0.24390278102992022,2.534299871530293,3.1004999938642914,0.5002499969113131,85.27934533636729,0.9753411946769489,1.000000012797643,84.27934533636729,-0.024658805323051092,1.2797642945372445e-08,0.0,-0.009103132008388434,6.398820171045435e-09
3.4625,3.4625,84.80463746854207,1.0,0.24094739805244655,2.8887537825259186,3.4629999969265812,0.5002499984424578,168.62539305910394,0.980084519516825,1.000000006338069,167.62539305910394,-0.01991548048317504,6.338068958555709e-09,0.0,-0.007290968840754354,3.1690336178979216e-09
3.825,3.825,166.09799882284548,1.0,0.2386168286203733,3.244861148179991,3.8254999984593914,0.5002499992088625,336.5197252544908,0.984544407461327,1.0000000031768643,335.5197252544908,-0.015455592538673013,3.1768643271590236e-09,0.0,-0.005620535314172083,1.5884316084679995e-09
4.1875,4.1875,328.7814382780479,1.0,0.2368725099496718,3.6025484779353807,4.187999999229808,0.5002499995940707,676.2345141272378,0.9888163125322932,1.0000000015959531,675.2345141272378,-0.011183687467706815,1.59595314741523e-09,0.0,-0.0040464384488167185,7.979767038716938e-10
4.55,4.55,656.3680215650929,1.0,0.2356831607449812,3.9617529747659037,4.5504999996164575,0.5002499997873956,1365.975571227406,0.9929038314408603,1.000000000799948,1364.975571227406,-0.007096168559139748,7.999481077547443e-10,0.0,-0.002558512965639558,3.9997415341460885e-10
4.9125,4.9125,1319.1137274179173,1.0,0.23501758804958311,4.322403755730004,4.91299999980977,0.5002499998840519,2770.1843792899076,0.9967771689311136,1.000000000399365,2769.1843792899076,-0.0032228310688864337,3.993649855260628e-10,0.0,-0.0011596652108705272,1.9968195679329539e-10
5.275,5.275,2664.751696550276,1.0,0.23484240346710006,4.684416422240961,5.275499999905997,0.500249999932165,5635.104586027661,1.0003998959591882,1.0000000001985165,5634.104586027661,0.0003998959591882123,1.9851653654257007e-10,0.0,0.00014381213995229674,9.925791989095662e-11
5.6375,5.6375,5404.564552287971,1.0,0.23512185185104853,5.047693680300416,5.637999999953695,0.5002499999560139,11490.37911439911,1.0037406282429313,1.0000000000982812,11489.37911439911,0.00374062824293131,9.828116098731243e-11,0.0,0.0013462506837450272,4.9140768083063824e-11
6.0,6.0,10995.27655448963,1.0,0.2358184352128152,5.412128377717086,6.000499999977251,0.5002499999677921,15422.653799176991,1.0053370963218493,1.0000000000649822,15421.653799176991,0.005337096321849311,6.498224180973011e-11,0.0,0.0019216092738390974,3.2491404203154096e-11
