beta,v5_hx,v5_hz,ord_hx,ord_hz,diff_hx,diff_hz
0.1,-0.4955434825863393,0.8740023321546513,-0.19393876156376808,0.9504650050163597,0.3016047210225712,0.07646267286170838
0.35789473684210527,-1.7661587114980377,0.6723557578550761,-0.22481555246242818,0.9425691993652188,1.5413431590356095,0.2702134415101427
0.6157894736842106,-3.003525855841648,1.1681396116367693,-0.2285917634221647,0.9415858517986033,2.774934092419483,0.22655375983816595
0.8736842105263158,-3.966802447646244,2.532855417187786,-0.22998842587601315,0.9412055875589149,3.736814021770231,1.5916498296288712
1.1315789473684212,-4.5725432125259635,4.333315634831887,-0.23053245055937793,0.941036896254637,4.342010761966586,3.39227873857725
1.3894736842105266,,,-0.2306406639022885,0.9409686029950618,,
1.6473684210526318,,,-0.23047681996456934,0.9409476191866938,,
1.905263157894737,,,-0.23010433478453501,0.9409288454936842,,
2.1631578947368424,,,-0.22952076824935086,0.9408316504376343,,
2.421052631578948,,,-0.22863492279320197,0.9404271780798887,,
2.678947368421053,,,-0.22713488863116926,0.938934202690517,,
2.936842105263158,,,-0.22399367954642146,0.9334711993604838,,
3.1947368421052635,,,-0.21584772297960403,0.9137606045358205,,
3.452631578947369,,,-0.19423566889416544,0.8538935704122994,,
3.710526315789474,,,-0.15035046480912778,0.7382315782013169,,
3.9684210526315793,,,-0.08341266828356457,0.6136974928230038,,
4.226315789473684,,,-0.018321497745821765,0.589061930555564,,
4.484210526315789,,,,,,
4.742105263157895,,,,,,
5.0,,,,,,
