case,n_modes,n_cut,beta,g,theta,omega_q,omega_min,omega_max,window_ratio_min,window_ratio_max,detune_abs,detune_over_omega_q,detune_over_dw,dw,tail_fraction,ordered_p00,ordered_coh,best_p00,best_coh,ed_p00,ed_coh,d_ed_ord_p00,d_ed_best_p00,d_ed_ord_coh,d_ed_best_coh
m3c5,3,5,0.6,0.5,1.5707963267948966,2.0,0.1,3.0,0.05,1.5,0.44999999999999996,0.22499999999999998,0.31034482758620685,1.45,0.5578254003710745,0.30882832898697593,1.0434448006462608e-17,0.2964318783714045,4.547519353722698e-18,0.2855983692306163,1.4231733456798522e-18,-0.02322995975635961,-0.010833509140788178,-9.011274660782755e-18,-3.1243460080428463e-18
m3c5,3,5,1.54,0.5,1.5707963267948966,2.0,0.1,3.0,0.05,1.5,0.44999999999999996,0.22499999999999998,0.31034482758620685,1.45,0.5578254003710745,0.23022215545504998,2.0210817543866712e-17,0.2103859827955526,1.9448307495476493e-17,0.19674736302345033,2.057642341895977e-17,-0.03347479243159965,-0.013638619772102262,3.6560587509305614e-19,1.1281159234832756e-18
m3c5,3,5,2.48,0.5,1.5707963267948966,2.0,0.1,3.0,0.05,1.5,0.44999999999999996,0.22499999999999998,0.31034482758620685,1.45,0.5578254003710745,0.20900630649362334,2.085824473134582e-18,0.2542111175525624,4.694193200878492e-17,0.18365305242660074,6.216677864125488e-17,-0.0253532540670226,-0.07055806512596169,6.00809541681203e-17,1.522484663246996e-17
m3c5,3,5,3.4200000000000004,0.5,1.5707963267948966,2.0,0.1,3.0,0.05,1.5,0.44999999999999996,0.22499999999999998,0.31034482758620685,1.45,0.5578254003710745,0.19872120109090297,1.1441913348111824e-17,0.32505547613979546,8.445899924031816e-17,0.18371276102526102,1.0028703306683353e-16,-0.015008440065641948,-0.14134271511453445,8.88451197187217e-17,1.5828033826515366e-17
m3c5,3,5,4.36,0.5,1.5707963267948966,2.0,0.1,3.0,0.05,1.5,0.44999999999999996,0.22499999999999998,0.31034482758620685,1.45,0.5578254003710745,0.19315338701210188,2.778767323150554e-17,0.3503176364036257,1.0915926862826109e-16,0.1864516351107406,1.366894532484154e-16,-0.006701751901361297,-0.1638660012928851,1.0890178001690985e-16,2.7530184620154308e-17
m3c5,3,5,5.3,0.5,1.5707963267948966,2.0,0.1,3.0,0.05,1.5,0.44999999999999996,0.22499999999999998,0.31034482758620685,1.45,0.5578254003710745,0.19088120073040446,2.3707432045388213e-17,0.340922264756783,1.1732331633023496e-16,0.18964081320560291,1.734147270659508e-16,-0.001240387524801545,-0.15128145155118009,1.497072950205626e-16,5.609141073571585e-17
m3c5,3,5,6.24,0.5,1.5707963267948966,2.0,0.1,3.0,0.05,1.5,0.44999999999999996,0.22499999999999998,0.31034482758620685,1.45,0.5578254003710745,0.1911696987344983,8.208168147580923e-19,0.31996413010729374,1.166356509024127e-16,0.19269088188497535,2.1121112872641686e-16,0.0015211831504770568,-0.1272732482223184,2.1039031191165876e-16,9.457547782400416e-17
m3c5,3,5,7.18,0.5,1.5707963267948966,2.0,0.1,3.0,0.05,1.5,0.44999999999999996,0.22499999999999998,0.31034482758620685,1.45,0.5578254003710745,0.19344728307588285,1.9461195207468545e-17,0.2967823924329221,1.121272230097399e-16,0.19544033900569519,2.501844091072799e-16,0.001993055929812332,-0.10134205342722691,2.3072321389981134e-16,1.3805718609754e-16
m3c5,3,5,8.120000000000001,0.5,1.5707963267948966,2.0,0.1,3.0,0.05,1.5,0.44999999999999996,0.22499999999999998,0.31034482758620685,1.45,0.5578254003710745,0.19713664948946016,7.368447632583147e-18,0.27396216219779174,1.0598235784384163e-16,0.19786071012542797,2.902093449911786e-16,0.0007240606359678048,-0.07610145207236377,2.8284089735859546e-16,1.8422698714733698e-16
m3c5,3,5,9.06,0.5,1.5707963267948966,2.0,0.1,3.0,0.05,1.5,0.44999999999999996,0.22499999999999998,0.31034482758620685,1.45,0.5578254003710745,0.2009186971604031,1.4165172979089327e-17,0.25213820788459573,9.915171445864484e-17,0.19996771485756776,3.3110413998856254e-16,-0.0009509823028353293,-0.052170493027027975,3.1693896700947324e-16,2.319524255299177e-16
