candidate,corr_with_kneeded,fit_a,fit_b,rmse,fit_c
pade_g2,,1.016718518864941,-0.05189444949240448,0.02374868345538934,1.7166666666666666
inv_run_factor,0.39958502339376806,0.9805363128765683,0.0006571612819611282,0.02545409156946744,
g2_Rminus,0.3995850233937683,0.9811934741585292,0.0003495538733835792,0.02545409156946744,
g2,0.39958502339376845,0.9811934741585293,0.008900229880361356,0.025454091569467444,
g2_Kminus,0.39958502339376845,0.9811934741585292,0.00011449468471335897,0.025454091569467447,
g2_Kplus,0.39958502339376833,0.9811934741585288,0.00011037603383576285,0.025454091569467454,
run_factor,-0.3186196010640384,1.0005473871472523,-0.038601400675769094,0.026320054377793726,
gamma_diag_like,-0.27065459964359573,0.9984261633405769,-0.02892154508650022,0.026730838447171338,
