sweep,max_tex_vs_direct_entry_diff,mean_tex_vs_direct_entry_diff,rmse_tex_minus_ordered_p00,rmse_direct_minus_ordered_p00,rmse_tex_minus_ordered_coh,rmse_direct_minus_ordered_coh
beta,9.034705839990526e-12,1.2941298145610505e-12,0.6092046419505379,0.6092046419521607,1.882876812888959e-16,1.8828768128963858e-16
g,2.220446049250313e-16,1.2688263138573217e-16,0.02994734233574826,0.02994734233574826,0.10623453970956544,0.10623453970956544
