delta,bandwidth,omega_min,omega_max,beta,omega_q,theta,g,n_modes,n_cut,dw,detune_over_omega_q,tail_fraction,ordered_p00,ordered_coh,best_p00,best_coh,ed_p00,ed_coh,d_ed_ord_p00,d_ed_best_p00,d_ed_ord_coh,d_ed_best_coh
0.2,0.40000000000000013,1.8,2.2,5.3,2.0,1.5707963267948966,0.5,3,6,0.19999999999999996,0.0,0.6990292757659671,0.022794770192139224,1.0954703330651223e-18,0.3014837938331455,7.366883987204323e-17,0.01775582715350657,2.2687607162388195e-17,-0.005038943038632653,-0.28372796667963895,2.1592136829323074e-17,-5.098123270965504e-17
0.2,0.40000000000000013,1.8,2.2,6.24,2.0,1.5707963267948966,0.5,3,6,0.19999999999999996,0.0,0.6990292757659671,0.024786167799015157,7.567108736792604e-18,0.31154171666762837,7.648011290516153e-17,0.017620933865785126,2.2702882434681543e-17,-0.0071652339332300315,-0.29392078280184325,1.513577369788894e-17,-5.3777230470479986e-17
0.2,0.40000000000000013,1.8,2.2,7.18,2.0,1.5707963267948966,0.5,3,6,0.19999999999999996,0.0,0.6990292757659671,0.026765969919218178,6.582301112586532e-19,0.29513993659702265,7.252684065663858e-17,0.01758672277840092,2.270649796442333e-17,-0.009179247140817259,-0.27755321381862175,2.204826785316468e-17,-4.982034269221525e-17
0.2,0.40000000000000013,1.8,2.2,8.120000000000001,2.0,1.5707963267948966,0.5,3,6,0.19999999999999996,0.0,0.6990292757659671,0.028725002809620585,1.626852484605241e-17,0.2736567847072654,6.726219207646448e-17,0.01757800992980006,2.2707376966817978e-17,-0.011146992879820527,-0.2560787747774653,6.438852120765569e-18,-4.45548151096465e-17
0.2,0.40000000000000013,1.8,2.2,9.06,2.0,1.5707963267948966,0.5,3,6,0.19999999999999996,0.0,0.6990292757659671,0.03068456222185639,3.2229929197408617e-18,0.2520832854140028,6.196286252464683e-17,0.017575786190021963,2.270759463183337e-17,-0.013108776031834427,-0.23450749922398087,1.948460171209251e-17,-3.925526789281346e-17
0.2,0.40000000000000013,1.8,2.2,10.0,2.0,1.5707963267948966,0.5,3,6,0.19999999999999996,0.0,0.6990292757659671,0.03351527537813712,9.978503944624331e-19,0.2314642340217275,5.68957726101523e-17,0.017575217976565565,2.2707649183659317e-17,-0.015940057401571558,-0.21388901604516194,2.1709798789196885e-17,-3.4188123426492986e-17
0.4,0.7999999999999998,1.6,2.4,0.6,2.0,1.5707963267948966,0.5,3,4,0.3999999999999999,0.0,0.6626272662068448,0.24934866701425557,5.0894176277840774e-18,0.24755339735467885,1.1254667743147993e-18,0.2531189365243357,2.096807097246185e-17,0.0037702695100801376,0.005565539169656852,1.5878653344677773e-17,1.984260419814705e-17
0.4,0.7999999999999998,1.6,2.4,1.54,2.0,1.5707963267948966,0.5,3,4,0.3999999999999999,0.0,0.6626272662068448,0.08471648500792962,8.623026076703876e-19,0.08177613817750856,4.387912541467788e-18,0.09637047831902565,2.3554649355225993e-17,0.011653993311096025,0.014594340141517087,2.2692346747555606e-17,1.9166736813758205e-17
0.4,0.7999999999999998,1.6,2.4,2.48,2.0,1.5707963267948966,0.5,3,4,0.3999999999999999,0.0,0.6626272662068448,0.046887491493971444,3.5971370633753475e-18,0.06284855093596498,1.005115419394439e-17,0.05404460569800645,2.3263205847220413e-17,0.007157114204035003,-0.008803945237958528,1.9666068783845066e-17,1.3212051653276023e-17
0.4,0.7999999999999998,1.6,2.4,3.4200000000000004,2.0,1.5707963267948966,0.5,3,4,0.3999999999999999,0.0,0.6626272662068448,0.04057076984801217,8.279001369335997e-18,0.14657060154158313,3.2606257421523486e-17,0.04170267849898946,2.3835868572990916e-17,0.0011319086509772938,-0.10486792304259368,1.555686720365492e-17,-8.77038884853257e-18
