beta,v5_hx,v5_hz,ord_hx,ord_hz,diff_hx,diff_hz
0.1,-6.370206084320831e-17,-1.071885075273185,-3.4196298428887957e-19,0.19067969022088294,6.336009785891943e-17,1.262564765494068
0.35789473684210527,-2.822308290965336e-16,-6.496404291943194,-3.915018707141876e-17,0.06024863446642159,2.4308064202511484e-16,6.556652926409615
0.6157894736842106,-6.689094270843496e-16,-12.264967016141199,-6.788127280250948e-17,0.04228500826496773,6.010281542818401e-16,12.307252024406166
0.8736842105263158,,,-2.522602064968554e-17,0.0339408005094588,,
1.1315789473684212,,,-6.6326327583593944e-18,0.028987974221793,,
1.3894736842105266,,,-1.0485550867045992e-17,0.025754798342957325,,
1.6473684210526318,,,-1.1380634304721582e-17,0.023572151726495627,,
1.905263157894737,,,-4.162754151411171e-18,0.02213426533767615,,
2.1631578947368424,,,-1.9901103986988877e-17,0.02132323443484696,,
2.421052631578948,,,-3.8461711290968606e-18,0.02118759183846211,,
2.678947368421053,,,-1.3149593527101426e-18,0.022067247087779046,,
2.936842105263158,,,-2.760244201591841e-18,0.025045939870065106,,
3.1947368421052635,,,-8.497964588269419e-18,0.03307640036757145,,
3.452631578947369,,,-1.3361699517798058e-18,0.05126080676785537,,
3.710526315789474,,,-5.878207431582573e-18,0.07597099868393724,,
3.9684210526315793,,,-5.59934972858115e-18,0.08626056281145178,,
4.226315789473684,,,-1.0996856360270009e-17,0.07950998652357132,,
4.484210526315789,,,-5.4852650765972134e-18,0.06745871152540764,,
4.742105263157895,,,-4.808927832323296e-18,0.055554838506195324,,
5.0,,,-4.875972065409862e-18,0.04507293590329749,,
