g,variant,ordered_p00,ordered_coh,ordered_ratio,model_p00,model_coh,model_ratio,dp00,dcoh,ratio_over_ordered
0.0,plus_baseline,0.017986209962091555,0.0,0.01831563888873418,0.01798620996209155,0.0,0.01831563888873417,-6.938893903907228e-18,0.0,0.9999999999999997
0.0,minus_signflip,0.017986209962091555,0.0,0.01831563888873418,0.01798620996209155,0.0,0.01831563888873417,-6.938893903907228e-18,0.0,0.9999999999999997
0.0,plus_const_k,0.017986209962091555,0.0,0.01831563888873418,0.01798620996209155,0.0,0.01831563888873417,-6.938893903907228e-18,0.0,0.9999999999999997
0.0,plus_extra_g2,0.017986209962091555,0.0,0.01831563888873418,0.01798620996209155,0.0,0.01831563888873417,-6.938893903907228e-18,0.0,0.9999999999999997
0.1,plus_baseline,0.02336712020528197,0.012347306444990458,0.023926206754572493,0.022646813074274685,0.01131824029438838,0.023171575411249718,-0.0007203071310072848,-0.001029066150602078,0.9684600508946718
0.1,minus_signflip,0.02336712020528197,0.012347306444990458,0.023926206754572493,0.01427073148662028,0.00902301208272434,0.01447733362745998,-0.00909638871866169,-0.0033242943622661184,0.6050826934651162
0.1,plus_const_k,0.02336712020528197,0.012347306444990458,0.023926206754572493,0.02266748930807333,0.011323492982527985,0.023193221406320887,-0.0006996308972086404,-0.001023813462462473,0.9693647490481738
0.1,plus_extra_g2,0.02336712020528197,0.012347306444990458,0.023926206754572493,0.018027960174122948,0.01009891096035528,0.018358934310715874,-0.005339160031159022,-0.0022483954846351777,0.7673148735625355
0.2,plus_baseline,0.0387330200231973,0.04718362692899279,0.04029371738549888,0.03747973238177954,0.04733987546661672,0.03893916174308104,-0.001253287641417758,0.0001562485376239292,0.966382956691275
0.2,minus_signflip,0.0387330200231973,0.04718362692899279,0.04029371738549888,0.008541459868177725,0.022936505965059605,0.008615044928698754,-0.030191560155019573,-0.024247120963933187,0.21380615857000035
0.2,plus_const_k,0.0387330200231973,0.04718362692899279,0.04029371738549888,0.037587786561231074,0.047414029085309735,0.039055807933824085,-0.0011452334619662247,0.0002304021563169431,0.9692778544150831
0.2,plus_extra_g2,0.0387330200231973,0.04718362692899279,0.04029371738549888,0.018529412763037545,0.032848675810605694,0.018879233880254708,-0.020203607260159753,-0.014334951118387097,0.4685403855800375
0.30000000000000004,plus_baseline,0.06135364535012318,0.0972444771975775,0.0653639627386702,0.059885294492364405,0.10175161785153218,0.06369998697130051,-0.001468350857758774,0.004507140653954675,0.9745429178762862
0.30000000000000004,minus_signflip,0.06135364535012318,0.0972444771975775,0.0653639627386702,0.005238701844090532,0.030957229474667395,0.005266290369158961,-0.05611494350603265,-0.06628724772291011,0.08056871322526706
0.30000000000000004,plus_const_k,0.06135364535012318,0.0972444771975775,0.0653639627386702,0.060161773002988805,0.10201798628780726,0.06401290272605621,-0.0011918723471343734,0.0047735090902297495,0.9793302003733215
0.30000000000000004,plus_extra_g2,0.06135364535012318,0.0972444771975775,0.0653639627386702,0.020097743629700293,0.05675071777134851,0.020509947292238366,-0.041255901720422886,-0.040493759426228994,0.31378065883549017
0.4,plus_baseline,0.08617844214964597,0.1502814154490515,0.09430554730222114,0.08201209242382013,0.1554863834828158,0.08933896813560618,-0.004166349725825844,0.005204968033764301,0.9473352383959074
0.4,minus_signflip,0.08617844214964597,0.1502814154490515,0.09430554730222114,0.003740894980278131,0.03459464239980955,0.003754941823296136,-0.08243754716936784,-0.11568677304924194,0.039816765086603735
0.4,plus_const_k,0.08617844214964597,0.1502814154490515,0.09430554730222114,0.08247347001346611,0.15598749458969727,0.08988674149256103,-0.00370497213617986,0.005706079140645776,0.9531437340000884
0.4,plus_extra_g2,0.08617844214964597,0.1502814154490515,0.09430554730222114,0.023156919895337746,0.07817106889548522,0.023705874942428456,-0.06302152225430822,-0.07211034655356627,0.2513730699898088
0.5,plus_baseline,0.10787756975607238,0.19458177143437683,0.12092238251040957,0.09898589582933093,0.19670713990188982,0.10986053977528096,-0.00889167392674145,0.002125368467512989,0.9085211314441612
0.5,minus_signflip,0.10787756975607238,0.19458177143437683,0.12092238251040957,0.0030442359122532237,0.036286473809903096,0.003053531582756651,-0.10483333384381915,-0.15829529762447372,0.025251996523421034
0.5,plus_const_k,0.10787756975607238,0.19458177143437683,0.12092238251040957,0.09958979399080015,0.197389974578502,0.11060491465573481,-0.008287775765272232,0.0028082031441251654,0.9146769387066404
0.5,plus_extra_g2,0.10787756975607238,0.19458177143437683,0.12092238251040957,0.02819628684769543,0.09878815205885424,0.029014384763187673,-0.07968128290837695,-0.09579361937552258,0.23994221880874683
0.6000000000000001,plus_baseline,0.12403357441628797,0.2257805859514722,0.14159626532904673,0.11071573806978013,0.22519297529637447,0.12449982846819765,-0.013317836346507836,-0.0005876106550977422,0.8792592670356119
0.6000000000000001,minus_signflip,0.12403357441628797,0.2257805859514722,0.14159626532904673,0.002687241924595407,0.037153431076742814,0.002694482651341186,-0.12134633249169256,-0.1886271548747294,0.019029334178268374
0.6000000000000001,plus_const_k,0.12403357441628797,0.2257805859514722,0.14159626532904673,0.11141404387947329,0.22599151717881155,0.1253835299917358,-0.01261953053681468,0.00021093122733933933,0.8855002616090533
0.6000000000000001,plus_extra_g2,0.12403357441628797,0.2257805859514722,0.14159626532904673,0.036042478694340074,0.12132250441309764,0.03739011097244337,-0.0879910957219479,-0.10445808153837458,0.2640614205858807
0.7000000000000001,plus_baseline,0.13520235091735844,0.24598853222425193,0.15633986870891492,0.1186578169589822,0.24448025532028372,0.13463308490416356,-0.01654453395837624,-0.0015082769039682087,0.8611564408745498
0.7000000000000001,minus_signflip,0.13520235091735844,0.24598853222425193,0.15633986870891492,0.002485487426785893,0.03764339038709728,0.0024916804672588328,-0.13271686349057255,-0.20834514183715466,0.015937588331342577
0.7000000000000001,plus_const_k,0.13520235091735844,0.24598853222425193,0.15633986870891492,0.1194165928845019,0.24534879129204276,0.1356107688602394,-0.015785758032856534,-0.0006397409322091707,0.8674100213857127
0.7000000000000001,plus_extra_g2,0.13520235091735844,0.24598853222425193,0.15633986870891492,0.04803518670654988,0.14833699104946355,0.05045899389953889,-0.08716716421080856,-0.09765154117478839,0.3227519270435564
0.8,plus_baseline,0.1429146767845573,0.258986841802572,0.16674498199128923,0.12411693590837436,0.2577376854377192,0.14170491586921535,-0.01879774087618294,-0.0012491563648527881,0.8498301668629406
0.8,minus_signflip,0.1429146767845573,0.258986841802572,0.16674498199128923,0.002361741298157083,0.037943906948067714,0.0023673323246747296,-0.14055293548640022,-0.22104293485450427,0.014197322740413257
0.8,plus_const_k,0.1429146767845573,0.258986841802572,0.16674498199128923,0.12491510001016887,0.25864906718891156,0.1427462638329383,-0.01799957677438843,-0.00033777461366041317,0.8560753200980608
0.8,plus_extra_g2,0.1429146767845573,0.258986841802572,0.16674498199128923,0.06616642947990115,0.18209778289389608,0.07085462717200211,-0.07674824730465615,-0.0768890589086759,0.42492809274286625
0.9,plus_baseline,0.14845621517109192,0.2676930406150363,0.1743377355527522,0.12797054074291553,0.26709613636501145,0.14675024952934337,-0.020485674428176393,-0.0005969042500248434,0.8417583781506601
0.9,minus_signflip,0.14845621517109192,0.2676930406150363,0.1743377355527522,0.002280728855185321,0.038140645068503974,0.002285942470138259,-0.1461754863159066,-0.2295523955465323,0.013112149603701629
0.9,plus_const_k,0.14845621517109192,0.2676930406150363,0.1743377355527522,0.12879522768072232,0.268034663561522,0.14783576923924568,-0.019660987490369597,0.000341622946485709,0.8479849114164536
0.9,plus_extra_g2,0.14845621517109192,0.2676930406150363,0.1743377355527522,0.09307599639461711,0.2242392891276478,0.1026282202528581,-0.05538021877647481,-0.0434537514873885,0.5886747348614277
1.0,plus_baseline,0.15264871163127142,0.2738770862599036,0.18014808465700433,0.13076898521192853,0.2738921381245252,0.15044215287671425,-0.021879726419342882,1.5051864621584699e-05,0.8351027054389775
1.0,minus_signflip,0.15264871163127142,0.2738770862599036,0.18014808465700433,0.002224883493347485,0.03827626511796831,0.0022298446378750223,-0.15042382813792393,-0.23560082114193528,0.012377842607211554
1.0,plus_const_k,0.15264871163127142,0.2738770862599036,0.18014808465700433,0.13161218130026808,0.2748485604015843,0.15155922096804134,-0.021036530331003334,0.0009714741416806949,0.8413035379010818
1.0,plus_extra_g2,0.15264871163127142,0.2738770862599036,0.18014808465700433,0.13161218130026808,0.2748485604015843,0.15155922096804134,-0.021036530331003334,0.0009714741416806949,0.8413035379010818
1.1,plus_baseline,0.15597252413081664,0.2785292926779147,0.18479555297675043,0.1328558083106018,0.27895997263309386,0.15321074578354474,-0.02311671582021485,0.00043067995517914737,0.8290824282055128
1.1,minus_signflip,0.15597252413081664,0.2785292926779147,0.18479555297675043,0.00218476660135819,0.038373688694374505,0.0021895502576330618,-0.15378775752945845,-0.2401556039835402,0.0118485008019026
1.1,plus_const_k,0.15597252413081664,0.2785292926779147,0.18479555297675043,0.13371235768718182,0.2799286530048385,0.1543509928529005,-0.02226016644363482,0.001399360326923782,0.8352527448120992
1.1,plus_extra_g2,0.15597252413081664,0.2785292926779147,0.18479555297675043,0.1836566464560489,0.3311886950079467,0.22497475560834712,0.027684122325232263,0.05265940233003197,1.2174251597745522
1.2000000000000002,plus_baseline,0.15870551189639676,0.28219874553336727,0.1886444213537419,0.13444930042287062,0.28282975647860664,0.15533382445252109,-0.024256211473526135,0.0006310109452393742,0.8234212458434829
1.2000000000000002,minus_signflip,0.15870551189639676,0.28219874553336727,0.1886444213537419,0.0021549698992917032,0.03844604976564596,0.0021596238236254095,-0.15655054199710505,-0.2437526957677213,0.011448119208231078
1.2000000000000002,plus_const_k,0.15870551189639676,0.28219874553336727,0.1886444213537419,0.13531577065067718,0.28380713025397314,0.15649154460987758,-0.023389741245719575,0.001608384720605871,0.8295582953732199
1.2000000000000002,plus_extra_g2,0.15870551189639676,0.28219874553336727,0.1886444213537419,0.24848941015992876,0.3871955210946956,0.33065323831672117,0.089783898263532,0.10499677556132836,1.7527856691647796
1.3,plus_baseline,0.16101317158252257,0.2851984734313641,0.19191382525781783,0.1356916968554321,0.28584690705464766,0.15699455432945864,-0.02532147472709048,0.0006484336232835397,0.8180471319278405
