beta,a_beta,t_tanh_a,ordered_p00,ordered_ratio,ordered_coh,best_p00,best_ratio,best_delta_eff,ed_p00_light,ed_ratio_light,d_best_p00_dbeta,d_ordered_p00_dbeta,d_ed_p00_dbeta,d_deltaeff_dbeta,slope_balance_minus_w2,best_minus_ordered_p00,best_minus_ed_p00
0.2,0.2,0.197375320224904,0.4171092362821627,0.7155873145453969,1.1104833838429517e-17,0.41557499254551095,0.7110835218287148,0.02951730742419864,0.403494242332786,0.6764297530182306,-0.2791071032145636,-0.2480610326968374,-0.38579249317654174,0.402871059591077,-0.5971289404089231,-0.0015342437366517303,0.012080750212724922
0.49,0.49,0.45421643268225903,0.34517153680007984,0.5271174913707108,3.058436002985964e-18,0.3346339326132875,0.5029320685492628,0.14634991470561096,0.29161441931158893,0.41166058042598397,-0.22492039765457764,-0.18955940147491668,-0.31327016588313905,0.5015228736629482,-0.49847712633705177,-0.010537604186792338,0.043019513301698564
0.78,0.78,0.65270670596199,0.307164783426711,0.4433446454207755,1.5362465087326882e-17,0.2851211619058559,0.3988384418623784,0.3204005741487087,0.22179754612056535,0.28501265321752384,-0.1345495370964923,-0.10177722104275168,-0.18328649752922624,0.6754820754552868,-0.3245179245447132,-0.022043621520855095,0.06332361578529055
1.0699999999999998,1.0699999999999998,0.7894612209549804,0.2861407485952839,0.4008363665977888,2.301802126358557e-17,0.256595201097322,0.345162153211919,0.5381295184696773,0.18530825074463775,0.22745811641521066,-0.07149133619101505,-0.05807482924553165,-0.09137369118268401,0.8159146218027392,-0.18408537819726078,-0.0295455474979619,0.07128695035268423
1.3599999999999999,1.3599999999999999,0.8763930674728228,0.27348138246430265,0.3764272186058125,4.396194990640967e-18,0.24365618691506719,0.322150036398468,0.7936310547942973,0.16880080523460864,0.2030810500030059,-0.023346688660413603,-0.03634110603508558,-0.0391081363064742,0.937701162591555,-0.062298837408444996,-0.02982519554923546,0.07485538168045855
1.65,1.65,0.9288576214547277,0.26506290709493424,0.3606606737553431,1.7307069307098405e-17,0.2430541216742821,0.32109841487200036,1.0819961927727793,0.1626255316868827,0.19420884901648636,0.014767601343752206,-0.025111643492427147,-0.012841245372571811,1.0396018930593987,0.03960189305939865,-0.022008785420652155,0.08042858998739938
1.9399999999999997,1.9399999999999997,0.9595340058084292,0.2589166292386949,0.3493758454905192,7.839944255322614e-18,0.25222139569444346,0.3372942128087166,1.3966001527687484,0.161352882918517,0.19239663457024675,0.0437321006527116,-0.018918930904198026,-0.0006545765484194751,1.1149547736618648,0.1149547736618648,-0.006695233544251444,0.09086851277592647
2.23,2.23,0.9771395937470586,0.2540899271704994,0.3406441827587158,3.165807747397399e-17,0.2684187400528548,0.3669021539346803,1.728669961496661,0.1622458772887994,0.19366765604653496,0.06242561456275607,-0.015175543727944971,0.004555386124821583,1.15842224483017,0.15842224483016998,0.014328812882355435,0.10617286276405541
2.52,2.52,0.9871357830661628,0.2501148138764868,0.3335374781430748,8.790619394182111e-18,0.288428252140842,0.405339662526808,2.0684850547702474,0.1639950068709135,0.19616510453734967,0.0697551811321581,-0.01264068875206799,0.006460715723048681,1.1700725961733116,0.1700725961733116,0.03831343826435518,0.1244332452699285
2.81,2.81,0.992776898931137,0.24675832769429995,0.3275951620400446,8.675736697416733e-18,0.3088767451095065,0.44691991323377933,2.4073120672771817,0.16599309240816765,0.19903083643211936,0.0663939709918515,-0.010710401459597587,0.0068499236786946005,1.1559977020103032,0.15599770201030316,0.06211841741520657,0.14288365270133888
3.1,3.1,0.9959493592219002,0.24390278102992022,0.32258124340432454,8.201110446225087e-18,0.3269367553161159,0.48574447928688697,2.7389637219362233,0.16796796260455638,0.20187679687233667,0.055169212576099656,-0.009088532876882617,0.006572521440919269,1.1258431138524319,0.12584311385243185,0.08303397428619566,0.1589687927115595
3.39,3.39,0.9977300295138438,0.24148697862570803,0.31836892949863427,1.7623900801880306e-17,0.3408748884036443,0.5171626484963815,3.0603010733115923,0.16980515484390082,0.20453650830844758,0.039977316285856386,-0.007630942286100486,0.006027371584045406,1.0892901678660327,0.08929016786603272,0.0993879097779363,0.1710697335597435
3.6799999999999997,3.6799999999999997,0.9987284120632095,0.23947683450398194,0.31488433931896553,1.9705646847718252e-17,0.35012359876191257,0.5387541355477562,3.370752019298522,0.1714638381233027,0.20694792335306658,0.024305247264021862,-0.006269694672445176,0.005399916309762641,1.0535713293185098,0.05357132931850983,0.11064676425793063,0.17865976063860986
3.9699999999999998,3.9699999999999998,0.9992878407191353,0.23785055571568983,0.31207863169019473,6.3094785862471665e-18,0.354971931816777,0.5503201322953061,3.6713724443163276,0.17293710630356315,0.20909789040425464,0.010393615839635719,-0.004975200471408318,0.004774746066020327,1.022750379534064,0.022750379534064002,0.11712137610108717,0.18203482551321384
4.26,4.26,0.9996012006855778,0.23659121823056511,0.3099141952260388,9.378577595362578e-18,0.3561518959489013,0.5531613647815222,3.963947239428279,0.1742331908415945,0.21099563328195203,-0.0007921047718380784,-0.00373688788053214,0.004188680940044568,0.9982697591962444,-0.0017302408037556116,0.11956067771833617,0.1819187051073068
4.55,4.55,0.9997766933187409,0.2356831607449812,0.30835793304606773,1.5645891290959546e-17,0.3545125110491109,0.549216703836197,4.250368904650149,0.175366541248789,0.21265998776517817,-0.009171000640421107,-0.0025531934772050563,0.0036558564687614423,0.979934996996146,-0.020065003003854054,0.11882935030412972,0.1791459698003219
