n_modes,n_cut,n_points,rmse_ed_vs_ordered_p00,rmse_ed_vs_scalebound_p00,rmse_ed_vs_ordered_coh,rmse_ed_vs_scalebound_coh,p00_at_beta2,p00_at_beta10
2,6,14,0.08587505445485297,0.6760256162879801,1.993842573643459e-15,1.7022075247883924e-15,0.2679036357396567,0.30227112865007955
2,8,14,0.09749413112405259,0.6421790661349119,2.715661561712183e-16,8.589608811905214e-17,0.3059549233523599,0.33635057899131543
2,10,14,0.10982208971981586,0.6205309250194556,5.354701781266941e-16,2.5240990435419494e-16,0.3317059094174749,0.35799930569355787
2,12,14,0.12006709589841146,0.6053622155287002,3.052676265322184e-16,9.539465092821415e-17,0.3501751529114091,0.37314778525301084
3,4,14,0.11471312241754568,0.7707987978478332,8.810359322202195e-18,3.0124334791230553e-16,0.178768299162052,0.20580664785608888
3,5,14,0.09535386644488379,0.7387820717282868,6.418915194795683e-18,3.0708177002755874e-16,0.20266159177710696,0.24100352619353357
3,6,14,0.08609836646933805,0.7145924406511431,1.1686863224899167e-16,2.007449195837487e-16,0.22278585320905214,0.2667381553072785
4,3,14,0.14569394239181419,0.8104638919164474,3.539822091011319e-16,1.2524494920451647e-16,0.1619281366742772,0.15836989465848358
4,4,14,0.11687712909116482,0.7746280383736355,1.4013922040469197e-16,1.8198470978465356e-16,0.1835439150213492,0.20027901913556476
