case,n_modes,n_cut,omega_q,ratio_min,ratio_max,omega_min,omega_max,detune_over_omega_q,tail_fraction,rmse_ed_vs_best_p00,rmse_ed_vs_ordered_p00,rmse_ed_vs_best_coh,rmse_ed_vs_ordered_coh,p00_at_beta2,p00_at_beta6
m3c5,3,5,2.5,0.05,5.0,0.125,12.5,0.95,0.013995792487650892,0.07550517023058406,0.026093123407782786,3.538888736266503e-17,8.291335744974512e-17,0.19991402578089948,0.2336901362411363
m3c5,3,5,2.5,0.05,6.0,0.125,15.0,0.95,0.0047012171462565856,0.06433015332642789,0.03094350908789783,6.666309068898387e-17,1.3530590012484897e-16,0.21530320730242114,0.2474942139967548
m3c5,3,5,3.0,0.05,2.0,0.15000000000000002,6.0,0.02499999999999991,0.19914827347145578,0.11450756934629935,0.0362986671675382,1.390114356233554e-16,1.9525770737050324e-16,0.1473410636490656,0.16763239122603588
m3c5,3,5,3.0,0.05,3.0,0.15000000000000002,9.0,0.525,0.061099480960332686,0.09985967099785342,0.034679435640579466,9.219065316589202e-17,1.5721987889339821e-16,0.1606776614644072,0.19056113979366768
m3c5,3,5,3.0,0.05,4.0,0.15000000000000002,12.0,0.9500000000000001,0.01735126523666451,0.08539976964938839,0.033877647532959784,2.5511535743323874e-16,3.215956403892e-16,0.1780167829810376,0.21022359101829777
m3c5,3,5,3.0,0.05,5.0,0.15000000000000002,15.0,0.9500000000000001,0.0047012171462565856,0.07228189334794587,0.03788526964932502,9.662514812895983e-17,1.6417271908377108e-16,0.19722043002335882,0.2278744713482286
m3c5,3,5,3.0,0.05,6.0,0.15000000000000002,18.0,0.9500000000000001,0.0012340980408667955,0.06187237641306102,0.045190852756958964,1.330588357396786e-16,2.0463517779073714e-16,0.21605866913117763,0.2435676209650576
m4c4,4,4,1.5,0.05,2.0,0.07500000000000001,3.0,0.3,0.5578254003710745,0.09714855292514779,0.029427461567191306,6.408166203871073e-17,9.206896687375742e-18,0.234250085152254,0.21643249114025598
m4c4,4,4,1.5,0.05,3.0,0.07500000000000001,4.5,0.033333333333333215,0.3425474798260591,0.09288247939320428,0.039918382792073444,1.008114497502528e-16,1.6190068359781476e-16,0.23876137853941531,0.22657594569230818
m4c4,4,4,1.5,0.05,4.0,0.07500000000000001,6.0,0.36666666666666653,0.19914827347145578,0.09486993344888732,0.04927091066823739,5.473388090973085e-17,2.293966076464008e-17,0.2338909161419081,0.22722571461879892
m4c4,4,4,1.5,0.05,5.0,0.07500000000000001,7.5,0.7000000000000002,0.11170929281604326,0.09753027517261965,0.05648132692396136,1.7647254527656944e-17,5.402033621325789e-17,0.2273711631908455,0.22642697424533126
m4c4,4,4,1.5,0.05,6.0,0.07500000000000001,9.0,0.9500000000000001,0.061099480960332686,0.09929071379068058,0.06149247492883951,3.635002448251484e-17,3.584026672699574e-17,0.2217505911503535,0.2263297517360316
m4c4,4,4,2.0,0.05,2.0,0.1,4.0,0.29999999999999993,0.4060058497098381,0.12002865098246107,0.03515422135668584,6.898641232367884e-17,1.9577863176936203e-17,0.18969347568685818,0.18094398444247528
m4c4,4,4,2.0,0.05,3.0,0.1,6.0,0.03333333333333344,0.19914827347145578,0.11737510966722481,0.04604132571905642,5.555735655123473e-17,3.0233595471196843e-17,0.1887175316040061,0.18871522919391148
m4c4,4,4,2.0,0.05,4.0,0.1,8.0,0.3666666666666667,0.0915781944436709,0.11777127807973842,0.0529405376522758,2.4366038900157874e-17,6.765431482164057e-17,0.18372040603489298,0.19127599739451911
m4c4,4,4,2.0,0.05,5.0,0.1,10.0,0.7000000000000002,0.0404276819945128,0.11719232049718344,0.05642095762835472,5.918113605217707e-17,2.4285679275913768e-17,0.1802972118800166,0.19417242168990695
m4c4,4,4,2.0,0.05,6.0,0.1,12.0,0.95,0.01735126523666451,0.11501987448252171,0.05735413998774833,3.740651413915634e-17,5.989706833775259e-17,0.17947324113681737,0.19836332056099237
m4c4,4,4,2.5,0.05,2.0,0.125,5.0,0.3,0.2872974951836458,0.13281229310432277,0.04116591888980361,1.8139672226017115e-17,7.856305413069338e-17,0.1552010030395948,0.15321951590663296
m4c4,4,4,2.5,0.05,3.0,0.125,7.5,0.033333333333333395,0.11170929281604326,0.12972972645276584,0.04943908659823811,8.79081149254262e-17,1.5486343074933665e-16,0.15365813026506986,0.1614279414558017
m4c4,4,4,2.5,0.05,4.0,0.125,10.0,0.3666666666666666,0.0404276819945128,0.1272767208802694,0.05214971675798919,9.177821275414119e-17,1.58320238689223e-16,0.15213585269610624,0.1672627010607869
m4c4,4,4,2.5,0.05,5.0,0.125,12.5,0.7,0.013995792487650892,0.1231525558573635,0.05141739561358197,5.1439994156546745e-17,1.145961420585737e-16,0.1536685485531508,0.17413034917924997
m4c4,4,4,2.5,0.05,6.0,0.125,15.0,0.95,0.0047012171462565856,0.11746048957276023,0.0486390826823432,3.6705865343163844e-17,1.0061729227153829e-16,0.158081061780512,0.18214779351823354
m4c4,4,4,3.0,0.05,2.0,0.15000000000000002,6.0,0.3,0.19914827347145578,0.1392824284394335,0.05883155759015355,6.61157829500571e-17,4.2381860299964947e-17,0.12954747720328655,0.13160437740470426
m4c4,4,4,3.0,0.05,3.0,0.15000000000000002,9.0,0.033333333333333215,0.061099480960332686,0.13471619179891497,0.06233834593719003,3.759962786029306e-17,7.64175912633967e-17,0.13007381634162926,0.14164255593890537
m4c4,4,4,3.0,0.05,4.0,0.15000000000000002,12.0,0.36666666666666653,0.01735126523666451,0.12938315265321004,0.06043215477746724,5.099902838473406e-17,9.244093074311891e-17,0.1328430190302604,0.15099097915591278
m4c4,4,4,3.0,0.05,5.0,0.15000000000000002,15.0,0.7000000000000002,0.0047012171462565856,0.12231592245284961,0.056086125865647804,5.472666820707236e-17,4.025526981763734e-17,0.1389837316685448,0.16137933843535338
m4c4,4,4,3.0,0.05,6.0,0.15000000000000002,18.0,0.9500000000000001,0.0012340980408667955,0.114087979940561,0.050782187581263336,4.572578921409387e-17,8.782583247353399e-17,0.1476497521985826,0.1724119380863612
