sweep,rmse_disc_p00,rmse_cont_p00,rmse_disc_coh,rmse_cont_coh,max_abs_disc_dp00,max_abs_cont_dp00,max_abs_disc_dcoh,max_abs_cont_dcoh
angle,0.01025888474948875,0.03798114476137999,0.025860594632963252,0.019636431735058694,0.016678401523653796,0.0689078294658737,0.044218940801805495,0.03212015951662589
coupling,0.022318418600748888,0.014468763319302207,0.03923910498849118,0.025421026825306343,0.03027466042727789,0.022147130101855428,0.05457756417715631,0.04320247565503743
temperature,0.010855238502809091,0.05111472710116438,7.436869812718655e-16,7.591344877845889e-16,0.018267060423516446,0.09467979336949534,1.3838360991782392e-15,1.4127948162468e-15
