beta,n_cut,ed_p00,ed_coh,ordered_p00,ed_minus_ordered_p00,d_ed,d_ordered,dp00_dbeta,dprime_minus_w2
0.4,3,0.3218493168287472,8.640544100482176e-17,0.36277967393405575,-0.04093035710530857,0.027356983022577996,0.11834010728397582,-0.2586975842331954,-0.6623786477762429
0.8,3,0.21837028313546902,1.9438424612273205e-16,0.3053042363607263,-0.08693395322525727,0.16240552391208085,0.3889173880691877,-0.18215471639358236,-0.4984594176036289
1.2,3,0.17612554371388128,2.9607721975541075e-16,0.2797476004425521,-0.10362205672867081,0.4285894489396749,0.727143032063879,-0.0689227099953894,-0.2244903467340411
1.6,3,0.1632321151391575,3.9066459785107124e-16,0.2663144983431521,-0.10308238320399457,0.782813246524848,1.0932987350238275,-0.018384267234468517,-0.06555814651119174
2.0,3,0.16141812992630647,4.824835412055416e-16,0.25783015715632535,-0.09641202723001888,1.1761429317307215,1.4713614734312443,-1.921776371757028e-05,-7.035236561547809e-05
2.4,3,0.16321674092818345,5.739716159643638e-16,0.2516748739947956,-0.08845813306661215,1.5827569646323556,1.8551502639886241,0.005631832636589888,0.02057284029000339
2.8,3,0.16592359603557838,6.659086099772856e-16,0.24686525908133378,-0.0809416630457554,1.9926012039627243,2.24229926369797,0.006754226039373638,0.024404769412439187
3.1999999999999997,3,0.16862012175968236,7.583217893681507e-16,0.243022176653128,-0.07440205489344565,2.402280780162307,2.6319093717808992,0.006376604712251821,0.022760306921641993
3.5999999999999996,3,0.17102487980537984,8.509910634645826e-16,0.23999222256455258,-0.06896734275917274,2.810809449500038,3.023638925070083,0.00557382874970945,0.019674189870866554
3.9999999999999996,3,0.17307918475944992,9.43663544795677e-16,0.2377035326123121,-0.0646243478528622,3.2180201320590003,3.4173443455319776,0.004718456688208653,0.01649707688264357
4.3999999999999995,3,0.17479964515594676,1.0361289704444033e-15,0.23610995762602188,-0.06131031247007512,3.624007111006153,3.812936881723747,0.003932929827467693,0.013642206606156781
4.8,3,0.17622552862142407,1.12823714357111e-15,0.23517005480564498,-0.05894452618422091,4.028933897343926,4.210327687331816,0.0032503749727346917,0.011201510056865427
5.2,3,0.1773999451341345,1.2198937106752923e-15,0.23484013849884192,-0.057440193364707404,4.432968319051645,4.609410119838033,0.00267219079251365,0.009160145215874937
5.6,3,0.178363281255435,1.3110493712619542e-15,0.23507294584776933,-0.05670966459233434,4.836262013516626,5.0100576993048875,0.002189025411702336,0.007471463893669927
6.0,3,0.17915116546349638,1.4016884401239287e-15,0.2358184352128152,-0.05666726974931882,5.238945490166581,5.412128377717086,0.0019697105201534754,0.006708691624889074
0.4,4,0.3256586887031718,3.860220107702017e-17,0.36277967393405575,-0.037120985230883974,0.03605674321294855,0.11834010728397582,-0.22535313019992903,-0.561909690097335
0.8,4,0.23551743662320015,1.6056235836233779e-16,0.3053042363607263,-0.06978679973752613,0.21129286717401452,0.3889173880691877,-0.14884815360720563,-0.3861109024414585
1.2,4,0.20658016581740726,3.0409709243697463e-16,0.2797476004425521,-0.07316743462514483,0.5271680212597818,0.727143032063879,-0.040943310167464025,-0.11981327074305992
1.6,4,0.20276278848922893,4.534093453502336e-16,0.2663144983431521,-0.06355170985392314,0.9154422505795666,1.0932987350238275,0.0002164885871572958,0.0006602049054782455
2.0,4,0.2067533566871331,6.060110662617691e-16,0.25783015715632535,-0.051076800469192246,1.3276961851841644,1.4713614734312443,0.012045705164507627,0.03662035721903911
2.4,4,0.21239935262083504,7.606567721559624e-16,0.2516748739947956,-0.039275521373960565,1.744738536354798,1.8551502639886241,0.013767446674854515,0.04117656678128556
2.8,4,0.2177673140270167,9.158416508360521e-16,0.24686525908133378,-0.029097945054317065,2.160637438609193,2.24229926369797,0.012430453137695467,0.03653921553645412
3.1999999999999997,4,0.2223437151309914,1.0702000660221998e-15,0.243022176653128,-0.020678461522136593,2.5739699087839614,2.6319093717808992,0.010386048970943175,0.030077216735538093
3.5999999999999996,4,0.22607615320377125,1.2227620656722355e-15,0.23999222256455258,-0.013916069360781325,2.9846992119976234,3.023638925070083,0.008387461396866906,0.02399865361323994
3.9999999999999996,4,0.22905368424848493,1.3729746773238184e-15,0.2377035326123121,-0.008649848363827178,3.3931688316745534,3.4173443455319776,0.006653396964269552,0.018857727160510374
4.3999999999999995,4,0.2313988707751869,1.5206201219991096e-15,0.23610995762602188,-0.004711086850834989,3.7997853937260317,3.812936881723747,0.005221705008201828,0.014691501640934135
4.8,4,0.2332310482550464,1.6657132133503254e-15,0.23517005480564498,-0.0019390065505985876,4.204922032987301,4.210327687331816,0.004069665313906484,0.011385399946703068
5.2,4,0.23465460302631208,1.8084118269843333e-15,0.23484013849884192,-0.00018553547252983527,4.608893713683394,4.609410119838033,0.003156775678388457,0.008792998685885678
5.6,4,0.23575646879775716,1.9489496637777767e-15,0.23507294584776933,0.0006835229499878304,5.011956431936009,5.0100576993048875,0.002440600787336697,0.006775376203131733
6.0,4,0.23660708365618144,2.0875902831591225e-15,0.2358184352128152,0.0007886484433662355,5.4143140146459,5.412128377717086,0.002126537146060689,0.005893956774726039
0.4,5,0.32926098225883477,8.875536328357113e-18,0.36277967393405575,-0.03351869167522098,0.04423528968916196,0.11834010728397582,-0.19669238262121455,-0.47996308340146576
0.8,5,0.25058402921034895,1.6839593097352803e-17,0.3053042363607263,-0.05472020715037734,0.25225005632857567,0.3889173880691877,-0.12185986169759289,-0.304248047260573
1.2,5,0.23177309290076045,5.774166545886476e-17,0.2797476004425521,-0.04797450754179164,0.6008368518807037,0.727143032063879,-0.0205404039137946,-0.055946869501158014
