n_cut,rmse_cut_vs_12_p00,rmse_cut_vs_12_coh
4,0.060082528961794134,1.6953227323371157e-16
5,0.041034203203672744,1.9173239038516484e-16
6,0.02834507089990157,6.260798818819827e-16
7,0.019413879690058554,4.794912217284626e-17
8,0.012943465114538723,1.922153958629922e-16
9,0.00818015379286845,1.6323181170074392e-16
10,0.004641215517276685,5.697105519794991e-17
11,0.0019943220069728045,1.7210229820121795e-16
12,0.0,0.0
