sweep,ordered_rmse_p00,ordered_rmse_coh,ordered_rmse_TD,ordered_maxabs_p00,ordered_ratio_over_exact_median_robust,ordered_ratio_over_exact_min_robust,ordered_ratio_over_exact_max_robust,n_points,n_ratio_points
angle,0.10276938180353813,0.08135814898962931,0.13107514731366934,0.1925579770091537,1.805234858669675,0.9999999999999932,2.7344633804554426,15,15
coupling,0.029160696670947197,0.054092410941706234,0.06145189298810421,0.0579972848897702,1.1588028284707992,1.0000000000000002,2.147870217210443,15,15
temperature,0.15369128762618697,5.790503282258797e-18,0.15369128762618697,0.1938132650937949,2.252771369221529,1.108751895816643,2.7442697876992006,15,15
