n_cut,n_points,rmse_ed_vs_disc_p00,rmse_ed_vs_cont_p00,rmse_ed_vs_ordered_p00,rmse_ed_vs_disc_coh,rmse_ed_vs_cont_coh,rmse_ed_vs_ordered_coh,p00_at_beta2,p00_at_beta8
4,17,0.03663974375053013,0.036451013683059474,0.06337364409000121,3.3325341952771034e-17,2.1465728658653604e-17,4.250791591368063e-17,0.30614154331742366,0.3205787219559474
5,17,0.01903727237782355,0.0431934289117815,0.08184791355152629,5.515431000816847e-17,4.166555439546747e-17,2.849163946405137e-17,0.32033471514792355,0.3425088344891936
6,17,0.011045857752786624,0.05168950589057663,0.0941629663582084,7.636573042906967e-16,7.795264241539856e-16,8.330668749532744e-16,0.33105434267992795,0.3565918304043464
7,17,0.01227376614836921,0.0588048395959234,0.10278585805802941,9.822903367694467e-17,1.1429741490656953e-16,1.677504779968553e-16,0.33944564897965684,0.36614766135380855
8,17,0.016530281519584862,0.0643686466165718,0.10897272392933052,5.749088182293684e-17,4.385619242597334e-17,2.5291784135919882e-17,0.34612937069466987,0.37279013515212633
9,17,0.020437737069136264,0.06864408129814692,0.11345610084079943,2.9987648426396615e-16,3.1517885110410613e-16,3.67635594128363e-16,0.35151431862507837,0.37743060277903184
10,17,0.023536371396125036,0.07190748072407877,0.11670597691188225,8.267473804884756e-17,9.867089495050341e-17,1.522065333997137e-16,0.35588858529586986,0.38064301313966026
11,17,0.025901522136097158,0.07438783111447163,0.11904852786149847,4.8493175750692137e-17,4.410749245275612e-17,6.203801360970896e-17,0.3594626278397602,0.382823330480173
12,17,0.027680137021201263,0.07626717374581772,0.12072340366780904,1.3865723260470388e-16,1.5442764893405494e-16,2.0756164796834133e-16,0.3623944578284554,0.38426306316787423
