sweep,param_name,param,beta,theta,g,ed_p00,ed_p11,ed_coh,analytic_disc_p00,analytic_disc_p11,analytic_disc_coh,d_p00,d_coh
angle,theta,0.0,2.0,0.0,0.5,0.11920292202211755,0.8807970779778829,0.0,0.11920292202211757,0.8807970779778824,0.0,-2.7755575615628914e-17,0.0
angle,theta,0.07853981633974483,2.0,0.07853981633974483,0.5,0.12025680691061458,0.8797431930893849,0.018267337396127313,0.12148268192091366,0.8785173180790864,0.040351427453188364,-0.0012258750102990823,-0.02208409005706105
angle,theta,0.15707963267948966,2.0,0.15707963267948966,0.5,0.12340683827284146,0.8765931617271583,0.03621231073028808,0.1272863475214142,0.8727136524785858,0.07109464164050915,-0.003879509248572749,-0.03488233091022107
angle,theta,0.23561944901923448,2.0,0.23561944901923448,0.5,0.12861756534366975,0.8713824346563306,0.053511166784439894,0.13559420149634355,0.8644057985036564,0.09510712668592203,-0.0069766361526737986,-0.041595959901482134
angle,theta,0.3141592653589793,2.0,0.3141592653589793,0.5,0.13582798596672876,0.864172014033271,0.06983779216170809,0.14580668208495995,0.85419331791504,0.11405673296351358,-0.009978696118231184,-0.044218940801805495
angle,theta,0.39269908169872414,2.0,0.39269908169872414,0.5,0.14494874208216565,0.8550512579178347,0.08486359864337162,0.15753249029290461,0.8424675097070954,0.1289031578128015,-0.01258374821073896,-0.04403955916942989
angle,theta,0.47123889803846897,2.0,0.47123889803846897,0.5,0.15585836044214496,0.8441416395578549,0.09825873720834295,0.17047987084718835,0.8295201291528116,0.14018780572605855,-0.014621510405043392,-0.04192906851771559
angle,theta,0.5497787143782138,2.0,0.5497787143782138,0.5,0.16839875887954944,0.8316012411204503,0.10969514777760117,0.18439874641731607,0.815601253582684,0.14820211784733822,-0.01599998753776663,-0.03850697006973705
angle,theta,0.6283185307179586,2.0,0.6283185307179586,0.5,0.18237037294483838,0.8176296270551615,0.11885196588068807,0.19904877446849217,0.8009512255315079,0.15308945074080024,-0.016678401523653796,-0.034237484860112175
angle,theta,0.7068583470577035,2.0,0.7068583470577035,0.5,0.19752743478264342,0.8024725652173563,0.12542377054912884,0.21418155078081436,0.7858184492191856,0.15491052946285472,-0.016654115998170932,-0.029486758913725875
angle,theta,0.7853981633974483,2.0,0.7853981633974483,0.5,0.21357414727658136,0.7864258527234184,0.12913203152736125,0.22953133180791668,0.7704686681920834,0.15368847536174327,-0.015957184531335322,-0.02455644383438202
angle,theta,0.8639379797371931,2.0,0.8639379797371931,0.5,0.23016271621439147,0.7698372837856088,0.12973985706928967,0.24481155715517405,0.7551884428448259,0.14944188639236736,-0.014648840940782587,-0.019702029323077686
angle,theta,0.9424777960769379,2.0,0.9424777960769379,0.5,0.24689438351318568,0.7531056164868143,0.12706972272946665,0.25971583712934654,0.7402841628706535,0.14221035752947905,-0.012821453616160855,-0.015140634800012404
angle,theta,1.0210176124166828,2.0,1.0210176124166828,0.5,0.26332467354128275,0.7366753264587169,0.12102326892072235,0.2739226931184973,0.7260773068815027,0.13207452977327386,-0.010598019577214568,-0.011051260852551509
angle,theta,1.0995574287564276,2.0,1.0995574287564276,0.5,0.2789739340820863,0.7210260659179137,0.11160153143986754,0.2871035497837861,0.7128964502162138,0.1191714282831829,-0.008129615701699788,-0.0075698968433153685
angle,theta,1.1780972450961724,2.0,1.1780972450961724,0.5,0.2933438401033926,0.706656159896607,0.09892322500324839,0.2989334500873886,0.7010665499126114,0.10370509859231844,-0.005589609983995991,-0.004781873589070049
angle,theta,1.2566370614359172,2.0,1.2566370614359172,0.5,0.3059397894544224,0.6940602105455778,0.08323812083824389,0.30910379909406116,0.6908962009059388,0.08595219122147747,-0.003164009639638754,-0.0027140703832335827
angle,theta,1.335176877775662,2.0,1.335176877775662,0.5,0.3162980961407519,0.6837019038592482,0.06493238175410782,0.317336219119683,0.682663780880317,0.06626209274084148,-0.001038122978931133,-0.0013297109867336648
angle,theta,1.413716694115407,2.0,1.413716694115407,0.5,0.32401573676122264,0.6759842632387772,0.0445231628135269,0.3233963904956233,0.6766036095043767,0.04505140132333133,0.0006193462655993409,-0.0005282385098044351
angle,theta,1.4922565104551517,2.0,1.4922565104551517,0.5,0.3287793996796431,0.6712206003203566,0.022640960639351615,0.32710662768421983,0.6728933723157802,0.022792938836367033,0.0016727719954232612,-0.0001519781970154184
angle,theta,1.5707963267948966,2.0,1.5707963267948966,0.5,0.3303900479059882,0.6696099520940122,1.2050191377728464e-16,0.3283559548890935,0.6716440451109065,1.784016909060155e-17,0.002034093016894667,1.0266174468668309e-16
coupling,g,0.0,2.0,0.7853981633974483,0.0,0.11920292202211756,0.8807970779778824,0.0,0.11920292202211757,0.8807970779778824,0.0,-1.3877787807814457e-17,0.0
coupling,g,0.1,2.0,0.7853981633974483,0.1,0.1257269722601066,0.8742730277398927,0.009075993187895934,0.12748236273648056,0.8725176372635195,0.011533335998487042,-0.0017553904763739636,-0.0024573428105911076
coupling,g,0.2,2.0,0.7853981633974483,0.2,0.14336385782883923,0.8566361421711609,0.033530946081816095,0.14955683269413345,0.8504431673058666,0.042283272835217885,-0.006192974865294215,-0.00875232675340179
coupling,g,0.30000000000000004,2.0,0.7853981633974483,0.30000000000000004,0.16726767836522827,0.8327323216347715,0.0664527668689226,0.1782478387321112,0.8217521612678889,0.08225010443491468,-0.01098016036688293,-0.01579733756599208
coupling,g,0.4,2.0,0.7853981633974483,0.4,0.1919767050026875,0.8080232949973126,0.10012790066727834,0.20619146157314222,0.7938085384268578,0.12117582446350542,-0.014214756570454734,-0.02104792379622708
coupling,g,0.5,2.0,0.7853981633974483,0.5,0.21357414727658136,0.7864258527234184,0.12913203152736125,0.22953133180791668,0.7704686681920834,0.15368847536174327,-0.015957184531335322,-0.02455644383438202
coupling,g,0.6000000000000001,2.0,0.7853981633974483,0.6000000000000001,0.23046799713659932,0.7695320028634005,0.15138425407948283,0.24763691089970963,0.7523630891002904,0.17890971122983507,-0.017168913763110305,-0.027525457150352234
coupling,g,0.7000000000000001,2.0,0.7853981633974483,0.7000000000000001,0.24283028427675873,0.7571697157232415,0.1672811630848253,0.26129953379429854,0.7387004662057015,0.19794186882359088,-0.01846924951753981,-0.030660705738765587
coupling,g,0.8,2.0,0.7853981633974483,0.8,0.25161445046960146,0.7483855495303985,0.17826759819917898,0.27157471974366515,0.7284252802563349,0.21225529603316012,-0.01996026927406369,-0.033987697833981145
coupling,g,0.9,2.0,0.7853981633974483,0.9,0.25785254677395486,0.7421474532260448,0.18584294168570298,0.2793656560742611,0.7206343439257389,0.22310814099498286,-0.021513109300306255,-0.03726519930927988
coupling,g,1.0,2.0,0.7853981633974483,1.0,0.262361802462342,0.7376381975376586,0.19116474634646352,0.28535050907677595,0.714649490923224,0.23144509550204442,-0.022988706614433974,-0.0402803491555809
coupling,g,1.1,2.0,0.7853981633974483,1.1,0.2657057802328773,0.7342942197671221,0.19501263663408103,0.2900156420447392,0.7099843579552608,0.2379436680328918,-0.0243098618118619,-0.04293103139881077
coupling,g,1.2000000000000002,2.0,0.7853981633974483,1.2000000000000002,0.26825036333251856,0.7317496366674815,0.19787990578295328,0.2937055792810735,0.7062944207189266,0.24308378406586792,-0.025455215948554932,-0.04520387828291464
coupling,g,1.3,2.0,0.7853981633974483,1.3,0.2702305244579893,0.7297694755420107,0.20007429963044016,0.29666501002986917,0.7033349899701309,0.24720629793699248,-0.026434485571879884,-0.04713199830655232
coupling,g,1.4000000000000001,2.0,0.7853981633974483,1.4000000000000001,0.2718004705638135,0.7281995294361856,0.20179155377226599,0.2990693743051406,0.7009306256948594,0.2505555991767921,-0.027268903741327066,-0.04876404540452611
coupling,g,1.5,2.0,0.7853981633974483,1.5,0.27306523604945115,0.7269347639505491,0.20316089371176047,0.3010460414104479,0.6989539585895521,0.25330911438019443,-0.02798080536099673,-0.05014822066843397
coupling,g,1.6,2.0,0.7853981633974483,1.6,0.274099047227267,0.7259009527727324,0.2042710925744133,0.3026887432616703,0.6973112567383297,0.25559741295604116,-0.028589696034403256,-0.05132632038162785
coupling,g,1.7000000000000002,2.0,0.7853981633974483,1.7000000000000002,0.2749558186149733,0.7250441813850272,0.20518511484569518,0.30406740510405705,0.695932594895943,0.25751790140509256,-0.02911158648908374,-0.05233278655939738
coupling,g,1.8,2.0,0.7853981633974483,1.8,0.27567538302141253,0.7243246169785874,0.20594860036445703,0.30523488684519295,0.694765113154807,0.25914421405798227,-0.02955950382378042,-0.05319561369352524
coupling,g,1.9000000000000001,2.0,0.7853981633974483,1.9000000000000001,0.2762874636127445,0.7237125363872557,0.20659509831334785,0.30623165390368134,0.6937683460963187,0.2605327196097918,-0.029944190290936867,-0.053937621296443944
coupling,g,2.0,2.0,0.7853981633974483,2.0,0.27681439198216595,0.7231856080178345,0.20714951932661263,0.30708905240944384,0.6929109475905562,0.26172708350376894,-0.03027466042727789,-0.05457756417715631
temperature,beta,0.2,0.2,1.5707963267948966,0.5,0.452439477729244,0.5475605222707561,1.2233444734029362e-17,0.45748259416019266,0.5425174058398073,4.498038054015732e-19,-0.00504311643094868,1.1783640928627789e-17
temperature,beta,0.6083333333333334,0.6083333333333334,1.5707963267948966,0.5,0.38399287219992906,0.6160071278000712,1.4799487298579407e-17,0.40129429475288464,0.5987057052471154,3.102049614974829e-18,-0.01730142255295558,1.1697437683604578e-17
temperature,beta,1.0166666666666668,1.0166666666666668,1.5707963267948966,0.5,0.3490399300361907,0.6509600699638091,2.841876836470049e-17,0.36730699045970716,0.6326930095402928,6.863707949206084e-18,-0.018267060423516446,2.1555060415494405e-17
temperature,beta,1.425,1.425,1.5707963267948966,0.5,0.33470680510692763,0.6652931948930726,5.808562238624432e-17,0.3456474181506718,0.6543525818493282,1.1164835989753549e-17,-0.010940613043744163,4.692078639649077e-17
temperature,beta,1.8333333333333335,1.8333333333333335,1.5707963267948966,0.5,0.330588212987867,0.6694117870121329,1.0041939350031297e-16,0.33208823943442056,0.6679117605655794,1.583470345802948e-17,-0.0015000264465535595,8.458469004228349e-17
temperature,beta,2.241666666666667,2.241666666666667,1.5707963267948966,0.5,0.33093123707919475,0.6690687629208054,1.519206887453669e-16,0.32450753346057604,0.675492466539424,2.0856400315082104e-17,0.006423703618618715,1.310642884302848e-16
temperature,beta,2.6500000000000004,2.6500000000000004,1.5707963267948966,0.5,0.333050282234301,0.6669497177656992,2.099878128408167e-16,0.3216227652515137,0.6783772347484863,2.6272304432167037e-17,0.011427516982787322,1.8371550840864966e-16
temperature,beta,3.058333333333334,3.058333333333334,1.5707963267948966,0.5,0.3357657590121145,0.6642342409878859,2.7284411160442156e-16,0.32246840356382367,0.6775315964361763,3.213500075174984e-17,0.013297355448290804,2.407091108526717e-16
temperature,beta,3.4666666666666672,3.4666666666666672,1.5707963267948966,0.5,0.3385697752040626,0.6614302247959378,3.392758094538917e-16,0.3261723981939016,0.6738276018060985,3.847527063918106e-17,0.012397377010161026,3.0080053881471063e-16
temperature,beta,3.8750000000000004,3.8750000000000004,1.5707963267948966,0.5,0.34124741548725174,0.6587525845127487,4.0841219910633943e-16,0.3318773234642338,0.6681226765357662,4.528067867600819e-17,0.009370092023017917,3.6313152043033123e-16
temperature,beta,4.283333333333334,4.283333333333334,1.5707963267948966,0.5,0.3437130105812665,0.656286989418734,4.795880498056221e-16,0.3387408942292891,0.6612591057707109,5.248526735239552e-17,0.004972116351977418,4.2710278245322663e-16
temperature,beta,4.691666666666667,4.691666666666667,1.5707963267948966,0.5,0.3459393798235998,0.6540606201764008,5.522690442776057e-16,0.34597785594661323,0.6540221440533868,5.997168979211599e-17,-3.8476123013442276e-05,4.922973544854897e-16
temperature,beta,5.1000000000000005,5.1000000000000005,1.5707963267948966,0.5,0.3479264360438632,0.6520735639561368,6.260143073711994e-16,0.3529137052769979,0.647086294723002,6.758469297138102e-17,-0.004987269233134695,5.584296143998184e-16
temperature,beta,5.508333333333334,5.508333333333334,1.5707963267948966,0.5,0.3496866526970401,0.6503133473029605,7.004576169383141e-16,0.3590273279179903,0.6409726720820097,7.515170037015284e-17,-0.009340675220950223,6.253059165681613e-16
temperature,beta,5.916666666666668,5.916666666666668,1.5707963267948966,0.5,0.3512380013365028,0.6487619986634974,7.752968454298615e-16,0.3639696016167725,0.6360303983832275,8.250456621545886e-17,-0.012731600280269706,6.927922792144027e-16
temperature,beta,6.325000000000001,6.325000000000001,1.5707963267948966,0.5,0.35260036665930505,0.6473996333406952,8.502865024592442e-16,0.367556223112093,0.632443776887907,8.949727452900985e-17,-0.014955856452787963,7.607892279302343e-16
temperature,beta,6.733333333333334,6.733333333333334,1.5707963267948966,0.5,0.3537936782061779,0.6462063217938225,9.252312133277368e-16,0.3697413123602766,0.6302586876397234,9.601672268032601e-17,-0.015947634154098667,8.292144906474107e-16
temperature,beta,7.1416666666666675,7.1416666666666675,1.5707963267948966,0.5,0.3548369404647709,0.6451630595352293,9.999794250132549e-16,0.3705815956875703,0.6294184043124297,1.0198633721225566e-16,-0.015744655222799442,8.979930878009992e-16
temperature,beta,7.550000000000001,7.550000000000001,1.5707963267948966,0.5,0.3557477565174011,0.6442522434825989,1.074417255308872e-15,0.37019995320785737,0.6298000467921426,1.073640544518758e-16,-0.014452196690456276,9.670532008569962e-16
temperature,beta,7.958333333333335,7.958333333333335,1.5707963267948966,0.5,0.3565421314581051,0.6434578685418954,1.1484626113999623e-15,0.36875403183939826,0.6312459681606017,1.121368712433292e-16,-0.012211900381293161,1.036325740156633e-15
temperature,beta,8.366666666666667,8.366666666666667,1.5707963267948966,0.5,0.35723443598174365,0.6427655640182566,1.2220597312378583e-15,0.3664124152319814,0.6335875847680186,1.1631400412441153e-16,-0.009177979250237778,1.1057457271134468e-15
temperature,beta,8.775,8.775,1.5707963267948966,0.5,0.3578374602404112,0.6421625397595891,1.2951742604976915e-15,0.36333850107311694,0.6366614989268831,1.1992012574353958e-16,-0.00550104083270575,1.1752541347541519e-15
temperature,beta,9.183333333333334,9.183333333333334,1.5707963267948966,0.5,0.35836251598241264,0.6416374840175877,1.3677889230046184e-15,0.3596809475841576,0.6403190524158424,1.229895201476842e-16,-0.0013184316017449405,1.2447994028569343e-15
temperature,beta,9.591666666666667,9.591666666666667,1.5707963267948966,0.5,0.35881956148405836,0.6411804385159419,1.4398997946375439e-15,0.35556908604704773,0.6444309139529523,1.2556149472057883e-16,0.003250475437010625,1.314338299916965e-15
temperature,beta,10.0,10.0,1.5707963267948966,0.5,0.3592173338754998,0.6407826661245006,1.5115131560779613e-15,0.35111173110380745,0.6488882688961926,1.2767705689972216e-16,0.008105602771692366,1.3838360991782392e-15
