key,status,error,timestamp,beta,theta,g,n_modes,n_cut,ordered_p00,ordered_coh,analytic_v12_p00,analytic_v12_coh,analytic_raw_p00,analytic_raw_coh,ed_p00,ed_coh,elapsed_s
3.69230769|2|8,ok,,2026-02-20 10:32:40,3.692307692307693,1.5707963267948966,0.5,2,8,0.24213482414738718,3.877449823331924e-18,0.3495480863455481,9.232230418945849e-17,1.0,2.6442446803553193e-16,0.32969178604072025,1.4283334242425857e-16,0.0063372000004164875
4.72307692|2|8,ok,,2026-02-20 10:32:40,4.723076923076923,1.5707963267948966,0.5,2,8,0.23742741918963525,1.574619778330733e-17,0.35227422689598586,1.0817420831567946e-16,1.0,3.0711847185682216e-16,0.33346519437855376,1.670064106606711e-16,0.005921399999351706
5.75384615|2|8,ok,,2026-02-20 10:32:40,5.753846153846154,1.5707963267948966,0.5,2,8,0.23665901907701614,6.974040805869295e-18,0.33203702151452463,1.1060959254574412e-16,0.9999999999944778,3.33131013245545e-16,0.33506364270760963,1.9285783714482335e-16,0.006197200003953185
6.78461538|2|8,ok,,2026-02-20 10:32:40,6.784615384615385,1.5707963267948966,0.5,2,8,0.23911044856660046,6.7883896928914895e-18,0.3066730557697036,1.072332464507517e-16,1.0,3.4966735605918195e-16,0.3357790334950812,2.2187273407608258e-16,0.00597869999910472
7.81538462|2|8,ok,,2026-02-20 10:32:40,7.815384615384616,1.5707963267948966,0.5,2,8,0.2439769616788219,4.021467548710236e-18,0.2812808736180651,1.0149335694450267e-16,1.0,3.608258103504782e-16,0.336111626114296,2.5350102030321643e-16,0.006267700002354104
8.84615385|2|8,ok,,2026-02-20 10:32:40,8.846153846153847,1.5707963267948966,0.5,2,8,0.24916584326820096,7.256274840149223e-18,0.2570069925612697,9.477139992076694e-17,1.0,3.687502998060666e-16,0.33626986970343453,2.8688478378516635e-16,0.006000900000799447
9.87692308|2|8,ok,,2026-02-20 10:32:40,9.876923076923077,1.5707963267948966,0.5,2,8,0.1372586525968836,8.815521408774453e-18,0.23411170364757777,8.770081789980059e-17,1.0,3.7461099604552617e-16,0.3363461569920752,3.2134410267957335e-16,0.006240800001251046
10.90769231|2|8,ok,,2026-02-20 10:32:40,10.907692307692308,1.5707963267948966,0.5,2,8,0.2773849835654745,1.831070588082525e-17,0.21266693469721615,8.061964910720126e-17,1.0,3.7908878228888256e-16,0.3363831912357122,3.5643022509145596e-16,0.006057200000213925
11.93846154|2|8,ok,,2026-02-20 10:32:40,11.938461538461539,1.5707963267948966,0.5,2,8,0.35763853842659304,5.382389204600089e-18,0.19269160919733164,7.372426124913352e-17,1.0,3.8260234362363717e-16,0.336401222570533,3.918705672909283e-16,0.006144200000562705
12.96923077|2|8,ok,,2026-02-20 10:32:40,12.969230769230771,1.5707963267948966,0.5,2,8,0.5,4.89424454820008e-34,0.17417710796848834,6.713168650161785e-17,0.999989783408255,3.85418046211834e-16,0.3364099985276337,4.275069800855735e-16,0.006405000000086147
14.00000000|2|8,ok,,2026-02-20 10:32:40,14.0,1.5707963267948966,0.5,2,8,0.40272163092673524,1.7789683261767347e-18,0.15709817374634244,6.091070677931855e-17,1.0,3.877238374401448e-16,0.3364142513221711,4.632502905636166e-16,0.006277200001932215
0.60000000|2|10,ok,,2026-02-20 10:32:40,0.6,1.5707963267948966,0.5,2,10,0.3289834567267669,8.156610498446434e-18,0.311532114333834,5.6034702799387626e-18,0.3628146670590665,9.192920631552487e-18,0.3143041236350304,3.538991361280391e-18,0.013130500003171619
1.63076923|2|10,ok,,2026-02-20 10:32:40,1.6307692307692307,1.5707963267948966,0.5,2,10,0.2682899329197803,1.403340444965622e-17,0.24044519035801237,2.4885139145322142e-17,0.97124012970106,1.142374206512359e-16,0.3243279203548238,8.498018534332971e-17,0.012749900000926573
2.66153846|2|10,ok,,2026-02-20 10:32:40,2.661538461538462,1.5707963267948966,0.5,2,10,0.25144854926394866,1.4641222870092914e-17,0.2966037507833744,5.806010802476528e-17,1.0,1.980405826614873e-16,0.34492480648805823,1.8459106548855673e-16,0.012753099996189121
3.69230769|2|10,ok,,2026-02-20 10:32:40,3.692307692307693,1.5707963267948966,0.5,2,10,0.24213482414738718,3.877449823331924e-18,0.3495480863455481,9.232230418945849e-17,1.0,2.6442446803553193e-16,0.35257713237284555,2.6344751513849126e-16,0.01243149999936577
4.72307692|2|10,ok,,2026-02-20 10:32:40,4.723076923076923,1.5707963267948966,0.5,2,10,0.23742741918963525,1.574619778330733e-17,0.35227422689598586,1.0817420831567946e-16,1.0,3.0711847185682216e-16,0.35556628924492983,3.2801506363359465e-16,0.012405800000124145
5.75384615|2|10,ok,,2026-02-20 10:32:40,5.753846153846154,1.5707963267948966,0.5,2,10,0.23665901907701614,6.974040805869295e-18,0.33203702151452463,1.1060959254574412e-16,0.9999999999944778,3.33131013245545e-16,0.3568653802337828,3.8805960927517755e-16,0.01289320000068983
6.78461538|2|10,ok,,2026-02-20 10:32:40,6.784615384615385,1.5707963267948966,0.5,2,10,0.23911044856660046,6.7883896928914895e-18,0.3066730557697036,1.072332464507517e-16,1.0,3.4966735605918195e-16,0.3574736168764224,4.48045516070082e-16,0.012893500002974179
7.81538462|2|10,ok,,2026-02-20 10:32:40,7.815384615384616,1.5707963267948966,0.5,2,10,0.2439769616788219,4.021467548710236e-18,0.2812808736180651,1.0149335694450267e-16,1.0,3.608258103504782e-16,0.35777082390453263,5.091943956966263e-16,0.013322799997695256
8.84615385|2|10,ok,,2026-02-20 10:32:40,8.846153846153847,1.5707963267948966,0.5,2,10,0.24916584326820096,7.256274840149223e-18,0.2570069925612697,9.477139992076694e-17,1.0,3.687502998060666e-16,0.3579194581108752,5.715040519025718e-16,0.013669599997228943
9.87692308|2|10,ok,,2026-02-20 10:32:40,9.876923076923077,1.5707963267948966,0.5,2,10,0.1372586525968836,8.815521408774453e-18,0.23411170364757777,8.770081789980059e-17,1.0,3.7461099604552617e-16,0.3579947243086602,6.34669761478607e-16,0.012916200001200195
10.90769231|2|10,ok,,2026-02-20 10:32:40,10.907692307692308,1.5707963267948966,0.5,2,10,0.2773849835654745,1.831070588082525e-17,0.21266693469721615,8.061964910720126e-17,1.0,3.7908878228888256e-16,0.3580330934071782,6.983961153021042e-16,0.012898299995868001
11.93846154|2|10,ok,,2026-02-20 10:32:40,11.938461538461539,1.5707963267948966,0.5,2,10,0.35763853842659304,5.382389204600089e-18,0.19269160919733164,7.372426124913352e-17,1.0,3.8260234362363717e-16,0.35805271974477926,7.624679016853795e-16,0.012697700003627688
12.96923077|2|10,ok,,2026-02-20 10:32:40,12.969230769230771,1.5707963267948966,0.5,2,10,0.5,4.89424454820008e-34,0.17417710796848834,6.713168650161785e-17,0.999989783408255,3.85418046211834e-16,0.3580627721243774,8.267450040139347e-16,0.012465899999369867
14.00000000|2|10,ok,,2026-02-20 10:32:40,14.0,1.5707963267948966,0.5,2,10,0.40272163092673524,1.7789683261767347e-18,0.15709817374634244,6.091070677931855e-17,1.0,3.877238374401448e-16,0.3580679188077292,8.911413301588441e-16,0.012690100003965199
0.60000000|2|12,ok,,2026-02-20 10:32:40,0.6,1.5707963267948966,0.5,2,12,0.3289834567267669,8.156610498446434e-18,0.311532114333834,5.6034702799387626e-18,0.3628146670590665,9.192920631552487e-18,0.32501973566956716,6.745607124699173e-18,0.03098909999971511
1.63076923|2|12,ok,,2026-02-20 10:32:40,1.6307692307692307,1.5707963267948966,0.5,2,12,0.2682899329197803,1.403340444965622e-17,0.24044519035801237,2.4885139145322142e-17,0.97124012970106,1.142374206512359e-16,0.3435604313527269,4.303182814447759e-17,0.030186000003595836
2.66153846|2|12,ok,,2026-02-20 10:32:40,2.661538461538462,1.5707963267948966,0.5,2,12,0.25144854926394866,1.4641222870092914e-17,0.2966037507833744,5.806010802476528e-17,1.0,1.980405826614873e-16,0.3620265290373814,8.460413948252393e-17,0.030576699995435774
3.69230769|2|12,ok,,2026-02-20 10:32:40,3.692307692307693,1.5707963267948966,0.5,2,12,0.24213482414738718,3.877449823331924e-18,0.3495480863455481,9.232230418945849e-17,1.0,2.6442446803553193e-16,0.3684150579893501,1.2402596561223406e-16,0.030706500001542736
4.72307692|2|12,ok,,2026-02-20 10:32:40,4.723076923076923,1.5707963267948966,0.5,2,12,0.23742741918963525,1.574619778330733e-17,0.35227422689598586,1.0817420831567946e-16,1.0,3.0711847185682216e-16,0.3709351343726417,1.641968330309846e-16,0.03072719999909168
5.75384615|2|12,ok,,2026-02-20 10:32:40,5.753846153846154,1.5707963267948966,0.5,2,12,0.23665901907701614,6.974040805869295e-18,0.33203702151452463,1.1060959254574412e-16,0.9999999999944778,3.33131013245545e-16,0.37207382392549526,2.0523128007660668e-16,0.03002600000036182
6.78461538|2|12,ok,,2026-02-20 10:32:40,6.784615384615385,1.5707963267948966,0.5,2,12,0.23911044856660046,6.7883896928914895e-18,0.3066730557697036,1.072332464507517e-16,1.0,3.4966735605918195e-16,0.3726310921717137,2.463224481850969e-16,0.030536999998730607
