n_cut,ed_p00_beta2,rmse_vs_ordered_p00,rmse_vs_v12_p00,rmse_vs_raw_p00
3,0.1614181299263064,0.07558501052050301,0.13698586738854807,0.748922155987193
4,0.2067533566871331,0.03773743333620206,0.08931539286010251,0.7006577026468652
5,0.2416637408109571,0.033216704302713784,0.05702780391501702,0.6664760646209549
6,0.268891280830734,0.04770520929299064,0.03655208746592855,0.6414906952729607
8,0.3078666342362322,0.07599144741375119,0.02896908944740944,0.6076662311161994
10,0.3339699204414492,0.09613955753005711,0.04280094427539986,0.5858245872986403
