case,n_modes,n_cut,rmse_ed_vs_exact_p00,rmse_ed_vs_ordered_p00,rmse_ordered_vs_exact_p00,p00_beta2_ed,p00_beta2_ordered,p00_beta2_exact
ed_m2_c10,2,10,0.5837501720636433,0.095903468498079,0.6777497999983796,0.33358133253194594,0.25817424593661137,0.9880421737126083
ed_m3_c6,3,6,0.6814608409521347,0.02921675767783452,0.6777497999983796,0.22166290696213933,0.25817424593661137,0.9880421737126083
ed_m4_c4,4,4,0.7330313220074636,0.059243730085873435,0.6777497999983796,0.18092792345754696,0.25817424593661137,0.9880421737126083
