sweep,param_name,param,beta,theta,g,ord_ratio,legacy_ratio,running_ratio,legacy_ratio_over_ord,running_ratio_over_ord
angle,theta,0.0,2.0,0.0,0.5,0.13533528323645896,0.135335283236459,0.135335283236459,0.9999999999926111,0.9999999999926111
angle,theta,0.0541653905791343,2.0,0.0541653905791343,0.5,0.13625069601158313,0.1361029993683768,0.1379744512972919,0.9989159934699146,1.0126513503061267
angle,theta,0.1083307811582687,2.0,0.1083307811582687,0.5,0.13900218251029306,0.13841640504570826,0.14437321006895795,0.9957858397976074,1.0386398793215246
angle,theta,0.1624961717374031,2.0,0.1624961717374031,0.5,0.14360539793980545,0.14230634645218246,0.1532272126251195,0.9909540204807727,1.0670017619273628
angle,theta,0.2166615623165374,2.0,0.2166615623165374,0.5,0.15008612357132656,0.14782447304976312,0.16392531534564525,0.9849309818340831,1.0922083364132567
angle,theta,0.2708269528956718,2.0,0.2708269528956718,0.5,0.15847975425230593,0.15504356448528356,0.17616763126544138,0.9783177997453849,1.1116096948501324
angle,theta,0.3249923434748062,2.0,0.3249923434748062,0.5,0.16883048544916646,0.16405791871381403,0.18980196043085334,0.9717316056775709,1.124216162293018
angle,theta,0.3791577340539405,2.0,0.3791577340539405,0.5,0.18119009815563963,0.1749837173444144,0.20474885326959238,0.9657465784534219,1.1300223100082771
angle,theta,0.4333231246330749,2.0,0.4333231246330749,0.5,0.19561620260951249,0.18795923776873574,0.22096414839353917,0.9608572053869057,1.129579991047554
angle,theta,0.4874885152122093,2.0,0.4874885152122093,0.5,0.21216975923770307,0.20314471520888108,0.23841825141593365,0.9574630990664965,1.1237145777579902
angle,theta,0.5416539057913436,2.0,0.5416539057913436,0.5,0.2309116482597075,0.22072156362097067,0.2570832420959965,0.9558702009340305,1.1133402928454277
angle,theta,0.595819296370478,2.0,0.595819296370478,0.5,0.25189801051155086,0.24089053306187305,0.27692373963087924,0.956301848401739,1.0993486572895401
angle,theta,0.6499846869496124,2.0,0.6499846869496124,0.5,0.27517403702844156,0.2638682024459493,0.2978895765647198,0.9589138760853276,1.0825497193721365
angle,theta,0.7041500775287468,2.0,0.7041500775287468,0.5,0.30076585427007907,0.2898809715347647,0.3199093359579299,0.9638094465121568,1.0636491191237318
angle,theta,0.7583154681078811,2.0,0.7583154681078811,0.5,0.32867015300295616,0.31915542122394364,0.3428843328548557,0.9710508189044535,1.0432475529675749
angle,theta,0.8124808586870155,2.0,0.8124808586870155,0.5,0.3588412682662729,0.35190356820544105,0.3666829382770543,0.9806663818369283,1.0218527541373552
angle,theta,0.8666462492661499,2.0,0.8666462492661499,0.5,0.39117557260286856,0.3883011911998899,0.3911353695182014,0.9926519404449381,0.9998972249586048
angle,theta,0.9208116398452842,2.0,0.9208116398452842,0.5,0.4254933415817319,0.42845715011050994,0.4160292548599417,1.0069655814512946,0.9777573799684242
angle,theta,0.9749770304244186,2.0,0.9749770304244186,0.5,0.4615187399914683,0.47237164860939096,0.44110644032915164,1.0235156401603536,0.9557714608432807
angle,theta,1.029142421003553,2.0,1.029142421003553,0.5,0.4988592980113169,0.5198820305814047,0.4660616363605422,1.0421416071682976,0.9342546850736159
angle,theta,1.0833078115826873,2.0,1.0833078115826873,0.5,0.5369871989217888,0.5705964330094647,0.49054358401240633,1.0625885200878102,0.9135107596539552
angle,theta,1.1374732021618217,2.0,1.1374732021618217,0.5,0.575225801941561,0.623819028168269,0.5141594242060304,1.0844767847019494,0.8938392931431328
angle,theta,1.191638592740956,2.0,1.191638592740956,0.5,0.6127458638157243,0.678476146752849,0.5364828456768441,1.1072716876890825,0.8755389099408253
angle,theta,1.2458039833200905,2.0,1.2458039833200905,0.5,0.6485765254844115,0.7330601350855702,0.5570663396181129,1.1302600483989595,0.8589061085755302
angle,theta,1.2999693738992248,2.0,1.2999693738992248,0.5,0.681635779728429,0.785615803090446,0.5754574910681838,1.152544843526687,0.8442301712750583
angle,theta,1.3541347644783592,2.0,1.3541347644783592,0.5,0.7107833052096656,0.8337990060133923,0.591218710228267,1.1730706108330256,0.8317847449343772
angle,theta,1.4083001550574936,2.0,1.4083001550574936,0.5,0.73489496327482,0.8750324446537727,0.6039492135892764,1.1906904909965434,0.8218170538237897
angle,theta,1.4624655456366278,2.0,1.4624655456366278,0.5,0.7529532089168621,0.906764619317955,0.6133075081224437,1.2042775149615863,0.8145360174556983
angle,theta,1.5166309362157622,2.0,1.5166309362157622,0.5,0.7641422802317269,0.9268037778024157,0.6190322398573525,1.2128680767672595,0.8101007572422511
angle,theta,1.5707963267948966,2.0,1.5707963267948966,0.5,0.7679331056519499,0.9336598473340487,0.6209591626452154,1.2158088256140311,0.8086110080086115
coupling,g,0.0,2.0,0.7853981633974483,0.0,0.13533528323645902,0.135335283236459,0.135335283236459,0.9999999999926107,0.9999999999926107
coupling,g,0.0862068965517241,2.0,0.7853981633974483,0.0862068965517241,0.15211641544792442,0.13927632804036427,0.15105934843920535,0.9155903893037013,0.9930509340060408
coupling,g,0.1724137931034483,2.0,0.7853981633974483,0.1724137931034483,0.1969135702960763,0.15178692126623552,0.19259842274395572,0.7708301720254228,0.9780860834191849
coupling,g,0.2586206896551724,2.0,0.7853981633974483,0.2586206896551724,0.2527959275483673,0.17502781403868817,0.24469444784166788,0.6923680129479453,0.9679524912199493
coupling,g,0.3448275862068966,2.0,0.7853981633974483,0.3448275862068966,0.29937676761458043,0.21283794933646646,0.29283496920039737,0.7109367604962736,0.9781486103037121
coupling,g,0.4310344827586207,2.0,0.7853981633974483,0.4310344827586207,0.32906658740754446,0.2706390533479179,0.3311167909996461,0.8224446470826668,1.0062303608739112
coupling,g,0.5172413793103449,2.0,0.7853981633974483,0.5172413793103449,0.3462048315695981,0.3539640538738316,0.35973619789378936,1.0224122299738942,1.0390848569669138
coupling,g,0.603448275862069,2.0,0.7853981633974483,0.603448275862069,0.3564715695128025,0.46398139845548186,0.38079184525949544,1.301594399486932,1.068225008179092
coupling,g,0.6896551724137931,2.0,0.7853981633974483,0.6896551724137931,0.3632306461772014,0.5906747468484735,0.39636103442194937,1.6261699090188766,1.0912103331377336
coupling,g,0.7758620689655173,2.0,0.7853981633974483,0.7758620689655173,0.3681068132409037,0.7116594542995369,0.408032620720857,1.9332960670626476,1.1084625604381733
coupling,g,0.8620689655172414,2.0,0.7853981633974483,0.8620689655172414,0.37186771076842695,0.8047981821394592,0.4169291895205718,2.16420560008897,1.1211760995809739
coupling,g,0.9482758620689656,2.0,0.7853981633974483,0.9482758620689656,0.3748981639229646,0.8629932993071205,0.4238264478307617,2.301940586409886,1.130510865656628
coupling,g,1.0344827586206895,2.0,0.7853981633974483,1.0344827586206895,0.3774100910572621,0.8934632644617739,0.42926074395554986,2.367353935758562,1.137385443913007
coupling,g,1.120689655172414,2.0,0.7853981633974483,1.120689655172414,0.3795323010969882,0.9073297118182782,0.4336067883753419,2.390652150537307,1.1424766406467013
coupling,g,1.206896551724138,2.0,0.7853981633974483,1.206896551724138,0.3813500277669624,0.9129690653893358,0.43713015225693147,2.3940448378434214,1.1462701466562086
coupling,g,1.293103448275862,2.0,0.7853981633974483,1.293103448275862,0.3829234347265089,0.9150530894804054,0.4400220299889171,2.3896502707690477,1.1491123030953694
coupling,g,1.3793103448275863,2.0,0.7853981633974483,1.3793103448275863,0.3842969955461606,0.9157589545922966,0.44242224955733434,2.382945912154329,1.1512508676457782
coupling,g,1.4655172413793105,2.0,0.7853981633974483,1.4655172413793105,0.38550467550281614,0.915978966863301,0.44443463292989527,2.3760515113499157,1.1528644428217727
coupling,g,1.5517241379310347,2.0,0.7853981633974483,1.5517241379310347,0.3865730358251545,0.916042191125723,0.4461373780100086,2.369648439571134,1.1540830235522188
coupling,g,1.637931034482759,2.0,0.7853981633974483,1.637931034482759,0.3875232248064376,0.9160589568106575,0.44759017520292166,2.363881435147151,1.1550021948370492
coupling,g,1.7241379310344829,2.0,0.7853981633974483,1.7241379310344829,0.38837232476744094,0.9160630614687781,0.4488391570357998,2.3587238406211415,1.1556929482640428
coupling,g,1.810344827586207,2.0,0.7853981633974483,1.810344827586207,0.3891343003152939,0.9160639895733343,0.4499203904286698,2.3541075377543037,1.1562085122359251
coupling,g,1.896551724137931,2.0,0.7853981633974483,1.896551724137931,0.3898206860497302,0.9160641834357648,0.4508623751064712,2.3499629861011293,1.1565891478827197
coupling,g,1.9827586206896552,2.0,0.7853981633974483,1.9827586206896552,0.39044109673458294,0.9160642208520446,0.45168785476461326,2.3462289920582506,1.1568655516571
coupling,g,2.0689655172413794,2.0,0.7853981633974483,2.0689655172413794,0.39100361260861294,0.9160642275259129,0.45241514654522336,2.342853615627671,1.157061295484564
coupling,g,2.155172413793104,2.0,0.7853981633974483,2.155172413793104,0.39151507472104025,0.91606422862622,0.4530591284905184,2.3397929933517587,1.157194595411612
coupling,g,2.241379310344828,2.0,0.7853981633974483,2.241379310344828,0.3919813141725268,0.9160642287939198,0.45363198112392655,2.3370099432555755,1.1572796067597946
coupling,g,2.327586206896552,2.0,0.7853981633974483,2.327586206896552,0.3924073320330181,0.9160642288175499,0.45414375019687864,2.334472763465428,1.1573273818377803
coupling,g,2.413793103448276,2.0,0.7853981633974483,2.413793103448276,0.3927974419563108,0.9160642288206289,0.454602777912754,2.3321542631639307,1.157346584660702
coupling,g,2.5,2.0,0.7853981633974483,2.5,0.3931553842498262,0.9160642288210008,0.4550160364067147,2.330030989061994,1.157344028935955
temperature,beta,0.1,0.1,1.5707963267948966,0.5,0.9199534158236101,0.9087088632753296,0.9184557622493139,0.9877770413633377,0.9983720332469729
temperature,beta,0.3724137931034482,0.3724137931034482,1.5707963267948966,0.5,0.8213031558175967,0.7312087349131127,0.7964271023746957,0.8903030869086501,0.9697114844041882
temperature,beta,0.6448275862068965,0.6448275862068965,1.5707963267948966,0.5,0.7929939854458148,0.627625796920284,0.7329559539143912,0.7914635021684892,0.9242894238364305
temperature,beta,0.9172413793103448,0.9172413793103448,1.5707963267948966,0.5,0.7847031671048884,0.5762730171016675,0.692999088325678,0.7343834474723163,0.8831353273130912
temperature,beta,1.1896551724137931,1.1896551724137931,1.5707963267948966,0.5,0.7810252543644797,0.5690308712671535,0.6653857328778079,0.7285691059112364,0.8519388190825922
temperature,beta,1.4620689655172414,1.4620689655172414,1.5707963267948966,0.5,0.7775065099476015,0.60942038264603,0.6454906483303331,0.783813865026438,0.8302061012621031
temperature,beta,1.7344827586206897,1.7344827586206897,1.5707963267948966,0.5,0.7731089338773367,0.7167191529739865,0.6310381379374138,0.9270610150351409,0.816234440302975
temperature,beta,2.0068965517241377,2.0068965517241377,1.5707963267948966,0.5,0.7677884661169693,0.9415791854150585,0.620742502512424,1.2263523443843798,0.8084811506103663
