window_name,window_family,case,n_modes,n_cut,bandwidth,omega_min,omega_max,detune_over_omega_q,tail_fraction,rmse_ed_vs_ordered_p00,rmse_ed_vs_cont_p00,rmse_ed_vs_disc_p00,rmse_ed_vs_ordered_coh,rmse_ed_vs_cont_coh,rmse_ed_vs_disc_coh,p00_at_beta2,p00_at_beta8
center_d0.80,centered,m4c4,4,4,1.6,0.19999999999999996,1.8,0.2666666666666666,0.7724823535071382,0.026413927822831036,0.05308057867724706,0.058119583831014884,7.169224535978585e-17,1.3741288609751162e-17,8.73079884328891e-18,0.2897574562994083,0.27270123424208376
center_d1.20,centered,m4c5,4,5,2.1500000000000004,0.05,2.2,0.23333333333333317,0.6990292757659671,0.018490084509604657,0.04981242886961278,0.05843471784440296,1.5959160380458864e-16,1.0093278135433325e-16,9.453401338385362e-17,0.29919275571665455,0.2830609641896322
ratio_r6.0,ratio,m3c6,3,6,5.95,0.05,6.0,0.95,0.19914827347145578,0.03506798140083772,0.026667809793914594,0.05879028378312349,1.0648781427598184e-16,5.6297242111954e-17,3.2057613354653675e-17,0.3026284205851216,0.3257631169791237
center_d0.50,centered,m2c6,2,6,1.0,0.5,1.5,0.5,0.8266414672967757,0.0926221471710961,0.06916854987430825,0.05934547591862167,4.514965350547108e-17,8.821516241053759e-18,1.733835656148228e-17,0.3043915638568853,0.26856706573240446
ratio_r6.0,ratio,m4c5,4,5,5.95,0.05,6.0,0.95,0.19914827347145578,0.03509276175758139,0.04025768531334977,0.06085352014356256,9.81609864117482e-17,4.762629861724067e-17,2.8189090720905887e-17,0.30502713231060136,0.30671589696948903
center_d0.50,centered,m2c5,2,5,1.0,0.5,1.5,0.5,0.8266414672967757,0.08972344111217605,0.0683082161434495,0.06097416935673358,3.22858325268978e-17,1.9289677376778627e-17,2.871646568321245e-17,0.2997106550393599,0.2659521106003897
ratio_r3.0,ratio,m3c5,3,5,2.95,0.05,3.0,0.5250000000000001,0.5578254003710745,0.026486697725297482,0.04404977155253799,0.0619248276208873,8.007497533876524e-17,2.17989443547056e-17,7.714787217523868e-18,0.3009063011220986,0.29562992336839505
ratio_r2.0,ratio,m4c5,4,5,1.95,0.05,2.0,0.29999999999999993,0.7357588823428847,0.01751981921243447,0.053518247943132966,0.06206246729445624,1.4589847079654295e-16,9.05719863377584e-17,8.537562197564828e-17,0.2946271321907242,0.2763656287584781
ratio_r3.0,ratio,m4c4,4,4,2.95,0.05,3.0,0.03333333333333344,0.5578254003710745,0.026993808530064407,0.053706922154119964,0.06458798856656739,4.402400721953009e-17,1.6591221624491637e-17,2.5421806915962302e-17,0.30305481889285524,0.2815764988983827
center_d1.20,centered,m3c5,3,5,2.1500000000000004,0.05,2.2,0.12500000000000022,0.6990292757659671,0.02104661603425237,0.05010337533701112,0.06490574764591911,6.711106938778725e-17,1.7361867381797726e-17,1.6822990242006578e-17,0.2947886856786582,0.28286919076247835
