sweep,param_name,param,beta,theta,g,exact_p00,exact_p11,exact_coh,exact_ratio,ordered_p00,ordered_p11,ordered_coh,ordered_ratio,ordered_minus_exact_p00,ordered_minus_exact_p11,ordered_minus_exact_coh,ordered_ratio_over_exact,ordered_trace_distance_exact,compact_ab_p00,compact_ab_p11,compact_ab_coh,compact_ab_ratio,compact_ab_minus_exact_p00,compact_ab_minus_exact_p11,compact_ab_minus_exact_coh,compact_ab_ratio_over_exact,compact_ab_trace_distance_exact,compact_abdiag_p00,compact_abdiag_p11,compact_abdiag_coh,compact_abdiag_ratio,compact_prodassume_p00,compact_prodassume_p11,compact_prodassume_coh,compact_prodassume_ratio,compact_closed_p00,compact_closed_p11,compact_closed_coh,compact_closed_ratio,compact_closed_trace_distance_exact,compact_ab_vs_closed_trace_distance,compact_abdiag_vs_ab_trace_distance,trace_factor_ratio_minus1_abs,delta_diag_expm_maxabs,sigma_plus,sigma_minus,delta_z
coupling,g,0.0,2.0,0.7853981633974483,0.0,0.017986209962091552,0.9820137900379085,0.0,0.018315638888734175,0.017986209962091555,0.9820137900379085,0.0,0.01831563888873418,3.469446951953614e-18,0.0,0.0,1.0000000000000002,1.734723475976807e-18,0.017986209962091555,0.9820137900379085,0.0,0.01831563888873418,3.469446951953614e-18,0.0,0.0,1.0000000000000002,1.734723475976807e-18,0.017986209962091555,0.9820137900379085,0.0,0.01831563888873418,0.017986209962091555,0.9820137900379085,0.0,0.01831563888873418,0.017986209962091555,0.9820137900379085,0.0,0.01831563888873418,1.734723475976807e-18,0.0,0.0,0.5,0.0,0.0,0.0,0.0
coupling,g,0.14285714285714285,2.0,0.7853981633974483,0.14285714285714285,0.025205063741931936,0.9747949362580681,0.017498623266772137,0.02585678567298089,0.04050859204317827,0.9594914079568218,0.0537832649889847,0.04221881687240831,0.015303528301246334,-0.015303528301246372,0.03628464172221256,1.6327944782604964,0.039379857838448024,0.05526835348504311,0.9447316465149569,0.09283294916162031,0.058501642968057495,0.030063289743111173,-0.030063289743111232,0.07533432589484818,2.262525733397285,0.08111141749599404,0.055268353485043116,0.9447316465149569,0.09283294916162035,0.0585016429680575,0.05526835348504311,0.944731646514957,0.09283294916162033,0.05850164296805749,0.05526835348504316,0.944731646514957,0.09283294916162033,0.05850164296805754,0.08111141749599403,6.834017936133213e-17,2.7755575615628914e-17,0.7521595097424147,4.440892098500626e-16,3.0056572665658616,0.055050533117720186,0.6145972335262009
coupling,g,0.2857142857142857,2.0,0.7853981633974483,0.2857142857142857,0.04411918365126751,0.9558808163487326,0.06242525444591163,0.04615552786151069,0.09019454927168978,0.9098054507283102,0.16393310596413915,0.09913608365336563,0.04607536562042227,-0.04607536562042236,0.10150785151822753,2.147870217210443,0.11147548267176113,0.16409671896867972,0.8359032810313203,0.36381678124909606,0.1963106530294038,0.1199775353174122,-0.11997753531741229,0.30139152680318443,4.253242506909084,0.32439399101955557,0.16409671896867972,0.8359032810313203,0.36381678124909606,0.1963106530294038,0.16409671896867978,0.8359032810313203,0.36381678124909594,0.19631065302940387,0.16409671896867975,0.8359032810313204,0.3638167812490961,0.1963106530294038,0.3243939910195557,5.551115123125783e-17,0.0,0.8997462314939463,4.440892098500626e-16,12.022629066263447,0.22020213247088075,2.4583889341048035
coupling,g,0.42857142857142855,2.0,0.7853981633974483,0.42857142857142855,0.06835755263288718,0.9316424473671129,0.11773110863586028,0.0733731624466773,0.1263548375226574,0.8736451624773426,0.23441835259861216,0.14462947080753089,0.05799728488977021,-0.057997284889770295,0.11668724396275187,1.9711494773397276,0.13030578635735232,0.16820345897245814,0.8317965410275417,0.37404260921835025,0.2022170695308154,0.09984590633957097,-0.09984590633957113,0.25631150058248997,2.7560086384142597,0.2750723365655262,0.16820345897245814,0.8317965410275417,0.37404260921835025,0.2022170695308154,0.1682034589724582,0.8317965410275417,0.3740426092183503,0.20221706953081545,0.16820345897245814,0.831796541027542,0.37404260921835036,0.20221706953081534,0.2750723365655263,1.1102230246251565e-16,1.2412670766236366e-16,0.9019495620964548,4.440892098500626e-16,27.050915399092755,0.49545479805948167,5.531375101735808
coupling,g,0.5714285714285714,2.0,0.7853981633974483,0.5714285714285714,0.0918555293621907,0.9081444706378092,0.16826339286948105,0.10114638400834902,0.1433718631554656,0.8566281368445345,0.2624856026463287,0.16736767914673983,0.0515163337932749,-0.05151633379327469,0.09422220977684764,1.6547074894236915,0.10738602079755255,0.16820611227060933,0.8317938877293907,0.3740492159600532,0.20222090442353935,0.07635058290841863,-0.07635058290841856,0.20578582309057214,1.9992895090233502,0.21949308985824484,0.1682061122706093,0.8317938877293907,0.3740492159600531,0.20222090442353932,0.16820611227060933,0.8317938877293907,0.3740492159600532,0.20222090442353935,0.16820611227060928,0.8317938877293907,0.37404921596005314,0.2022209044235393,0.21949308985824478,1.1102230246251565e-16,1.3877787807814457e-16,0.9019509543270602,1.7763568394002505e-15,48.090516265053786,0.880808529883523,9.833555736419214
coupling,g,0.7142857142857142,2.0,0.7853981633974483,0.7142857142857142,0.11141198566627565,0.8885880143337244,0.20723363038172227,0.125380923295273,0.1523233057451814,0.8476766942548186,0.2752092411910188,0.1796950497489928,0.04091132007890576,-0.040911320078905744,0.06797561080929654,1.4331929054774117,0.07933737943425928,0.16820611235824096,0.831793887641759,0.3740492161782548,0.20222090455019642,0.056794126691965305,-0.056794126691965374,0.16681558579653255,1.612852252443258,0.17621864966950382,0.16820611235824087,0.8317938876417591,0.3740492161782547,0.2022209045501963,0.16820611235824703,0.831793887641753,0.37404921617824793,0.2022209045502052,0.1682061123582408,0.8317938876417592,0.3740492161782546,0.20222090455019617,0.17621864966950365,2.0014830212433607e-16,1.1443916996305594e-16,0.9019509543730411,3.552713678800501e-15,75.14143166414654,1.3762633279430045,15.36493083815502
coupling,g,0.8571428571428571,2.0,0.7853981633974483,0.8571428571428571,0.12647704367902868,0.8735229563209713,0.2347208724325442,0.14478960485676734,0.15810975516858883,0.8418902448314112,0.28272187119143777,0.18780328687648634,0.03163271148956015,-0.03163271148956015,0.048000998758893576,1.297077142121288,0.05748673166943006,0.16820611235824137,0.8317938876417587,0.3740492161782551,0.202220904550197,0.041729068679212694,-0.041729068679212666,0.1393283437457109,1.396653473502075,0.14544312477307902,0.16820611235824126,0.8317938876417587,0.37404921617825504,0.20222090455019687,0.16820611235824737,0.8317938876417525,0.37404921617824816,0.2022209045502057,0.1682061123582413,0.8317938876417587,0.37404921617825504,0.2022209045501969,0.14544312477307908,1.6711069443220838e-16,1.6653345369377348e-16,0.9019509543730412,8.881784197001252e-16,108.20366159637102,1.9818191922379267,22.12550040694323
coupling,g,1.0,2.0,0.7853981633974483,1.0,0.13775529574795523,0.8622447042520447,0.2534934923821668,0.15976357415549597,0.16231637876037375,0.8376836212396263,0.2879135711149742,0.19376811799205731,0.024561083012418522,-0.02456108301241844,0.03442007873280739,1.2128429087563173,0.042284614444447394,0.1682061123582411,0.831793887641759,0.3740492161782549,0.2022209045501966,0.03045081661028587,-0.030450816610285703,0.12055572379608809,1.2657510050030392,0.12434200727120312,0.1682061123582412,0.8317938876417588,0.374049216178255,0.20222090455019678,0.16820611235824726,0.8317938876417528,0.37404921617824805,0.2022209045502055,0.16820611235824126,0.8317938876417588,0.3740492161782551,0.20222090455019684,0.12434200727120326,1.4752290795525882e-16,1.1857187100668868e-16,0.9019509543730411,8.881784197001252e-16,147.27720606172724,2.6974761227682893,30.115264442783847
coupling,g,1.1428571428571428,2.0,0.7853981633974483,1.1428571428571428,0.14618640501053168,0.8538135949894684,0.26636595157767856,0.17121583196661896,0.1655578253882719,0.8344421746117281,0.2917879807651111,0.19840539036189914,0.01937142037774023,-0.01937142037774031,0.025422029187432527,1.1588028284707992,0.03196140634355443,0.16820611235824126,0.8317938876417588,0.3740492161782551,0.20222090455019684,0.022019707347709583,-0.02201970734770964,0.10768326460057653,1.1810876495908553,0.10991156893938203,0.16820611235824123,0.8317938876417588,0.37404921617825504,0.2022209045501968,0.16820611235824734,0.8317938876417528,0.37404921617824816,0.2022209045502056,0.1682061123582413,0.8317938876417587,0.37404921617825504,0.2022209045501969,0.10991156893938228,2.3714374201337736e-16,5.721958498152797e-17,0.9019509543730411,7.993605777301127e-15,192.36206506021514,3.523234119534092,39.334222945676856
coupling,g,1.2857142857142856,2.0,0.7853981633974483,1.2857142857142856,0.1525543600486802,0.8474456399513198,0.27539113213866906,0.1800166911678765,0.16814061258394625,0.8318593874160538,0.2948048755452992,0.20212624288129943,0.015586252535266049,-0.01558625253526602,0.019413743406630157,1.1228194539627685,0.024896278861539976,0.1682061123582412,0.8317938876417588,0.374049216178255,0.20222090455019678,0.015651752309561007,-0.015651752309561062,0.09865808403958592,1.1233453033619727,0.09989191607293277,0.16820611235824126,0.8317938876417588,0.3740492161782551,0.20222090455019684,0.16820611235824734,0.8317938876417528,0.37404921617824816,0.2022209045502056,0.1682061123582413,0.8317938876417587,0.37404921617825504,0.2022209045501969,0.09989191607293302,2.6184557666721356e-16,5.551115123125783e-17,0.9019509543730411,7.105427357601002e-15,243.45823859183477,4.459093182535335,49.78237591562227
