key,status,error,timestamp,beta,theta,g,n_modes,n_cut,ordered_p00,ordered_coh,analytic_v12_p00,analytic_v12_coh,analytic_raw_p00,analytic_raw_coh,ed_p00,ed_coh,elapsed_s,analytic_scalebound_p00,analytic_scalebound_coh
4.72307692|2|12,ok,,2026-02-20 10:32:40,4.723076923076923,1.5707963267948966,0.5,2,12,0.2374274191896352,1.5746197783307328e-17,0.3522742268959858,1.0817420831567945e-16,1.0,3.0711847185682216e-16,0.3709351343726417,1.641968330309846e-16,0.0307271999990916,1.0,3.0295711428709814e-16
5.75384615|2|12,ok,,2026-02-20 10:32:40,5.753846153846154,1.5707963267948966,0.5,2,12,0.2366590190770161,6.974040805869295e-18,0.3320370215145246,1.1060959254574412e-16,0.9999999999944778,3.33131013245545e-16,0.3720738239254952,2.0523128007660668e-16,0.0300260000003618,0.9999999999944778,3.273101337341187e-16
6.78461538|2|12,ok,,2026-02-20 10:32:40,6.784615384615385,1.5707963267948966,0.5,2,12,0.2391104485666004,6.78838969289149e-18,0.3066730557697036,1.072332464507517e-16,1.0,3.4966735605918195e-16,0.3726310921717137,2.4632244818509693e-16,0.0305369999987306,1.0,3.4246812667180093e-16
7.81538462|2|12,ok,,2026-02-20 10:32:40,7.815384615384616,1.5707963267948966,0.5,2,12,0.2439769616788219,4.021467548710236e-18,0.2812808736180651,1.0149335694450267e-16,1.0,3.6082581035047823e-16,0.3729156199720315,2.8703647773074607e-16,0.0327475999947637,1.0,3.5249931069027956e-16
8.84615385|2|12,ok,,2026-02-20 10:32:40,8.846153846153847,1.5707963267948966,0.5,2,12,0.2491658432682009,7.256274840149223e-18,0.2570069925612697,9.477139992076694e-17,1.0,3.687502998060666e-16,0.3730642160332177,3.273004640555697e-16,0.0296066000009886,1.0,3.594945060398117e-16
9.87692308|2|12,ok,,2026-02-20 10:32:40,9.876923076923076,1.5707963267948966,0.5,2,12,0.1372586525968836,8.815521408774453e-18,0.2341117036475777,8.770081789980059e-17,1.0,3.746109960455261e-16,0.3731427897955771,3.6719262653702253e-16,0.0293290999979944,1.0,3.645778628712941e-16
10.90769231|2|12,ok,,2026-02-20 10:32:40,10.907692307692308,1.5707963267948966,0.5,2,12,0.2773849835654745,1.8310705880825248e-17,0.2126669346972161,8.061964910720125e-17,1.0,3.790887822888825e-16,0.3731846267515848,4.0681965326837077e-16,0.0297483999966061,0.9999998345444678,3.683951986818434e-16
11.93846154|2|12,ok,,2026-02-20 10:32:41,11.93846153846154,1.5707963267948966,0.5,2,12,0.357638538426593,5.382389204600089e-18,0.1926916091973316,7.372426124913351e-17,1.0,3.8260234362363717e-16,0.3732069893940193,4.462715237235109e-16,0.0339855999991414,1.0,3.7133981102472023e-16
12.96923077|2|12,ok,,2026-02-20 10:32:41,12.969230769230771,1.5707963267948966,0.5,2,12,0.5,4.894244548200079e-34,0.1741771079684883,6.713168650161785e-17,0.999989783408255,3.85418046211834e-16,0.3732189671379808,4.856127413445581e-16,0.0306033000015304,1.0,3.736633591691978e-16
14.00000000|2|12,ok,,2026-02-20 10:32:41,14.0,1.5707963267948966,0.5,2,12,0.4027216309267352,1.778968326176735e-18,0.1570981737463424,6.091070677931855e-17,1.0,3.877238374401448e-16,0.3732253879524057,5.248860078959661e-16,0.0302416000049561,1.0,3.7552885644972456e-16
