sweep,rmse_raw_p00,rmse_renorm_p00,rmse_raw_coh,rmse_renorm_coh
beta_theta_pi2_g05,0.6697068052922687,0.36522515202222766,2.1969098297793313e-16,1.163848697348048e-16
g_beta2_theta_pi2,0.554330268920236,0.2689525180595769,1.222405077721563e-16,2.258434332635257e-17
g_beta2_theta_pi4,0.030492054617424387,0.08082227614543447,0.10873907536006294,0.10297039627045029
