n_cut,ed_p00_beta2,dp00_max,dp00_min,margin_max,margin_min,rmse_vs_ordered_p00
3,0.16141812992630647,0.006754226039373638,-0.2586975842331954,0.024404769412439187,-0.6623786477762429,0.075585010520503
4,0.2067533566871331,0.013767446674854515,-0.22535313019992903,0.04117656678128556,-0.561909690097335,0.03773743333620205
5,0.24166374081095715,0.01892669770247324,-0.19669238262121455,0.051642940101450874,-0.47996308340146576,0.033216704302713757
6,0.268891280830734,0.02237077473166961,-0.17193548670533715,0.056984701718078234,-0.4120909262187217,0.04770520929299062
8,0.3078666342362322,0.027372342697876417,-0.13167023369162423,0.06558260109371461,-0.30685827606750227,0.07599144741375118
10,0.3339699204414492,0.029256621577086958,-0.10073941613797557,0.06699816161303307,-0.22993128348352554,0.0961395575300571
