beta,theta,g,case,n_modes,n_cut,ed_p00,ed_coh,ordered_p00,ordered_coh,exact_raw_p00,d_ed_minus_exact_p00,d_ed_minus_ordered_p00,d_ordered_minus_exact_p00
0.4,1.5707963267948966,0.5,ed_m2_c10,2,10,0.344864052129785,6.182348904505333e-18,0.36277967393405575,9.02473085893956e-18,0.3711041301686108,-0.02624007803882583,-0.017915621804270754,-0.008324456234555078
0.96,1.5707963267948966,0.5,ed_m2_c10,2,10,0.3047190789180116,2.4961433837930394e-17,0.2927970423625558,4.764888602860348e-18,0.45329760062220176,-0.14857852170419017,0.011922036555455762,-0.16050055825964593
1.52,1.5707963267948966,0.5,ed_m2_c10,2,10,0.3209185871116095,7.395296535988855e-17,0.26847060557966224,1.589085947254719e-17,0.9164663482365014,-0.5955477611248919,0.05244798153194724,-0.6479957426568392
2.0799999999999996,1.5707963267948966,0.5,ed_m2_c10,2,10,0.335691790102002,1.3020392493112094e-16,0.25645818599610287,2.5624948794187185e-18,0.9999714779586261,-0.6642796878566241,0.07923360410589914,-0.7435132919625231
2.6399999999999997,1.5707963267948966,0.5,ed_m2_c10,2,10,0.34466873559643585,1.827076067097191e-16,0.24865939894100497,2.5598069468652696e-18,1.0,-0.6553312644035642,0.09600933665543088,-0.751340601058995
3.1999999999999997,1.5707963267948966,0.5,ed_m2_c10,2,10,0.3498403945581747,2.28323373184006e-16,0.243022176653128,2.1743387875227275e-18,1.0,-0.6501596054418253,0.10681821790504673,-0.756977823346872
3.7599999999999993,1.5707963267948966,0.5,ed_m2_c10,2,10,0.352865496189978,2.6799306745177203e-16,0.23899063275065158,3.033873166715451e-17,1.0,-0.647134503810022,0.1138748634393264,-0.7610093672493484
4.319999999999999,1.5707963267948966,0.5,ed_m2_c10,2,10,0.35469375588861296,3.0372105931622413e-16,0.23637504082495048,1.8121193239865408e-17,1.0,-0.645306244111387,0.11831871506366248,-0.7636249591750495
4.88,1.5707963267948966,0.5,ed_m2_c10,2,10,0.3558362591574648,3.3728209593112935e-16,0.23505673432827612,1.0484072204407838e-17,1.0,-0.6441637408425351,0.12077952482918869,-0.7649432656717239
5.4399999999999995,1.5707963267948966,0.5,ed_m2_c10,2,10,0.3565707585534141,3.6990144415992145e-16,0.23491545632880437,1.668192335437152e-17,1.0,-0.6434292414465859,0.12165530222460971,-0.7650845436711956
6.0,1.5707963267948966,0.5,ed_m2_c10,2,10,0.3570534767088291,4.023098207814989e-16,0.2358184352128152,5.139259822745521e-18,1.0,-0.6429465232911709,0.12123504149601388,-0.7641815647871848
0.4,1.5707963267948966,0.5,ed_m3_c6,3,6,0.33503224831152006,1.2591721228174953e-18,0.36277967393405575,9.02473085893956e-18,0.3711041301686108,-0.03607188185709076,-0.027747425622535682,-0.008324456234555078
0.96,1.5707963267948966,0.5,ed_m3_c6,3,6,0.23759868903287573,3.0958685978185298e-18,0.2927970423625558,4.764888602860348e-18,0.45329760062220176,-0.21569891158932603,-0.055198353329680094,-0.16050055825964593
1.52,1.5707963267948966,0.5,ed_m3_c6,3,6,0.21895648485728952,1.291221588830621e-17,0.26847060557966224,1.589085947254719e-17,0.9164663482365014,-0.6975098633792118,-0.04951412072237271,-0.6479957426568392
2.0799999999999996,1.5707963267948966,0.5,ed_m3_c6,3,6,0.22211397731294763,2.221275186326661e-17,0.25645818599610287,2.5624948794187185e-18,0.9999714779586261,-0.7778575006456785,-0.03434420868315524,-0.7435132919625231
2.6399999999999997,1.5707963267948966,0.5,ed_m3_c6,3,6,0.22974535496748824,3.1376295970824633e-17,0.24865939894100497,2.5598069468652696e-18,1.0,-0.7702546450325117,-0.01891404397351673,-0.751340601058995
3.1999999999999997,1.5707963267948966,0.5,ed_m3_c6,3,6,0.23735079730727943,4.0455206242583865e-17,0.243022176653128,2.1743387875227275e-18,1.0,-0.7626492026927205,-0.005671379345848576,-0.756977823346872
3.7599999999999993,1.5707963267948966,0.5,ed_m3_c6,3,6,0.24387210951823726,4.9421600340830595e-17,0.23899063275065158,3.033873166715451e-17,1.0,-0.7561278904817628,0.004881476767585685,-0.7610093672493484
4.319999999999999,1.5707963267948966,0.5,ed_m3_c6,3,6,0.24918236137771926,5.826525192379942e-17,0.23637504082495048,1.8121193239865408e-17,1.0,-0.7508176386222807,0.012807320552768786,-0.7636249591750495
4.88,1.5707963267948966,0.5,ed_m3_c6,3,6,0.2534061013458102,6.699845806571326e-17,0.23505673432827612,1.0484072204407838e-17,1.0,-0.7465938986541898,0.01834936701753409,-0.7649432656717239
5.4399999999999995,1.5707963267948966,0.5,ed_m3_c6,3,6,0.2567233034054411,7.564623804668628e-17,0.23491545632880437,1.668192335437152e-17,1.0,-0.743276696594559,0.021807847076636716,-0.7650845436711956
6.0,1.5707963267948966,0.5,ed_m3_c6,3,6,0.2593091614454696,8.423733187786696e-17,0.2358184352128152,5.139259822745521e-18,1.0,-0.7406908385545303,0.023490726232654413,-0.7641815647871848
0.4,1.5707963267948966,0.5,ed_m4_c4,4,4,0.3354552851012806,3.704251082962666e-18,0.36277967393405575,9.02473085893956e-18,0.3711041301686108,-0.03564884506733024,-0.02732438883277516,-0.008324456234555078
0.96,1.5707963267948966,0.5,ed_m4_c4,4,4,0.22727629508413022,1.6878997103746722e-17,0.2927970423625558,4.764888602860348e-18,0.45329760062220176,-0.22602130553807154,-0.0655207472784256,-0.16050055825964593
