sweep,comparison,rmse_p00,rmse_coh
angle,best_vs_ed,0.04811574797897315,0.04977197897274777
angle,best_vs_ordered,0.007749997389831633,0.008088712732107341
angle,ordered_vs_ed,0.05514798138866708,0.04504872483763218
coupling,best_vs_ed,0.013316524958295469,0.04041950214280737
coupling,best_vs_ordered,0.021567356887776556,0.0018352314104778113
coupling,ordered_vs_ed,0.02636543958138888,0.04017529629110353
temperature,best_vs_ed,0.13571632805547548,7.649041787827322e-16
temperature,best_vs_ordered,0.07786876866702155,6.743899476334198e-17
temperature,ordered_vs_ed,0.07674132804932036,8.306857630725651e-16
