n_cut,n_points,rmse_ed_vs_disc_p00,rmse_ed_vs_cont_p00,rmse_ed_vs_ordered_p00,rmse_ed_vs_disc_coh,rmse_ed_vs_cont_coh,rmse_ed_vs_ordered_coh,p00_at_beta2,p00_at_beta8
4,17,0.04909276764335604,0.04359671055322468,0.03931504770586564,6.890099466286522e-17,6.0877334290503e-17,1.220643997053677e-17,0.293545408264429,0.29019869231579143
5,17,0.03789709587317816,0.039205992214066364,0.05117861875436034,3.042399505871982e-17,2.2676047325721172e-17,3.5625275732185544e-17,0.30320898665227697,0.30488601011440764
6,17,0.03194720441751073,0.03898377859929485,0.05855786777694904,1.9257730990500424e-17,1.619375318379029e-17,5.493155854657234e-17,0.31008675856950174,0.3134773490027678
7,17,0.028994312539918615,0.04014828791276248,0.06322405179323333,2.9311789790546934e-17,3.424517335940184e-17,7.989658574542869e-17,0.31534337086577546,0.3185599849887752
8,17,0.027744316324495505,0.041590549064757044,0.0661619898843279,1.8733540504382846e-17,2.3442616543139778e-17,6.960849187328415e-17,0.3194783536229101,0.32149039967052656
9,17,0.027386639708910112,0.04291826525858098,0.06800030142005095,1.172721911440181e-16,1.25304618175664e-16,1.7884477162342914e-16,0.32276695639574815,0.3231150094202088
10,17,0.02744804507774035,0.04402304661540793,0.06915018674142684,8.719490102409124e-17,9.258061237173254e-17,1.3756806517355932e-16,0.3253924213926733,0.3239767681065584
11,17,0.02767496892255262,0.04490086400564602,0.06987584321949608,5.5329377877145856e-17,4.775406478875098e-17,1.8166876765272107e-17,0.32749009000739177,0.3244139253137072
12,17,0.02794250418310591,0.04558206013445861,0.07034211551210307,3.3969297384926176e-17,4.1299399173165584e-17,9.034364210137265e-17,0.32916491133393805,0.32462646496280556
