lambda,trace_distance_to_tau,trace_distance_to_ultrastrong,coherence_hs_basis,coherence_x_basis,expect_sigma_z,expect_x
0.0,3.469446951953614e-18,0.11238574846349797,0.0,0.22393726166405709,-0.9051482536448666,-0.8770093864462085
0.25,0.04442441442733912,0.06798516143202737,0.08799993695859662,0.13564169517961328,-0.8928956831337076,-0.8869092514977663
0.5,0.07543612237819303,0.036996584943816246,0.149319821697691,0.07391857039446237,-0.8835606394644939,-0.8930351939949368
0.75,0.08708144784080053,0.025354258279543455,0.17226572489505546,0.050684269466358935,-0.8795116731673277,-0.8947890075542237
1.0,0.09287570355143017,0.019556353837475345,0.18364749775704245,0.039101797068382044,-0.8772702729384085,-0.8954331826997902
1.25,0.09644343461913982,0.015984078343333506,0.19064169514819504,0.03196225722747839,-0.875803945924836,-0.8957428323684287
1.5,0.0988972831582422,0.013526078157009822,0.195445997087117,0.027048598601817284,-0.8747582439879282,-0.8959182420934954
1.75,0.1006966698560251,0.011723122813356277,0.19896572842545324,0.02344393633809172,-0.873972683200975,-0.8960278979576242
2.0,0.1020744805968705,0.010342280303381749,0.201658973000928,0.020682978466472553,-0.8733605679050307,-0.8961011312150778
2.25,0.10316386484579013,0.009250314762429646,0.2037872758979759,0.018499499410166022,-0.8728701151953825,-0.8961524760556605
2.5,0.10404700671077217,0.008364960551882107,0.20551190001890218,0.016729086568292105,-0.8724683305649904,-0.8961898607721642
2.75,0.10477749949140053,0.007632556594904713,0.20693791758815977,0.015264479950659379,-0.8721331682601862,-0.896217920244351
3.0,0.10539181574562029,0.007016576074379492,0.20813678482233466,0.014032660656783746,-0.8718493331149715,-0.8962395133467899
3.25,0.10591564950476823,0.0064912819521250106,0.20915881140552625,0.012982175060212568,-0.8716058796755849,-0.8962564817084051
3.5,0.10636762882004897,0.006038012058545251,0.21004045344869715,0.012075711396651305,-0.8713947685171863,-0.8962700552167967
3.75,0.10676159084419289,0.005642902023862873,0.21080877939536583,0.011285548948353168,-0.8712099618763143,-0.8962810806480449
4.0,0.1071080302191004,0.005295435330949624,0.21148431135480067,0.010590659962058383,-0.8710468372454174,-0.8962901564482492
4.25,0.10741505154929967,0.004987489648174626,0.21208289255877366,0.009974803347379668,-0.870901795707461,-0.8962977152602575
4.5,0.10768901351953822,0.00471269180495074,0.212616949631405,0.009425235238874523,-0.8707719935125933,-0.8963040761355217
4.75,0.10793497523985732,0.004465970757273131,0.21309636691079167,0.008931815300639249,-0.8706551539068653,-0.8963094785232394
5.0,0.1081570122579403,0.004243241048852615,0.21352910523150206,0.00848637388359838,-0.8705494325480271,-0.8963141049592858
5.25,0.10835844460237108,0.004041174363127585,0.2139216483017004,0.00808225528124851,-0.8704533195122862,-0.8963180965548131
5.5,0.10854200417342186,0.0038570318189543266,0.21427933025585913,0.007713982421240372,-0.8703655667872795,-0.8963215637811279
5.75,0.10870995951101572,0.003688538957935468,0.21460657973391806,0.007377006907595782,-0.8702851338410368,-0.8963245941169342
6.0,0.10886421009100744,0.0035337912555447586,0.21490710430224413,0.007067520089355437,-0.8702111462176569,-0.8963272575576459
